soortnr;speciesnaam;wet_naam;vaatplant;is_gras;is_boomstruik;is_dwergstruik;is_hogeplant;is_meerjarigkruid;is_schijngras;is_jarig;is_invasieve_exoot;is_mos;is_lichen;is_kranswier;link_bbr;link_bryoatt;link_hill;hoogte_max;is_bossoort;l_waarde;genus_ori;species_ori;subspecies_ori;genus;species;subspecies;specieszonderauteur_ori;specieszonderauteur;l_getal;r_getal;f_getal;n_getal;s_getal;taxontype_id;niet_in_florabank
48;Rumex conglomeratus Murray;Rumex conglomeratus Murray;1;0;0;0;1;1;0;0;0;0;0;0;1097;NA;1396;100;0;8;Rumex;conglomeratus;NA;Rumex;conglomeratus;NA;Rumex conglomeratus;Rumex conglomeratus;8;7;8;7;0;9;0
49;Rumex crispus L.;Rumex crispus L.;1;0;0;0;1;1;0;0;0;0;0;0;1098;NA;1397;150;0;8;Rumex;crispus;NA;Rumex;crispus;NA;Rumex crispus;Rumex crispus;8;7;6;6;2;9;0
50;Silaum silaus (L.) Schinz et Thell.;Silaum silaus (L.) Schinz et Thell.;1;0;0;0;0;1;0;0;0;0;0;0;1200;NA;1524;90;0;8;Silaum;silaus;NA;Silaum;silaus;NA;Silaum silaus;Silaum silaus;8;7;5;4;0;9;0
51;Solanum dulcamara L.;Solanum dulcamara L.;1;0;0;0;1;1;0;0;0;0;0;0;1218;NA;1546;200;0;7;Solanum;dulcamara;NA;Solanum;dulcamara;NA;Solanum dulcamara;Solanum dulcamara;7;7;8;7;0;9;0
52;Stachys sylvatica L.;Stachys sylvatica L.;1;0;0;0;0;1;0;0;0;0;0;0;1246;NA;1600;100;1;6;Stachys;sylvatica;NA;Stachys;sylvatica;NA;Stachys sylvatica;Stachys sylvatica;6;7;6;8;0;9;0
53;Symphytum officinale L.;Symphytum officinale L.;1;0;0;0;1;1;0;0;0;0;0;0;1259;NA;1616;100;0;7;Symphytum;officinale;NA;Symphytum;officinale;NA;Symphytum officinale;Symphytum officinale;7;7;7;8;0;9;0
54;Taraxacum;Taraxacum;1;0;0;0;0;1;0;0;0;0;0;0;6517;NA;NA;NA;0;NA;Taraxacum;NA;NA;Taraxacum;NA;NA;Taraxacum;Taraxacum;NA;NA;NA;NA;NA;12;0
55;Trifolium pratense L.;Trifolium pratense L.;1;0;0;0;0;1;0;0;0;0;0;0;1305;NA;1671;50;0;7;Trifolium;pratense;NA;Trifolium;pratense;NA;Trifolium pratense;Trifolium pratense;7;7;5;5;0;9;0
56;Urtica dioica L.;Urtica dioica L.;1;0;0;0;1;1;0;0;0;0;0;0;1321;NA;1700;300;0;6;Urtica;dioica;NA;Urtica;dioica;NA;Urtica dioica;Urtica dioica;6;7;6;8;0;9;0
57;Vicia hirsuta (L.) S.F. Gray;Ervilia hirsuta (L.) Opiz;1;0;0;0;0;0;0;1;0;0;0;0;1370;NA;1752;60;0;7;Vicia;hirsuta;NA;Ervilia;hirsuta;NA;Vicia hirsuta;Ervilia hirsuta;7;6;5;6;0;9;0
58;Vicia sativa L.;Vicia sativa L.;1;0;0;0;0;0;0;1;0;0;0;0;1960;NA;1757;100;0;7;Vicia;sativa;NA;Vicia;sativa;NA;Vicia sativa;Vicia sativa;7;7;4;4;0;9;0
