"grondwtr";"code";"groep";"info"
;;;
"1";"H";"Hydrofyten";"Hydrofyt"
"2";"W";"Obligate freatofyten";"Natte freatofyt (obligaat"
"3";"F";"Obligate freatofyten";"Vochtige freatofyt (obl.)"
"4";"V";"Niet-obligate freatofyten";"Vochtige freatofyt (fac.)"
"5";"P";"Niet-obligate freatofyten";"Plaatselijke freatofyt"
"6";"K";"Niet-obligate freatofyten";"Kalk-afreatofyt"
"7";"A";"Afreatofyten";"Afreatofyt"
"8";"Z";"Halofyten";"Zoutplant"
"9";"D";"Niet-obligate freatofyten";"Duinfreatofyt"
