"conclusie";"volgnr";"prioriteit";"regel001_Open";"regel002_HalfOpen";"regel010_Gagel";"regel015_Verbost";"regel020_Jeneverbes";"regel030_plagplek";"regel031_7140_oli_plant";"regel032_andermoeras";"regel033_7140oli";"regel034_metmossen";"regel035_veenmossen";"regel036_7140_oli_mos";"regel037_pijpenstro";"regel038_7140_oli_mos";"regel039_andermoeras";"regel0401_pijpenstro";"regel0402_adelaarsvaren";"regel0403_pionier";"regel045_bochtigesmele";"regel0501_struisgras_schapeg";"regel0502_bochtigesmele";"regel060_2330bu";"regel062_2330dw";"regel064_dwergstr";"regel066_2310";"regel068_4030";"regel070_dwergstr";"regel072_2310";"regel074_bosbes";"regel076_hn";"regel078_2330bu";"regel080_2330dw";"regel082_2310";"regel084_4030";"regel090_dwergstr";"regel092_2310";"regel093_bosbes";"regel094_rodebosbes";"regel095_4030sl";"regel096_4030";"regel097_40104030";"regel098_4010";"regel099_40104030";"regel100_hn";"regel102_duin";"regel104_7150";"regel106_ven";"regel107_moeras";"regel108_water";"regel109_40104030";"regel110_4010";"regel112_40104030";"regel113_40104030";"regel114_4010";"regel115_40104030";"regel120_2330bu";"regel180_4030";"regel200_heide";"regel210_duin";"regel212_duin";"regel214_duin";"regel216_zand";"regel218_calluna";"regel220_2330dw";"regel230_7140oli";"regel232_7140oli_bult";"regel236_7140oli_bult";"regel238_7140oli_papil";"regel240_vochtigehei";"regel241_venmoeras";"regel242_moeras";"regel243_dwergbies";"regel245_4010";"regel246_40104030";"regel253_calluna";"regel254_bosbes";"regel255_moeras";"regel256_rodebosbes";"regel258_duin";"regel259_molinia";"regel260_2310";"regel262_40104030";"regel263_40104030";"regel320_vegetatieloos";"regel325_gras";"regel3261_4010";"regel3262_droog";"regel3263_40104030";"regel330_duin";"regel335_2310";"regel340_water";"regel345_bos";"regel400_bos";"regel402_rbbsm";"regel404_7140oli";"regel406_4010";"regel500_openbos";"regel502_juniperusweinig";"regel550_juniperus";"regel552_pionier";"regel554_hei";"regel556_nattehei";"regel558_gagel"
"_B";11;3;0;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;0;1;;;;;1;1;;;;;
"_E";12;;1;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;0;0;;;;;;;;;;;
"_E";13;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;0;0;;;;;1;1;;;;;
"_E";14;;0;1;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;0;0;;;;;;;;;;;
"_E";15;;0;0;0;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;0;0;;;;;1;1;1;;;;
"_E";16;;0;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;0;0;;;;;1;1;;;;;
"_G";17;;1;;;;0;1;;;;;;;;;;1;;;;;1;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;
"_G";18;;1;;;;0;1;;;;;;;;;;1;;;;0;0;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;
"_G";19;;1;;;;0;1;;;;;;;;;;1;;;;1;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;
"_G";20;;1;;;;0;1;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;0;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;
"_G";21;;1;;;;0;1;;;;;;;;;;0;0;0;1;;;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;
"_G";22;1;1;;;;0;0;0;;;;;;;0;;1;;;;;1;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";23;;1;;;;0;0;1;0;0;;;;;;;1;;;;;1;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";24;;1;;;;1;1;;;;;;;;;;1;;;;;1;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;1;1;;;;;
"_G";25;;0;1;;;0;1;;;;;;;;;;1;;;;;1;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;
"_G";26;;1;;;;0;1;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;;;;;1;;;;;1;;;;0;1;;;;;;;;;;;;;;;;;;
"_G";27;;1;;;;0;0;0;;;;;;;0;;1;;;;0;0;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";28;;1;;;;0;0;1;0;0;;;;;;;1;;;;0;0;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";29;;1;;;;1;1;;;;;;;;;;1;;;;0;0;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;1;1;;;;;
"_G";30;;0;1;;;0;1;;;;;;;;;;1;;;;0;0;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;
"_G";31;2;1;;;;0;0;0;;;;;;;0;;1;;;;1;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";32;;1;;;;0;0;1;0;0;;;;;;;1;;;;1;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";33;;1;;;;1;1;;;;;;;;;;1;;;;1;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;1;1;;;;;
"_G";34;;0;1;;;0;1;;;;;;;;;;1;;;;1;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;
"_G";35;;1;;;;0;0;0;;;;;;;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";36;;1;;;;0;0;1;0;0;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";37;;1;;;;1;1;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;0;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;1;1;;;;;
"_G";38;;0;1;;;0;1;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;0;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;
"_G";39;;1;;;;0;0;0;;;;;;;0;;0;0;0;1;;;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";40;;1;;;;0;0;1;0;0;;;;;;;0;0;0;1;;;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";41;;1;;;;1;1;;;;;;;;;;0;0;0;1;;;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;1;1;;;;;
"_G";42;;0;1;;;0;1;;;;;;;;;;0;0;0;1;;;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;
"_G";43;;1;;;;1;0;0;;;;;;;0;;1;;;;;1;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
"_G";44;;0;1;;;0;0;0;;;;;;;0;;1;;;;;1;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";45;;1;;;;1;0;1;0;0;;;;;;;1;;;;;1;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
"_G";46;;0;1;;;0;0;1;0;0;;;;;;;1;;;;;1;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";47;;0;0;0;1;;1;;;;;;;;;;1;;;;;1;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;1;1;1;;;;
"_G";48;;0;1;;;1;1;;;;;;;;;;1;;;;;1;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;1;1;;;;;
"_G";49;;1;;;;0;1;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;;;;;0;0;;;;1;;;;0;1;;;;;;;;;;;;;;;;;;
"_G";50;;1;;;;0;0;1;0;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;0;0;;;0;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
"_G";51;;1;;;;0;0;1;0;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
"_G";52;;1;;;;0;0;0;;;;;;;0;;0;0;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
"_G";53;;1;;;;0;0;1;0;0;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
"_G";54;;1;;;;1;1;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;;;;;1;;;;;1;;;;0;1;;;;;;;;;;;;1;1;;;;;
"_G";55;;0;1;;;0;1;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;;;;;1;;;;;1;;;;0;1;;;;;;;;;;;;;;;;;;
"_G";56;;1;;;;1;0;0;;;;;;;0;;1;;;;0;0;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
"_G";57;;0;1;;;0;0;0;;;;;;;0;;1;;;;0;0;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";58;;1;;;;1;0;1;0;0;;;;;;;1;;;;0;0;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
"_G";59;;0;1;;;0;0;1;0;0;;;;;;;1;;;;0;0;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";60;;0;0;0;1;;1;;;;;;;;;;1;;;;0;0;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;1;1;1;;;;
"_G";61;;0;1;;;1;1;;;;;;;;;;1;;;;0;0;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;1;1;;;;;
"_G";62;;1;;;;1;0;0;;;;;;;0;;1;;;;1;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
"_G";63;;0;1;;;0;0;0;;;;;;;0;;1;;;;1;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";64;;1;;;;1;0;1;0;0;;;;;;;1;;;;1;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
"_G";65;;0;1;;;0;0;1;0;0;;;;;;;1;;;;1;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";66;;0;0;0;1;;1;;;;;;;;;;1;;;;1;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;1;1;1;;;;
"_G";67;;0;1;;;1;1;;;;;;;;;;1;;;;1;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;1;1;;;;;
"_G";68;;1;;;;1;0;0;;;;;;;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
"_G";69;;0;1;;;0;0;0;;;;;;;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";70;;1;;;;1;0;1;0;0;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
"_G";71;;0;1;;;0;0;1;0;0;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";72;;0;0;0;1;;1;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;0;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;1;1;1;;;;
"_G";73;;0;1;;;1;1;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;0;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;1;1;;;;;
"_G";74;;1;;;;1;0;0;;;;;;;0;;0;0;0;1;;;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
"_G";75;;0;1;;;0;0;0;;;;;;;0;;0;0;0;1;;;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";76;;1;;;;1;0;1;0;0;;;;;;;0;0;0;1;;;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
"_G";77;;0;1;;;0;0;1;0;0;;;;;;;0;0;0;1;;;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_G";78;;0;0;0;1;;1;;;;;;;;;;0;0;0;1;;;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;1;1;1;;;;
"_G";79;;0;1;;;1;1;;;;;;;;;;0;0;0;1;;;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;1;1;;;;;
"_G";80;;0;0;0;1;;0;0;;;;;;;0;;1;;;;;1;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;
"_G";81;;0;1;;;1;0;0;;;;;;;0;;1;;;;;1;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
"_G";82;;0;0;0;1;;0;1;0;0;;;;;;;1;;;;;1;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;
"_G";83;;0;1;;;1;0;1;0;0;;;;;;;1;;;;;1;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
"_G";84;;1;;;;0;0;1;0;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;0;0;;;0;;;;;;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;
"_G";85;;1;;;;0;0;1;0;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;;;;;;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;
"_G";86;1;1;;;;0;0;0;;;;;;;0;;0;0;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;;;;;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;
"_G";87;;1;;;;0;0;1;0;0;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;;;;;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;
"_G";88;;1;;;;1;1;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;;;;;0;0;;;;1;;;;0;1;;;;;;;;;;;;1;1;;;;;
"_G";89;;0;1;;;0;1;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;;;;;0;0;;;;1;;;;0;1;;;;;;;;;;;;;;;;;;
"_G";90;;1;;;;0;0;0;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;0;0;;;0;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
"_G";91;;1;;;;1;0;1;0;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;0;0;;;0;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;1;1;;;;;
"_G";92;;0;1;;;0;0;1;0;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;0;0;;;0;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
"_G";93;;1;;;;0;0;0;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
"_G";94;;1;;;;1;0;1;0;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;1;1;;;;;
"_G";95;;0;1;;;0;0;1;0;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
"_G";96;;1;;;;1;0;0;;;;;;;0;;0;0;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;1;1;;;;;
"_G";97;;0;1;;;0;0;0;;;;;;;0;;0;0;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
