"conclusie";"volgnr";"prioriteit";"regel001_Open";"regel002_HalfOpen";"regel010_Gagel";"regel015_Verbost";"regel020_Jeneverbes";"regel030_plagplek";"regel031_7140_oli_plant";"regel032_andermoeras";"regel033_7140oli";"regel034_metmossen";"regel035_veenmossen";"regel036_7140_oli_mos";"regel037_pijpenstro";"regel038_7140_oli_mos";"regel039_andermoeras";"regel0401_pijpenstro";"regel0402_adelaarsvaren";"regel0403_pionier";"regel045_bochtigesmele";"regel0501_struisgras_schapeg";"regel0502_bochtigesmele";"regel060_2330bu";"regel062_2330dw";"regel064_dwergstr";"regel066_2310";"regel068_4030";"regel070_dwergstr";"regel072_2310";"regel074_bosbes";"regel076_hn";"regel078_2330bu";"regel080_2330dw";"regel082_2310";"regel084_4030";"regel090_dwergstr";"regel092_2310";"regel093_bosbes";"regel094_rodebosbes";"regel095_4030sl";"regel096_4030";"regel097_40104030";"regel098_4010";"regel099_40104030";"regel100_hn";"regel102_duin";"regel104_7150";"regel106_ven";"regel107_moeras";"regel108_water";"regel109_40104030";"regel110_4010";"regel112_40104030";"regel113_40104030";"regel114_4010";"regel115_40104030";"regel120_2330bu";"regel180_4030";"regel200_heide";"regel210_duin";"regel212_duin";"regel214_duin";"regel216_zand";"regel218_calluna";"regel220_2330dw";"regel230_7140oli";"regel232_7140oli_bult";"regel236_7140oli_bult";"regel238_7140oli_papil";"regel240_vochtigehei";"regel241_venmoeras";"regel242_moeras";"regel243_dwergbies";"regel245_4010";"regel246_40104030";"regel253_calluna";"regel254_bosbes";"regel255_moeras";"regel256_rodebosbes";"regel258_duin";"regel259_molinia";"regel260_2310";"regel262_40104030";"regel263_40104030";"regel320_vegetatieloos";"regel325_gras";"regel3261_4010";"regel3262_droog";"regel3263_40104030";"regel330_duin";"regel335_2310";"regel340_water";"regel345_bos";"regel400_bos";"regel402_rbbsm";"regel404_7140oli";"regel406_4010";"regel500_openbos";"regel502_juniperusweinig";"regel550_juniperus";"regel552_pionier";"regel554_hei";"regel556_nattehei";"regel558_gagel"
"_B";1;;1;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;0;1;;;;;;;;;;;
"_B";2;2072;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
"_B";3;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"_B";4;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
"_B";5;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;0;1;;;;;1;1;;;;;
"_B";6;;0;1;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;0;1;;;;;;;;;;;
"_B";7;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;0;0;0;1;1
"_B";8;1;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1;;;;
"_B";9;;0;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
"_B";10;;0;0;0;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;0;1;;;;;1;1;1;;;;
