"id";"tabel";"niveau";"subniveau";"kenmerk_digitaal";"bij_ja";"bij_nee";"meervoudig";"ja_uitkomst";"nee_uitkomst";"opmerking";"opmerking_jan";"bij_ja_veldsleutel";"bij_nee_veldsleutel";"meervoudig_veldsleutel";"ja_uitkomst_veldsleutel";"nee_uitkomst_veldsleutel";"link_sql";"kenmerk";"verschil_tov_20190424";"verschil_tov_20190510"
1;;1;;"is het een open biotoop waarbij (schijn)grassen en kruiden meer dan 50% van de vegetatiebedekking hebben";2;7;;;;;;2,00;4,00;;;"_A";"001";"is het een open biotoop waarbij (schijn)grassen en kruiden meer dan 50% van de vegetatiebedekking hebben";;
2;;2;;"is het heide";0;7;;"_H";;"in digitale sleutel is deze regel toegevoegd";;3,00;7,00;;;;"002";"is het heide";;
3;;3;;"is het een droge heide";0;0;;"4030_";"4010/7150/7140_oli";"in digitale sleutel is deze regel toegevoegd, onderscheid gebaseerd op F-getal: F<7=> droog";;0,00;0,00;;"4030";"4010/7150/7140_oli";"003";"is het een droge heide";;
4;;4;;"is het heide";3;5;;"_H";;"in digitale sleutel is deze regel toegevoegd";;3,00;0,00;;;"_B";"004";"is het heide";;
5;"G";1;;"Is de bedekking van bomen en struiken (kroonprojectie) in het grasland > 10%";8;10;;;;"het voorkomen van houtige gewassen in lineair (bijv. houtkanten) of in patroonverband (mozaïeken) worden afzonderlijk uitgesleuteld";"wat met brem?";8,00;10,00;;;;"001";"Is de bedekking van bomen en struiken (kroonprojectie) in het grasland > 10%";;
6;"G";8;;"Is de bedekking van bomen en struiken (kroonprojectie) ≥ 50%";0;10;;"_B";;;;0,00;10,00;;"_B";;"008";"Is de bedekking van bomen en struiken (kroonprojectie) ≥ 50%";;
7;"G";10;1;"Binnen de ecoregio 'Polders' EN minstens 2 zilte soorten tezamen >= 5%";280;0;"ja";;;;;280,00;0,00;"ja";;;"0101";"Binnen de ecoregio 'Polders' EN minstens 2 zilte soorten tezamen frequent aanwezig";;
8;"G";10;2;"Binnen de ecoregio 'Polders' EN zeekraalsoorten nemen in de aanwezige vegetatie een groter aandeel in dan de andere hogere planten";280;0;"ja";;;;;280,00;0,00;"ja";;;"0102";"Binnen de ecoregio 'Polders' EN zeekraalsoorten nemen in de aanwezige vegetatie een groter aandeel in dan de andere hogere planten";;
9;"G";10;3;"Binnen de ecoregio 'Duinen'";0;0;"ja";"_D";;;;0,00;0,00;"ja";"_D";;"0103";"Binnen de ecoregio 'Duinen'";;
10;"G";10;4;"Net buiten de ecoregio 'Duinen' (= in de overgangszone tussen kustduinen en -polders) EN typische soort(en) van duingrasland >= 5%";0;0;"ja";"_D";;;;0,00;0,00;"ja";"_D";;"0104";"Net buiten de ecoregio 'Duinen' (= in de overgangszone tussen kustduinen en -polders) EN typische soort(en) van duingrasland samen frequent aanwezig";;
11;"G";10;99;"anders";20;0;"ja";;;;;20,00;0,00;"ja";;;"01099";"anders";;
12;"G";19;;"Moerassen";;;;;;;;;;;;;"019";"Moerassen";;
13;"G";20;1;"bedekking van grote zeggen, liesgras, riet, gele lis, holpijp, lisdodde, mattenbies, ruwe bies en/of egelskop >= 70% of moerasmossen >= 70% of combinatie moerasmos/hogereplant >= 70%, waarbij minstens één van beide groepen minstens 60% bedekt";0;0;"ja";"_M";;"in digitale sleutel ook opnamen met F-getal >= 8.7";;0,00;0,00;"ja";"_M";;"0201";"bedekking van grote zeggen, liesgras, riet, gele lis, holpijp, lisdodde, mattenbies, ruwe bies en/of egelskop >= 70% of moerasmossen >= 70% of combinatie moerasmos/hogereplant >= 70%, waarbij minstens één van beide groepen minstens 60% bedekt";;
14;"G";20;2;"bedekking van moerasgroep > overige vegetatie (beide uitgezonderd riet, scherpe en moeraszegge)";0;0;"ja";"_M";;;;0,00;0,00;"ja";"_M";;"0202";"bedekking van moerasgroep > overige vegetatie (beide uitgezonderd riet, scherpe en moeraszegge)";;
16;"G";20;99;"anders";27;0;"ja";;;;;28,00;0,00;"ja";;;"02099";"anders";;
17;"G";28;;"Is het perceel onbeheerd en verruigd EN zijn wilde bertram, grote wederik, melkeppe, hennegras, ruw walstro, wateraardbei, veenpluis, veenmos en/of zwarte zegge samen >= 30%";131;29;;;;;;131,00;29,00;;;;"028";"Is het perceel onbeheerd en verruigd EN zijn wilde bertram, grote wederik, melkeppe, hennegras, ruw walstro, wateraardbei, veenpluis, veenmos en/of zwarte zegge samen abundant aanwezig";;
18;"G";29;;"Zijn grote russen (co)dominant";119;30;;;;"in digitale sleutel vanaf 40% bedekking";;120,00;30,00;;;;"029";"Zijn grote russen (co)dominant";;
19;"G";30;1;"Is het een zoomvormende, ruderale vegetatie langs een vochtig bos of langs een waterloop, waarbij zowel kensoorten als  begeleidende soorten van het verbond look-zonder-look voorkomen en deze samen de vegetatie domineren";290;0;"ja";;;"in digitale sleutel: afstand tot waterloop of vochtig bos <=15m";;290,00;0,00;"ja";;;"0301";"Is het een zoomvormende, ruderale vegetatie langs een vochtig bos of langs een waterloop, waarbij zowel kensoorten als  begeleidende soorten van het verbond look-zonder-look voorkomen en deze samen de vegetatie domineren";;
