"hrl_code";"indicator_naam";"volgnr";"criterium";"aard";"ellenberg";"vgl";"bovengrens_waarde"
"rbbHc";"Sleutelsoorten";852;"Vegetatie";"aantal";;;
"rbbHc";"Sleutelsoorten";853;"Vegetatie";"bedekking";;;
"rbbHc";"Verdroging";854;"Verstoring";"bedekking";;;
"rbbHc";"Soortenrijkdom";855;"Vegetatie";"soortenaantal";;;
"rbbHc";"Gras_kruiden-ratio";856;"Structuur";"gras_kruiden-ratio";;;
"rbbHc";"Verdroging";857;"Verstoring";"F-getal";;;
"rbbHc";"Vernatting";858;"Verstoring";"F-getal";;;
"rbbHc";"Eutrofiëring";859;"Verstoring";"N-getal";;;
"rbbHc";"Verruiging";860;"Verstoring";"bedekking";;;
"rbbHc";"Verbossing";861;"Verstoring";"bedekking boomlaag";;;
"rbbHc";"Vernatting";862;"Verstoring";"bedekking";;;
"rbbHc";"Eutrofiëring";863;"Verstoring";"bedekking";;;
"rbbHc";"Bodemroering";864;"Verstoring";"bedekking";;;
"rbbHc";"Pitrus";865;"Verstoring";"bedekking";;;
"rbbHc";"Verbraming";866;"Verstoring";"bedekking";;;
"rbbHc";"Vernatting (gn zegge";867;"Verstoring";"bedekking";;;
"rbbVos";"Verbraming";868;"Verstoring";"bedekking";;;
"rbbVos";"Bodemroering";869;"Verstoring";"bedekking";;;
"rbbVos";"Pitrus";870;"Verstoring";"bedekking";;;
"rbbVos";"Eutrofiëring";871;"Verstoring";"bedekking";;;
"rbbVos";"Verruiging";872;"Verstoring";"bedekking";;;
"rbbVos";"Droogtegroep Ellenb";873;"Vegetatie";"bedekking";"F-getal";"<";"5"
"rbbVos";"Droogtegroep Ellenb";874;"Vegetatie";"aantal";"F-getal";"<";"5"
"rbbVos";"Nattegroep Ellenb";875;"Vegetatie";"bedekking";"F-getal";">";"6"
"rbbVos";"Nattegroep Ellenb";876;"Vegetatie";"aantal";"F-getal";">";"6"
"rbbVos";"SleutelsoortenStart";877;"Vegetatie";"bedekking";;;
"rbbVos";"SleutelsoortenStart";878;"Vegetatie";"aantal";;;
"rbbVos";"Droogtegroep_sleutel";879;"Vegetatie";"bedekking";;;
"rbbVos";"Droogtegroep_sleutel";880;"Vegetatie";"aantal";;;
"rbbVos";"Vochtgroep_sleutel";881;"Vegetatie";"bedekking";;;
"rbbVos";"Vochtgroep_sleutel";882;"Vegetatie";"aantal";;;
"G";"Grvos_trosdravik";883;"Vegetatie";"bedekking";;;
"rbbVos";"basenminnend";884;"Vegetatie";"aantal";;;
"rbbVos";"hc-groep";885;"Vegetatie";"aantal";;;
"rbbVos";"hc-groep";886;"Vegetatie";"bedekking";;;
"rbbVos";"hu-groep";887;"Vegetatie";"aantal";;;
"rbbVos";"hu-groep";888;"Vegetatie";"bedekking";;;
"rbbVos";"hu-kerngroep";889;"Vegetatie";"aantal";;;
"rbbVos";"hu-kerngroep";890;"Vegetatie";"bedekking";;;
"rbbVos";"hua-groep";891;"Vegetatie";"bedekking";;;
"rbbVos";"hua-kerngroep";892;"Vegetatie";"aantal";;;
"rbbVos";"rbbZil-groep";893;"Vegetatie";"bedekking";;;
"rbbVos";"Vochtgroep Ellenberg";894;"Vegetatie";"bedekking";"F-getal";">";"4"
"rbbVos";"rbbZil-groep";895;"Vegetatie";"aantal";;;
"rbbVos";"moeras-groep";896;"Vegetatie";"bedekking";;;
"rbbVos";"Sleutelsoorten";897;"Vegetatie";"bedekking";;;
"rbbVos";"nattegroep";898;"Vegetatie";"bedekking";;;
"rbbVos";"Beweiding";899;"Verstoring";"bedekking";;;
"rbbVos";"Verdroging";900;"Verstoring";"bedekking";;;
"rbbVos";"Vernatting";901;"Verstoring";"bedekking";;;
"rbbVos";"Sleutelsoorten";902;"Vegetatie";"aantal";;;
"rbbZil";"SleutelsoortenStart";903;"Vegetatie";"bedekking";;;
"rbbZil";"SleutelsoortenStart";904;"Vegetatie";"aantal";;;
"rbbZil";"ziltegroep";905;"Vegetatie";"bedekking";;;
"rbbZil";"ziltegroep";906;"Vegetatie";"aantal";;;
"rbbZil";"hc-groep";907;"Vegetatie";"aantal";;;
"rbbZil";"hc-groep";908;"Vegetatie";"bedekking";;;
"rbbZil";"hu-groep";909;"Vegetatie";"aantal";;;
"rbbZil";"hu-groep";910;"Vegetatie";"bedekking";;;
"rbbZil";"rbbVos-groep";911;"Vegetatie";"aantal";;;
"rbbZil";"rbbVos-groep";912;"Vegetatie";"bedekking";;;
"rbbZil";"moeras-groep";913;"Vegetatie";"bedekking";;;
"rbbZil";"hf-groep";915;"Vegetatie";"bedekking";;;
"rbbZil";"hu-kerngroep";916;"Vegetatie";"aantal";;;
"rbbZil";"hu-kerngroep";917;"Vegetatie";"bedekking";;;
"rbbZil";"GrVos_trosdravik";918;"Vegetatie";"bedekking";;;
"rbbZil";"Vernatting";919;"Verstoring";"bedekking";;;
"rbbZil";"Bodemroering";920;"Verstoring";"bedekking";;;
"rbbZil";"Pitrus";921;"Verstoring";"bedekking";;;
"rbbZil";"Eutrofiëring";922;"Verstoring";"bedekking";;;
"rbbZil";"Verruiging";923;"Verstoring";"bedekking";;;
"rbbZil";"Verdroging";924;"Verstoring";"bedekking";;;
"rbbKam";"SleutelsoortenStart";925;"Vegetatie";"bedekking";;;
"rbbKam";"SleutelsoortenStart";926;"Vegetatie";"aantal";;;
"rbbKam";"ziltegroep";927;"Vegetatie";"bedekking";;;
"rbbKam";"ziltegroep";928;"Vegetatie";"aantal";;;
"rbbKam";"hc-groep";929;"Vegetatie";"aantal";;;
"rbbKam";"hc-groep";930;"Vegetatie";"bedekking";;;
"rbbKam";"hu-groep";931;"Vegetatie";"aantal";;;
"rbbKam";"hu-groep";932;"Vegetatie";"bedekking";;;
"rbbKam";"rbbVos-groep";933;"Vegetatie";"aantal";;;
"rbbKam";"rbbVos-groep";934;"Vegetatie";"bedekking";;;
"rbbKam";"moeras-groep";935;"Vegetatie";"bedekking";;;
"rbbKam";"hf-groep";936;"Vegetatie";"bedekking";;;
