"hrl_code";"code";"wet_naam";"volgnr";"soortenlijstnr"
"G";"hc diff vos";"Ajuga reptans L.";297097;585
;;"Ajuga reptans L.";297854;593
"G";"vos diff hu-groep";"Ajuga reptans L.";295103;596
"G";"vos diff zil-groep";"Ajuga reptans L.";295448;599
"G";"hc diff zil-groep";"Ajuga reptans L.";295491;600
"G";"hc diff ms-groep";"Ajuga reptans L.";296829;603
"G";"valleigrasland-groep";"Ajuga reptans L.";297004;604
"G";"hc diff heide-groep";"Ajuga reptans L.";298094;612
"G";"hc-groep";"Ajuga reptans L.";299320;618
"M";"dottergrasland";"Ajuga reptans L.";306134;664
;;"Ajuga reptans L.";306856;693
"M";"water_moeras";"Alisma gramineum Lej.";306701;688
"O";"waterpl";"Alisma gramineum Lej.";306758;690
"G";"Obligaat freatofyt";"Alisma lanceolatum With.";8084;550
"M";"water_moeras";"Alisma lanceolatum With.";306559;688
"G";;"Alisma plantago-aquatica L.";9453;466
"G";"heide sensu stricto";"Alisma plantago-aquatica L.";9549;533
"G";"Obligaat freatofyt";"Alisma plantago-aquatica L.";8085;550
"G";"moeras-groep";"Alisma plantago-aquatica L.";298595;578
"G";"vos diff hu-groep";"Alisma plantago-aquatica L.";295105;596
"G";"m diff hei-groep";"Alisma plantago-aquatica L.";298215;615
"G";"m_ruim-groep";"Alisma plantago-aquatica L.";298968;620
;;"Alisma plantago-aquatica L.";305778;643
"H";"ven- en moerasgroep ";"Alisma plantago-aquatica L.";305599;650
"M";"rietl-begeleiders";"Alisma plantago-aquatica L.";305960;653
"M";"water_moeras";"Alisma plantago-aquatica L.";306560;688
;;"Alisma plantago-aquatica L.";306836;691
"M";;"Alisma plantago-aquatica L.";306869;694
"M";;"Alisma plantago-aquatica L.";306915;696
"Hu";"Eutrofiëring";"Alliaria petiolata (Bieb.) Cavara et Grande";6511;517
;;"Alliaria petiolata (Bieb.) Cavara et Grande";8836;568
"G";"nitrofiele zoom";"Alliaria petiolata (Bieb.) Cavara et Grande";8982;571
;"1";"Allium oleraceum L.";8971;538
"G";"Husc-groep1";"Allium oleraceum L.";7805;543
"G";"hk_uitgebreid-groep";"Allium oleraceum L.";9311;579
"G";"Husc-groep1";"Allium scorodoprasum L.";7811;543
"G";"Fac. freatofyt (V of";"Allium scorodoprasum L.";7862;546
"G";"Fac. freatofyt (V of";"Allium ursinum L.";7863;546
"G";"hu-kerngroep11";"Allium vineale L.";5307;461
"Hu";"hu+-groep";"Allium vineale L.";6493;514
;;"Allium vineale L.";8856;568
"G";"nitrofielezoom begel";"Allium vineale L.";9002;572
"G";"hu_kern_inclbasen";"Allium vineale L.";294308;588
"G";"hu diff vos-groep";"Allium vineale L.";294953;595
"G";"Fac. freatofyt (V of";"Alnus glutinosa (L.) Gaertn.";7864;546
"G";"ruderaal_ruim-groep";"Alnus glutinosa (L.) Gaertn.";294113;587
"G";"valleigrasland-groep";"Alnus glutinosa (L.) Gaertn.";297005;604
"G";"Obligaat freatofyt";"Alopecurus aequalis Sobol.";8086;550
"rbbHc";"Vernatting";"Alopecurus geniculatus L.";5018;443
"rbbHc";"Vernatting";"Alopecurus geniculatus L.";5090;448
"rbbVos";"rbbZil-groep";"Alopecurus geniculatus L.";5450;467
"rbbVos";"Vernatting";"Alopecurus geniculatus L.";6870;473
"rbbZil";"Sleutelsoorten";"Alopecurus geniculatus L.";6164;502
"rbbZil";"Sleutelsoorten";"Alopecurus geniculatus L.";6209;503
"Hu";"Vernatting";"Alopecurus geniculatus L.";6436;520
"rbbKam";"Vernatting";"Alopecurus geniculatus L.";6876;531
"G";"Fac. freatofyt (V of";"Alopecurus geniculatus L.";7865;546
"G";"Zil-groep uitgebreid";"Alopecurus geniculatus L.";9598;581
"G";"voedselrijk grasland";"Alopecurus geniculatus L.";9652;582
"G";"vos diff hu-groep";"Alopecurus geniculatus L.";295106;596
;;"Alopecurus geniculatus L.";295440;598
"G";"zil diff hc-groep";"Alopecurus geniculatus L.";295552;601
;;"Alopecurus geniculatus L.";307048;695
"rbbVos";"Grvos_trosdravik";"Alopecurus pratensis L.";5169;457
"G";"hu-groep11";"Alopecurus pratensis L.";5267;460
"rbbVos";"hua-groep";"Alopecurus pratensis L.";5239;462
"rbbZil";"hu-groep";"Alopecurus pratensis L.";5698;477
"Hu";"hu-groep";"Alopecurus pratensis L.";6447;514
"rbbHf";"Verdroging029";"Alopecurus pratensis L.";6751;523
"G";"hu-groep";"Alopecurus pratensis L.";8747;566
"G";"hc diff hm-groep";"Alopecurus pratensis L.";9182;576
"G";"voedselrijk grasland";"Alopecurus pratensis L.";9650;582
"G";"hpster grasland-groe";"Alopecurus pratensis L.";9674;583
"G";"vos diff hc";"Alopecurus pratensis L.";9729;584
;;"Alopecurus pratensis L.";295359;596
"G";"grote vossenstaart";"Alopecurus pratensis L.";295364;597
;;"Alopecurus pratensis L.";295477;599
"M";"dottergrasland";"Alopecurus pratensis L.";306132;664
"rbbHf";"SleutelsoortenStart";"Althaea officinalis L.";6684;497
"rbbHf";"Sleutelsoortenz";"Althaea officinalis L.";6671;501
"G";"Obligaat freatofyt";"Althaea officinalis L.";8087;550
"G";"6430hw-groep";"Althaea officinalis L.";8523;558
"G";"6430hw-groep";"Althaea officinalis L.";294419;559
"M";"natteruigte-sleutel.";"Althaea officinalis L.";306094;662
"M";"natteruigte-grzegge";"Althaea officinalis L.";306737;689
"rbbVos";"basenminnend";"Anacamptis pyramidalis (L.) L.C.M. Rich.";5194;458
"G";"basenminnend";"Anacamptis pyramidalis (L.) L.C.M. Rich.";6990;534
"G";"Hk-Groep";"Anacamptis pyramidalis (L.) L.C.M. Rich.";8378;538
"G";"orchidee_groep";"Anacamptis pyramidalis (L.) L.C.M. Rich.";8394;554
"G";"hk_uitgebreid-groep";"Anacamptis pyramidalis (L.) L.C.M. Rich.";9312;579
"G";"hu_kern_inclbasen";"Anacamptis pyramidalis (L.) L.C.M. Rich.";294309;588
"G";"hm diff hmo-groep";"Anacamptis pyramidalis (L.) L.C.M. Rich.";294706;593
"G";"hu diff vos-groep";"Anacamptis pyramidalis (L.) L.C.M. Rich.";294954;595
"G";"Hme-groep1";"Anagallis tenella (L.) L.";7786;542
"G";"Obligaat freatofyt";"Anagallis tenella (L.) L.";8088;550
"G";"Mk-groep1";"Anagallis tenella (L.) L.";8448;555
"G";"hm diff hc-groep";"Anagallis tenella (L.) L.";9208;577
"G";"hm diff hmo-groep";"Anagallis tenella (L.) L.";294707;593
"G";"hmn-groep";"Anagallis tenella (L.) L.";297791;607
"G";"hm diff heide-groep";"Anagallis tenella (L.) L.";297999;611
"G";"m diff hei-groep";"Anagallis tenella (L.) L.";298728;615
"G";"hm_hmo-groep";"Anagallis tenella (L.) L.";298795;618
"G";"m_ruim-groep";"Anagallis tenella (L.) L.";298969;620
"H";"moeras";"Anagallis tenella (L.) L.";300678;642
"H";"M diff 4010_7140oli";"Anagallis tenella (L.) L.";301020;643
"H";"ven- en moerasgroep ";"Anagallis tenella (L.) L.";305600;650
"M";"alkalisch laagveen";"Anagallis tenella (L.) L.";306055;660
"G";"heide";"Andromeda polifolia L.";8070;549
"G";"Obligaat freatofyt";"Andromeda polifolia L.";8089;550
"G";"natte hei";"Andromeda polifolia L.";8344;552
"G";"heide sensu stricto";"Andromeda polifolia L.";9419;580
"G";"hmo diff hm-groep";"Andromeda polifolia L.";294829;594
"G";"hmn-groep";"Andromeda polifolia L.";297792;607
"G";"hei diff gras-groep";"Andromeda polifolia L.";298165;614
"G";"hei diff moer-groep";"Andromeda polifolia L.";298399;616
;;"Andromeda polifolia L.";300580;624
"H";"c diff 23-groep";"Andromeda polifolia L.";299450;625
"H";"cv-vochtig-groep";"Andromeda polifolia L.";299858;631
"G";"hei_diff_heischr";"Andromeda polifolia L.";299998;633
"H";"hei_diff_7150-groep";"Andromeda polifolia L.";300138;635
"G";"hei diff gras-htabel";"Andromeda polifolia L.";300228;638
;;"Andromeda polifolia L.";300326;639
"O";"heide s.l.";"Andromeda polifolia L.";300355;640
"G";"heide habitatw sl";"Andromeda polifolia L.";301566;648
"M";"overgangsv-sleutels.";"Andromeda polifolia L.";305996;657
"G";"Hm-Groep1";"Anemone nemorosa L.";7765;541
"G";"Hm-Groep1";"Anemone nemorosa L.";8022;548
"G";"Hm-Groep";"Anemone nemorosa L.";8466;556
"G";"hm diff hc-groep";"Anemone nemorosa L.";9209;577
"G";"hm diff hmo-groep";"Anemone nemorosa L.";294708;593
;;"Anemone nemorosa L.";295360;595
"G";"hm diff ms-groep";"Anemone nemorosa L.";297179;606
"G";"hmn-groep";"Anemone nemorosa L.";297793;607
