"hrl_code";"code";"wet_naam";"volgnr";"soortenlijstnr"
"G";"ha+-groep1";"Dianthus deltoides L.";8370;513
"Ha";"SleutelsoortenStart";"Dianthus deltoides L.";6541;521
"G";"ha_ruim-groep";"Dianthus deltoides L.";9823;586
"G";"hu diff vos-groep";"Dianthus deltoides L.";294984;595
"H";"grasland diff 23";"Dianthus deltoides L.";300211;637
"G";"cg diff ce-groep";"Dianthus deltoides L.";303652;649
"G";"natte hei add";"Dicranum bonjeanii De Not.";301417;552
"G";"moerasmossen";"Dicranum bonjeanii De Not.";294514;591
"G";"ms diff hc-groep";"Dicranum bonjeanii De Not.";296528;602
"G";"m_ruim-groep";"Dicranum bonjeanii De Not.";299263;620
;;"Dicranum bonjeanii De Not.";301336;624
;;"Dicranum polysetum Sw. ex anon.";303770;649
;;"Dicranum scoparium Hedw.";294916;594
"G";"hei diff moer-groep";"Dicranum scoparium Hedw.";298445;616
;"landduin-groep";"Dicranum scoparium Hedw.";299766;627
"H";"duin diff 2330dw";"Dicranum scoparium Hedw.";299774;628
"H";"hei_diff_7150-groep";"Dicranum scoparium Hedw.";300166;635
"G";"heide habitatw sl";"Dicranum scoparium Hedw.";303496;648
;;"Dicranum scoparium Hedw.";303762;649
;;"Dicranum spurium Hedw.";303763;649
"G";"moerasmossen";"Didymodon tophaceus (Brid.) Lisa";294569;591
"G";"kalkmossen";"Didymodon tophaceus (Brid.) Lisa";294653;592
"G";"m diff hei-groep";"Didymodon tophaceus (Brid.) Lisa";298267;615
"G";"m_ruim-groep";"Didymodon tophaceus (Brid.) Lisa";299015;620
"H";"moeras";"Didymodon tophaceus (Brid.) Lisa";300724;642
"H";"M diff 4010_7140oli";"Didymodon tophaceus (Brid.) Lisa";301045;643
"H";"ven- en moerasgroep ";"Didymodon tophaceus (Brid.) Lisa";305650;650
"G";"ruderaal-groep1";"Dipsacus fullonum L.";8591;562
"G";"ruderaal_ruim-groep";"Dipsacus fullonum L.";294155;587
"G";"6430_bz";"Dipsacus pilosus L.";9029;573
;;"Ditrichum flexicaule (Schwägr.) Hampe s.s.";294683;567
"G";"kalkmossen";"Ditrichum flexicaule (Schwägr.) Hampe s.s.";294670;592
;;"Drepanocladus aduncus (Hedw.) Warnst. s.l.";305863;591
"M";"water_moeras";"Drepanocladus aduncus (Hedw.) Warnst. s.l.";306583;688
;;"Drepanocladus aduncus s.s.";305864;591
"M";"water_moeras";"Drepanocladus aduncus s.s.";306726;688
"G";"moerasmossen";"Drepanocladus polygamus (Schimp.) Hedenäs s.l.";294516;591
"G";"m diff hei-groep";"Drepanocladus polygamus (Schimp.) Hedenäs s.l.";298268;615
"G";"m_ruim-groep";"Drepanocladus polygamus (Schimp.) Hedenäs s.l.";299016;620
"H";"moeras";"Drepanocladus polygamus (Schimp.) Hedenäs s.l.";300725;642
"H";"M diff 4010_7140oli";"Drepanocladus polygamus (Schimp.) Hedenäs s.l.";301046;643
"H";"ven- en moerasgroep ";"Drepanocladus polygamus (Schimp.) Hedenäs s.l.";305651;650
"M";"alkalisch laagveen";"Drepanocladus polygamus (Schimp.) Hedenäs s.l.";306267;660
"M";"duinpan+7230";"Drepanocladus polygamus (Schimp.) Hedenäs s.l.";306280;671
"M";"alkalisch laagveen";"Drepanocladus polygamus (Schimp.) Hedenäs s.s.";306268;660
"M";"duinpan+7230";"Drepanocladus polygamus (Schimp.) Hedenäs s.s.";306281;671
"G";"natte hei add";"Drosera";300594;552
"ce_diff_cg";;"Drosera";299439;624
;;"Drosera";299993;632
"G";"moeras-groep";"Drosera intermedia Hayne";9127;466
"rbbZil";"moeras-groep";"Drosera intermedia Hayne";5775;479
"G";"moeras-groep";"Drosera intermedia Hayne";6921;533
"G";"heide";"Drosera intermedia Hayne";8064;549
"G";"Obligaat freatofyt";"Drosera intermedia Hayne";8141;550
"G";"natte hei";"Drosera intermedia Hayne";8338;552
"G";"moeras-groep";"Drosera intermedia Hayne";298623;578
"G";"heide sensu stricto";"Drosera intermedia Hayne";9426;580
"G";"hmo diff hm-groep";"Drosera intermedia Hayne";294846;594
"G";"vos diff hu-groep";"Drosera intermedia Hayne";295169;596
"G";"ms diff hc-groep";"Drosera intermedia Hayne";296531;602
"G";"hmn-groep";"Drosera intermedia Hayne";297814;607
"G";"hei diff gras-groep";"Drosera intermedia Hayne";298169;614
"G";"hei diff moer-groep";"Drosera intermedia Hayne";298402;616
"G";"m_ruim-groep";"Drosera intermedia Hayne";299169;620
"ce_diff_cg";;"Drosera intermedia Hayne";299438;624
"H";"c diff 23-groep";"Drosera intermedia Hayne";299458;625
"H";"cv-vochtig-groep";"Drosera intermedia Hayne";299861;631
;;"Drosera intermedia Hayne";299994;632
"G";"hei_diff_heischr";"Drosera intermedia Hayne";300005;633
"G";"hei diff gras-htabel";"Drosera intermedia Hayne";300235;638
;;"Drosera intermedia Hayne";300328;639
"O";"heide s.l.";"Drosera intermedia Hayne";300357;640
"G";"heide habitatw sl";"Drosera intermedia Hayne";301585;648
"M";"snavelb-sleutels.";"Drosera intermedia Hayne";305964;654
"G";;"Drosera rotundifolia L.";9415;466
"G";"heide sensu stricto";"Drosera rotundifolia L.";9546;533
"G";"heide";"Drosera rotundifolia L.";8065;549
"G";"Obligaat freatofyt";"Drosera rotundifolia L.";8142;550
"G";"natte hei";"Drosera rotundifolia L.";8339;552
"G";"heide sensu stricto";"Drosera rotundifolia L.";9427;580
"G";"hmo diff hm-groep";"Drosera rotundifolia L.";294847;594
"G";"vos diff hu-groep";"Drosera rotundifolia L.";295170;596
"G";"ms diff hc-groep";"Drosera rotundifolia L.";296532;602
"G";"hmn-groep";"Drosera rotundifolia L.";297815;607
"G";"heide";"Drosera rotundifolia L.";301489;616
"G";"hm_hmo-groep";"Drosera rotundifolia L.";298819;618
;;"Drosera rotundifolia L.";303600;619
"G";"m_ruim-groep";"Drosera rotundifolia L.";299170;620
"ce_diff_cg";;"Drosera rotundifolia L.";299440;624
"H";"c diff 23-groep";"Drosera rotundifolia L.";299459;625
"H";"cv-vochtig-groep";"Drosera rotundifolia L.";299862;631
;;"Drosera rotundifolia L.";299995;632
;;"Drosera rotundifolia L.";301232;633
;;"Drosera rotundifolia L.";300329;639
"O";"heide s.l.";"Drosera rotundifolia L.";300358;640
"G";"heide habitatw sl";"Drosera rotundifolia L.";301586;648
"H";"ven- en moerasgroep ";"Drosera rotundifolia L.";305652;650
"M";"snavelb-sleutels.";"Drosera rotundifolia L.";305965;654
;;"Drosera rotundifolia L.";306910;655
;;"Drosera rotundifolia L.";306909;692
"G";"natte hei add";"Dryopteris carthusiana (Vill.) H.P. Fuchs";301420;552
"G";"ms diff hm-groep";"Dryopteris carthusiana (Vill.) H.P. Fuchs";9302;578
"G";"Obligaat freatofyt";"Dryopteris cristata (L.) A. Gray";8143;550
;;"Dryopteris cristata (L.) A. Gray";306444;659
;;"Dryopteris cristata (L.) A. Gray";306913;692
"G";"natte hei add";"Dryopteris dilatata (Hoffmann) A. Gray";301421;552
"G";"ms diff hm-groep";"Dryopteris dilatata (Hoffmann) A. Gray";9303;578
"M";"invasieve exoten";"Duchesnea indica (Andrews) Focke";306183;667
"G";"ruderaal-groep1";"Echium vulgare L.";8598;562
"G";"ruderaal_ruim-groep";"Echium vulgare L.";294156;587
"M";"3130_na";"Elatine";306211;668
"M";"water_moeras";"Elatine";306733;688
"G";"Obligaat freatofyt";"Elatine hexandra (Lapierre) DC.";8146;550
;;"Elatine hexandra (Lapierre) DC.";301236;645
"M";"3130_na";"Elatine hexandra (Lapierre) DC.";306208;668
"M";"water_moeras";"Elatine hexandra (Lapierre) DC.";306587;688
;;"Elatine hydropiper L.";301237;645
"M";"3130_na";"Elatine hydropiper L.";306209;668
"M";"water_moeras";"Elatine hydropiper L.";306722;688
;;"Elatine triandra Schkuhr";301238;645
"M";"3130_na";"Elatine triandra Schkuhr";306210;668
;;"Eleocharis";297876;466
;;"Eleocharis";297871;533
"G";"moeras-groep";"Eleocharis";298692;578
"G";"m diff hei-groep";"Eleocharis";298243;615
"G";"m_ruim-groep";"Eleocharis";299017;620
;;"Eleocharis";300180;636
"H";"moeras";"Eleocharis";300726;642
"H";"M diff 4010_7140oli";"Eleocharis";301047;643
"H";"ven- en moerasgroep ";"Eleocharis";305653;650
"G";"moeras-groep";"Eleocharis acicularis (L.) Roem. et Schult.";9128;466
"rbbZil";"moeras-groep";"Eleocharis acicularis (L.) Roem. et Schult.";5776;479
"G";"moeras-groep";"Eleocharis acicularis (L.) Roem. et Schult.";6922;533
"G";"Obligaat freatofyt";"Eleocharis acicularis (L.) Roem. et Schult.";8147;550
"G";"moeras-groep";"Eleocharis acicularis (L.) Roem. et Schult.";298625;578
"G";"vos diff hu-groep";"Eleocharis acicularis (L.) Roem. et Schult.";295171;596
"G";"ms diff hc-groep";"Eleocharis acicularis (L.) Roem. et Schult.";296533;602
"G";"ms-groep";"Eleocharis acicularis (L.) Roem. et Schult.";298521;614
"G";"m_ruim-groep";"Eleocharis acicularis (L.) Roem. et Schult.";299018;620
"G";"hei_diff_heischr";"Eleocharis acicularis (L.) Roem. et Schult.";300006;633
;;"Eleocharis acicularis (L.) Roem. et Schult.";300181;636
"G";"hei diff gras-htabel";"Eleocharis acicularis (L.) Roem. et Schult.";300236;638
"O";"heide sl diff grasl";"Eleocharis acicularis (L.) Roem. et Schult.";300528;641
;;"Eleocharis acicularis (L.) Roem. et Schult.";301314;647
"G";"heide habitatw sl";"Eleocharis acicularis (L.) Roem. et Schult.";303499;648
"H";"ven- en moerasgroep ";"Eleocharis acicularis (L.) Roem. et Schult.";305654;650
"M";"3270";"Eleocharis acicularis (L.) Roem. et Schult.";306258;670
"M";"water_moeras";"Eleocharis acicularis (L.) Roem. et Schult.";306588;688
"G";"moeras-groep";"Eleocharis multicaulis (Smith) Desv.";9129;466
"rbbZil";"moeras-groep";"Eleocharis multicaulis (Smith) Desv.";5777;479
"G";"moeras-groep";"Eleocharis multicaulis (Smith) Desv.";6923;533
"G";"heide";"Eleocharis multicaulis (Smith) Desv.";8066;549
"G";"Obligaat freatofyt";"Eleocharis multicaulis (Smith) Desv.";8148;550
"G";"natte hei";"Eleocharis multicaulis (Smith) Desv.";8340;552
;;"Eleocharis multicaulis (Smith) Desv.";297942;578
"G";"hmo diff hm-groep";"Eleocharis multicaulis (Smith) Desv.";294848;594
"G";"vos diff hu-groep";"Eleocharis multicaulis (Smith) Desv.";295172;596
"G";"ms diff hc-groep";"Eleocharis multicaulis (Smith) Desv.";296534;602
"G";"hmn-groep";"Eleocharis multicaulis (Smith) Desv.";297816;607
"G";"hei diff gras-groep";"Eleocharis multicaulis (Smith) Desv.";298171;614
"G";"hei diff moer-groep";"Eleocharis multicaulis (Smith) Desv.";298403;616
"G";"m_ruim-groep";"Eleocharis multicaulis (Smith) Desv.";299019;620
;;"Eleocharis multicaulis (Smith) Desv.";300584;624
"H";"c diff 23-groep";"Eleocharis multicaulis (Smith) Desv.";299460;625
"H";"cv-vochtig-groep";"Eleocharis multicaulis (Smith) Desv.";299863;631
"G";"hei_diff_heischr";"Eleocharis multicaulis (Smith) Desv.";300007;633
;;"Eleocharis multicaulis (Smith) Desv.";300179;636
"G";"hei diff gras-htabel";"Eleocharis multicaulis (Smith) Desv.";300237;638
;;"Eleocharis multicaulis (Smith) Desv.";301259;640
"O";"heide sl diff grasl";"Eleocharis multicaulis (Smith) Desv.";300529;641
;;"Eleocharis multicaulis (Smith) Desv.";305791;643
;;"Eleocharis multicaulis (Smith) Desv.";301325;647
"G";"heide habitatw sl";"Eleocharis multicaulis (Smith) Desv.";301587;648
"H";"ven- en moerasgroep ";"Eleocharis multicaulis (Smith) Desv.";305655;650
"M";"water_moeras";"Eleocharis multicaulis (Smith) Desv.";306589;688
;;"Eleocharis ovata (Roth) Roem. et Schult.";301240;645
"M";"3130_na";"Eleocharis ovata (Roth) Roem. et Schult.";306212;668
"G";"rbbZil-groep1";"Eleocharis palustris (L.) Roem. et Schult.";5321;464
;;"Eleocharis palustris (L.) Roem. et Schult.";297877;466
"rbbVos";"rbbZil-groep";"Eleocharis palustris (L.) Roem. et Schult.";5454;467
"rbbZil";"SleutelsoortenStart";"Eleocharis palustris (L.) Roem. et Schult.";5628;474
"rbbZil";"SleutelsoortenStart";"Eleocharis palustris (L.) Roem. et Schult.";6141;502
"rbbZil";"SleutelsoortenStart";"Eleocharis palustris (L.) Roem. et Schult.";6190;503
;;"Eleocharis palustris (L.) Roem. et Schult.";297872;533
"G";"Obligaat freatofyt";"Eleocharis palustris (L.) Roem. et Schult.";8280;550
"G";"moeras-groep";"Eleocharis palustris (L.) Roem. et Schult.";298693;578
"G";"Zil-groep uitgebreid";"Eleocharis palustris (L.) Roem. et Schult.";9574;581
"G";"ruderaal_ruim-groep";"Eleocharis palustris (L.) Roem. et Schult.";294157;587
"G";"vos diff hu-groep";"Eleocharis palustris (L.) Roem. et Schult.";295173;596
"G";"zil diff vos-groep";"Eleocharis palustris (L.) Roem. et Schult.";295415;598
"G";"zil diff hc-groep";"Eleocharis palustris (L.) Roem. et Schult.";295526;601
"G";"valleigrasland-groep";"Eleocharis palustris (L.) Roem. et Schult.";297036;604
"G";"m diff hei-groep";"Eleocharis palustris (L.) Roem. et Schult.";298247;615
"G";"m_ruim-groep";"Eleocharis palustris (L.) Roem. et Schult.";299020;620
;;"Eleocharis palustris (L.) Roem. et Schult.";300182;636
;;"Eleocharis palustris (L.) Roem. et Schult.";305792;643
"H";"ven- en moerasgroep ";"Eleocharis palustris (L.) Roem. et Schult.";305656;650
"M";"water_moeras";"Eleocharis palustris (L.) Roem. et Schult.";306590;688
"M";;"Eleocharis palustris (L.) Roem. et Schult.";306968;695
"G";"rbbZil-groep1";"Eleocharis palustris groep";5323;464
;;"Eleocharis palustris groep";297878;466
"rbbVos";"rbbZil-groep";"Eleocharis palustris groep";5455;467
"rbbZil";"SleutelsoortenStart";"Eleocharis palustris groep";5629;474
"rbbZil";"SleutelsoortenStart";"Eleocharis palustris groep";6142;502
"rbbZil";"SleutelsoortenStart";"Eleocharis palustris groep";6191;503
;;"Eleocharis palustris groep";297873;533
"G";"Obligaat freatofyt";"Eleocharis palustris groep";8287;550
"G";"moeras-groep";"Eleocharis palustris groep";298694;578
"G";"Zil-groep uitgebreid";"Eleocharis palustris groep";9575;581
"G";"ruderaal_ruim-groep";"Eleocharis palustris groep";294158;587
"G";"vos diff hu-groep";"Eleocharis palustris groep";295174;596
"G";"zil diff vos-groep";"Eleocharis palustris groep";295416;598
"G";"zil diff hc-groep";"Eleocharis palustris groep";295527;601
"G";"m diff hei-groep";"Eleocharis palustris groep";298248;615
"G";"m_ruim-groep";"Eleocharis palustris groep";299021;620
;;"Eleocharis palustris groep";300183;636
;;"Eleocharis palustris groep";305793;643
"H";"ven- en moerasgroep ";"Eleocharis palustris groep";305657;650
"M";;"Eleocharis palustris groep";306969;695
"G";;"Eleocharis quinqueflora (F.X. Hartm.) O. Schwartz";9451;466
"G";"heide sensu stricto";"Eleocharis quinqueflora (F.X. Hartm.) O. Schwartz";9548;533
"G";"Obligaat freatofyt";"Eleocharis quinqueflora (F.X. Hartm.) O. Schwartz";8149;550
"G";"moeras-groep";"Eleocharis quinqueflora (F.X. Hartm.) O. Schwartz";298627;578
"G";"vos diff hu-groep";"Eleocharis quinqueflora (F.X. Hartm.) O. Schwartz";295175;596
"G";"m diff hei-groep";"Eleocharis quinqueflora (F.X. Hartm.) O. Schwartz";298273;615
"G";"m_ruim-groep";"Eleocharis quinqueflora (F.X. Hartm.) O. Schwartz";299022;620
"H";"moeras";"Eleocharis quinqueflora (F.X. Hartm.) O. Schwartz";300731;642
"H";"M diff 4010_7140oli";"Eleocharis quinqueflora (F.X. Hartm.) O. Schwartz";301048;643
"H";"ven- en moerasgroep ";"Eleocharis quinqueflora (F.X. Hartm.) O. Schwartz";305658;650
"M";"trilveen";"Eleocharis quinqueflora (F.X. Hartm.) O. Schwartz";306021;659
"M";"alkalisch laagveen";"Eleocharis quinqueflora (F.X. Hartm.) O. Schwartz";306040;660
"G";"rbbZil-groep1";"Eleocharis uniglumis (Link) Schult.";5336;464
"G";"moeras-groep";"Eleocharis uniglumis (Link) Schult.";9130;466
"rbbVos";"rbbZil-groep";"Eleocharis uniglumis (Link) Schult.";5456;467
"rbbZil";"SleutelsoortenStart";"Eleocharis uniglumis (Link) Schult.";5630;474
"rbbZil";"moeras-groep";"Eleocharis uniglumis (Link) Schult.";5778;479
"rbbZil";"SleutelsoortenStart";"Eleocharis uniglumis (Link) Schult.";6143;502
"rbbZil";"SleutelsoortenStart";"Eleocharis uniglumis (Link) Schult.";6192;503
"G";"moeras-groep";"Eleocharis uniglumis (Link) Schult.";6924;533
"G";"Obligaat freatofyt";"Eleocharis uniglumis (Link) Schult.";8150;550
"G";"moeras-groep";"Eleocharis uniglumis (Link) Schult.";298628;578
"G";"Zil-groep uitgebreid";"Eleocharis uniglumis (Link) Schult.";9576;581
"G";"ruderaal_ruim-groep";"Eleocharis uniglumis (Link) Schult.";294159;587
"G";"vos diff hu-groep";"Eleocharis uniglumis (Link) Schult.";295176;596
"G";"zil diff vos-groep";"Eleocharis uniglumis (Link) Schult.";295417;598
"G";"zil diff hc-groep";"Eleocharis uniglumis (Link) Schult.";295528;601
"G";"m diff hei-groep";"Eleocharis uniglumis (Link) Schult.";298274;615
"G";"m_ruim-groep";"Eleocharis uniglumis (Link) Schult.";299023;620
"H";"moeras";"Eleocharis uniglumis (Link) Schult.";300732;642
"H";"M diff 4010_7140oli";"Eleocharis uniglumis (Link) Schult.";301049;643
"H";"ven- en moerasgroep ";"Eleocharis uniglumis (Link) Schult.";305659;650
"M";;"Eleocharis uniglumis (Link) Schult.";306970;695
"M";"water_moeras";"Elodea canadensis Michaux";306591;688
"O";"waterpl";"Elodea canadensis Michaux";306765;690
"M";"water_moeras";"Elodea nuttallii (Planch.) St John";306592;688
"O";"waterpl";"Elodea nuttallii (Planch.) St John";306766;690
"G";"Fac. freatofyt (V of";"Elymus caninus (L.) L.";7885;546
"rbbVos";"Bodemroering";"Elymus repens (L.) Gould";5585;450
"rbbZil";"Bodemroering";"Elymus repens (L.) Gould";5839;482
"rbbKam";"Bodemroering";"Elymus repens (L.) Gould";5929;488
"Ha";"Bodemroering";"Elymus repens (L.) Gould";6830;506
"Hu";"Bodemroering096";"Elymus repens (L.) Gould";6396;515
"rbbHf";"Bodemroering008";"Elymus repens (L.) Gould";6612;522
"G";"ruderaal-groep1";"Elymus repens (L.) Gould";8601;562
"G";"ruderaal_ruim-groep";"Elymus repens (L.) Gould";294160;587
;;"Elymus repens (L.) Gould";295095;595
"G";"zil diff hc-groep";"Elymus repens (L.) Gould";295553;601
"M";"mc_gras";"Elymus repens (L.) Gould";306364;675
"M";"6430_ruig";"Elymus repens (L.) Gould";306371;676
;;"Elymus repens (L.) Gould";306493;685
;;"Elymus repens (L.) Gould";307050;695
"G";"valleigrasland-groep";"Epilobium";297037;604
"G";"Obligaat freatofyt";"Epilobium ciliatum Rafin.";8151;550
"rbbHc";"Verruiging";"Epilobium hirsutum L.";5044;442
"rbbZil";"hf-groep";"Epilobium hirsutum L.";5732;480
"rbbZil";"Verruiging";"Epilobium hirsutum L.";5870;485
"rbbHf";"SleutelsoortenStart";"Epilobium hirsutum L.";6732;497
"rbbHf";"Sleutelsoortenj";"Epilobium hirsutum L.";6665;501
"rbbHf";"eutrofiëring";"Epilobium hirsutum L.";6594;524
"G";"Fac. freatofyt (V of";"Epilobium hirsutum L.";7886;546
"G";"6430hw-groep";"Epilobium hirsutum L.";8511;558
"G";"vocht ruigtekruiden";"Epilobium hirsutum L.";8534;559
"G";"valleigrasland-groep";"Epilobium hirsutum L.";297038;604
"M";"natteruigte-sleutel.";"Epilobium hirsutum L.";306093;662
"M";"mc_ruig";"Epilobium hirsutum L.";306346;674
;;"Epilobium hirsutum L.";306445;682
;;"Epilobium hirsutum L.";306528;686
;;"Epilobium hirsutum L.";306510;687
"M";"natteruigte-grzegge";"Epilobium hirsutum L.";306743;689
;;"Epilobium hirsutum L.";306870;691
"G";;"Epilobium montanum L.";9053;572
"G";"Fac. freatofyt (V of";"Epilobium obscurum Schreb.";7887;546
"G";"moeras-groep1";"Epilobium palustre L.";5385;466
"rbbZil";"moeras-groep";"Epilobium palustre L.";5779;479
"rbbHf";"SleutelsoortenKempen";"Epilobium palustre L.";6636;526
"G";"moeras-groep1";"Epilobium palustre L.";6925;533
"G";"Obligaat freatofyt";"Epilobium palustre L.";8152;550
"G";"Ms-groep1";"Epilobium palustre L.";8643;564
"G";"ms diff hm-groep";"Epilobium palustre L.";9280;578
"G";"vos diff hu-groep";"Epilobium palustre L.";295178;596
"G";"ms diff hc-groep";"Epilobium palustre L.";296537;602
"G";"ms diff heide-groep";"Epilobium palustre L.";298145;613
"G";"m diff hei-groep";"Epilobium palustre L.";298275;615
"G";"ms_ruim-groep";"Epilobium palustre L.";298935;619
"G";"m_ruim-groep";"Epilobium palustre L.";299024;620
"H";"M diff 4010_7140oli";"Epilobium palustre L.";301013;643
"H";"ven- en moerasgroep ";"Epilobium palustre L.";305660;650
"M";"zuurlaagv-sleutels.";"Epilobium palustre L.";305970;655
"M";"ms_vs_riet";"Epilobium palustre L.";306878;692
"G";"Fac. freatofyt (V of";"Epilobium parviflorum Schreb.";7888;546
"G";"6430hw-groep";"Epilobium parviflorum Schreb.";8520;558
"G";"6430hw-groep";"Epilobium parviflorum Schreb.";294423;559
"G";"Fac. freatofyt (V of";"Epilobium roseum Schreb.";7889;546
"G";"Fac. freatofyt (V of";"Epilobium tetragonum L.";7890;546
"rbbZil";"moeras-groep";"Epipactis palustris (L.) Crantz";5780;479
"G";"mk-groep";"Epipactis palustris (L.) Crantz";299387;534
"G";"Obligaat freatofyt";"Epipactis palustris (L.) Crantz";8153;550
"G";"Mk-groep1";"Epipactis palustris (L.) Crantz";8443;555
;;"Epipactis palustris (L.) Crantz";301253;593
"G";"valleigrasland-groep";"Epipactis palustris (L.) Crantz";297039;604
"G";"m diff hei-groep";"Epipactis palustris (L.) Crantz";298717;615
"G";"m_ruim-groep";"Epipactis palustris (L.) Crantz";299025;620
"H";"moeras";"Epipactis palustris (L.) Crantz";300734;642
"H";"M diff 4010_7140oli";"Epipactis palustris (L.) Crantz";301050;643
"H";"ven- en moerasgroep ";"Epipactis palustris (L.) Crantz";305661;650
"M";"alkalisch laagveen";"Epipactis palustris (L.) Crantz";306048;660
"M";"duinpan+7230";"Epipactis palustris (L.) Crantz";306283;671
"rbbVos";"Bodemroering";"Equisetum arvense L.";5586;450
"rbbZil";"Bodemroering";"Equisetum arvense L.";5840;482
"rbbKam";"Bodemroering";"Equisetum arvense L.";5930;488
"rbbHf";"Bodemroering029";"Equisetum arvense L.";6745;493
"Ha";"Bodemroering230";"Equisetum arvense L.";6256;506
"Hu";"Bodemroering088";"Equisetum arvense L.";6397;515
"rbbHf";"Bodemroering015";"Equisetum arvense L.";6613;522
"G";"ruderaal-groep1";"Equisetum arvense L.";8602;562
"G";"ruderaal_ruim-groep";"Equisetum arvense L.";294161;587
;;"Equisetum arvense L.";295097;595
"M";"6430_ruig";"Equisetum arvense L.";306372;676
"M";"6430_ruderaal";"Equisetum arvense L.";306412;679
"G";"moeras-groep1";"Equisetum fluviatile L.";5379;466
"rbbZil";"moeras-groep";"Equisetum fluviatile L.";5781;479
"rbbHf";"Vernatting077";"Equisetum fluviatile L.";6654;498
"rbbHf";"SleutelsoortenKempen";"Equisetum fluviatile L.";6632;526
"G";"moeras-groep1";"Equisetum fluviatile L.";6927;533
"G";"Obligaat freatofyt";"Equisetum fluviatile L.";8154;550
"G";"Ms-groep1";"Equisetum fluviatile L.";8644;564
"G";"ms diff hm-groep";"Equisetum fluviatile L.";9281;578
"G";"vos diff hu-groep";"Equisetum fluviatile L.";295180;596
"G";"ms diff hc-groep";"Equisetum fluviatile L.";296538;602
"G";"valleigrasland-groep";"Equisetum fluviatile L.";297040;604
"G";"ms diff heide-groep";"Equisetum fluviatile L.";298146;613
"G";"m diff hei-groep";"Equisetum fluviatile L.";298276;615
"G";"ms_ruim-groep";"Equisetum fluviatile L.";298936;619
"G";"m_ruim-groep";"Equisetum fluviatile L.";299027;620
"H";"M diff 4010_7140oli";"Equisetum fluviatile L.";301014;643
"H";"ven- en moerasgroep ";"Equisetum fluviatile L.";305663;650
"M";"zuurlaagv-begel.";"Equisetum fluviatile L.";305982;656
"M";"alkalische begeleid.";"Equisetum fluviatile L.";306082;661
"M";"water_moeras";"Equisetum fluviatile L.";306593;688
;;"Equisetum fluviatile L.";306904;694
"M";;"Equisetum fluviatile L.";306938;696
"rbbHc";"sleutelsoort";"Equisetum palustre L.";4989;440
"rbbVos";"Vochtgroep_sleutel";"Equisetum palustre L.";5153;456
"G";"hc-kerngroep1";"Equisetum palustre L.";5220;459
"G";"hc-groep1";"Equisetum palustre L.";5502;468
"rbbVos";"nattegroep";"Equisetum palustre L.";5544;470
"rbbZil";"hc-kerngroep";"Equisetum palustre L.";5686;476
"rbbHf";"Sleutelsoortenn";"Equisetum palustre L.";6639;501
"G";"Obligaat freatofyt";"Equisetum palustre L.";8156;550
"G";"1";"Equisetum palustre L.";8727;565
"G";"hc-kerngroep";"Equisetum palustre L.";8781;566
"G";"hc diff hm-groep";"Equisetum palustre L.";9195;576
"G";"hc diff vos";"Equisetum palustre L.";9776;585
"G";"hm diff hmo-groep";"Equisetum palustre L.";294751;593
"G";"vos diff hu-groep";"Equisetum palustre L.";295182;596
"G";"hc diff ms-groep";"Equisetum palustre L.";296839;603
"G";"valleigrasland-groep";"Equisetum palustre L.";297041;604
"G";"hc diff heide-groep";"Equisetum palustre L.";298104;612
"G";"hc-groep";"Equisetum palustre L.";299330;618
;;"Equisetum palustre L.";300127;634
;;"Equisetum palustre L.";306916;692
"G";"moeras-groep";"Equisetum telmateia Ehrh.";9134;466
"rbbZil";"moeras-groep";"Equisetum telmateia Ehrh.";5782;479
"rbbZil";"hf-groep";"Equisetum telmateia Ehrh.";5734;480
"rbbHf";"SleutelsoortenStart";"Equisetum telmateia Ehrh.";6699;497
"rbbHf";"Sleutelsoortenj";"Equisetum telmateia Ehrh.";6681;501
"G";"moeras-groep";"Equisetum telmateia Ehrh.";6928;533
"G";"Obligaat freatofyt";"Equisetum telmateia Ehrh.";8157;550
"G";"vocht ruigtekruiden";"Equisetum telmateia Ehrh.";8536;559
"G";"moeras-groep";"Equisetum telmateia Ehrh.";298631;578
"G";"vos diff hu-groep";"Equisetum telmateia Ehrh.";295184;596
"G";"m diff hei-groep";"Equisetum telmateia Ehrh.";298277;615
"G";"m_ruim-groep";"Equisetum telmateia Ehrh.";299028;620
"H";"moeras";"Equisetum telmateia Ehrh.";300737;642
"H";"M diff 4010_7140oli";"Equisetum telmateia Ehrh.";301052;643
"H";"ven- en moerasgroep ";"Equisetum telmateia Ehrh.";305664;650
"M";"natteruigte-sleutel.";"Equisetum telmateia Ehrh.";306103;662
"M";"natteruigte-grzegge";"Equisetum telmateia Ehrh.";306744;689
"M";"duinpan-sleutels.";"Equisetum variegatum Schleich.";306003;658
"M";"duinpan+7230";"Equisetum variegatum Schleich.";306272;671
"G";"Obligaat freatofyt";"Equisetum x litorale Kühl. ex Rupr.";8155;550
"G";"heizoom1";"Erica cinerea L.";7836;545
"G";"heide";"Erica cinerea L.";8039;549
"G";"heizoom";"Erica cinerea L.";8293;551
"G";"heide sensu stricto";"Erica cinerea L.";9429;580
"G";"ha_ruim-groep";"Erica cinerea L.";9827;586
"G";"hmo diff hm-groep";"Erica cinerea L.";294849;594
"G";"hu diff vos-groep";"Erica cinerea L.";294985;595
"G";"hei diff gras-groep";"Erica cinerea L.";298172;614
