"soortnum";"wet_naam";"ned_naam";"aut_naam";"wet_naam_auteur";"lettcode";"familie";"genus";"soort";"syst_niv";"stlyst90";"flora_90";"status";"uhokn50";"uhokn80";"herkmst1";"herkmst2";"herkmst3";"ufk_40";"ufk_90";"uhokv50";"uhokv80";"lv_duur";"lv_vorm";"gr_vorm1";"gr_vorm2";"gr_vorm3";"anat_bld";"grn_bld";"vorm_bld";"hgt_min";"hgt_max";"hgt_extr";"gesl_blm";"blmkleur";"vr_type";"vr_kleur";"zaadmorf";"wrtldiep";"kiemtijd";"bgnbloei";"endbloei";"grondwtr";"lichtind";"temptind";"contiind";"vochtind";"zuurgind";"stiksind";"zout_ind";"zwareind";"maai_ind";"stro_min";"stro_max";"stro_ext";"oeco_grp";"ecol_grp";"transgr";"westhoff";"ellenbrg";"ecotp_01";"ecotp_02";"ecotp_03";"ecotp_04";"ecotp_05";"ecotp_06";"ecotp_07";"ecotp_08";"ecotp_09";"ecotp_10";"ecotpamp";"gebruik1";"gebruik2";"gebruik3";"gebruik4";"wett_bes";"redlist1";"redlist2";"bestuiv1";"bestuiv2";"bestuiv3";"zbestuiv";"plg_ligg";"plg_nord";"plg_west";"plg_midd";"plg_oost";"plg_z_o";"plg_zuid";"plg_fryk";"plg_amer";"plg_euro";"plg_azie";"plg_bron";"plg_noot";"plg_mont";"r_salinit";"r_alkalin";"r_dom_anio";"r_carbogeh";"r_trofiegr";"type";"selectie"
11;"Aegopodium podagraria";"Zevenblad";"L.";"Aegopodium podagraria L.";"AEGOPPOD";" 83";"13";" 1";" 2";"1";"1";"1";"1378";"1494";"  1";;;"9";"9";;;"6";"G";"64";;;"34";"S";"vm";"  60";"  90";;"C";"A";"41";"o";" 1";"33";"12";"6";" 7";"7";"5";"5";"3";" 6";"7";"8";"0";"0";"6";"9";"9";"9";"82";"404";"0";"17Ac01";"84000";"R48";"H48";;;;;;;;;"1";"16";;;;"0";;;"ID";"IH";;;"c";"2";"4";"4";"4";"1";"1";"A";".";"*";"*";"13";"X";"sa";;;;;;"H";0
12;"Aethusa cynapium";"Hondspeterselie";"L.";"Aethusa cynapium L.";"AETHUCYN";" 83";"19";" 1";" 2";"1";"1";"1";" 671";" 792";"  1";;;"7";"8";;;"1";"T";"65";;;"40";"S";"vm";"   3";" 120";;"C";"A";"41";"o";" 1";"33";"12";"6";"13";"7";"6";"6";"3";" 5";"8";"6";"0";"0";;"9";"9";"9";"11";"301";"0";"17Aa02";"33000";"P47";"P48";;;;;;;;;"1";"99";;;;"0";;;"ID";"IH";;"Z";"c";"1";"4";"4";"3";"1";"+";"A";".";"*";".";"3";"B";"mo";;;;;;"H";0
13;"Agrimonia eupatoria";"Gewone agrimonie";"L.";"Agrimonia eupatoria L.";"AGRIMEUP";" 50";" 6";" 1";" 2";"1";"1";"1";" 546";" 461";"  1";;;"7";"6";;;"6";"H";"65";;;"40";"S";"vs";"  30";" 120";;"C";"F";"32";"o";" 6";"33";"12";"6";" 9";"7";"7";"6";"4";" 4";"8";"4";"0";"0";"3";"9";"9";"9";"83";"803";"2";"31Aa01";"61110";"G43";"G47k";"H63";;;;;;;;"2";"16";;;;"0";;"3";"ID";"IH";;;"c";"1";"4";"4";"4";"3";"4";"A";".";"*";"*";"13";"M";"mo";;;;;;"H";0
14;"Agrimonia procera";"Welriekende agrimonie";"Wallroth";"Agrimonia procera Wallroth";"AGRIMPRO";" 50";" 6";" 2";" 2";"1";"1";"1";"  60";"  53";"  1";;;"5";"4";"  24";"   0";"6";"H";"65";;;"40";"S";"vs";"  45";" 150";;"C";"F";"32";"o";" 6";;"32";"6";" 8";"7";"5";"6";"3";" 5";"6";"4";"0";"0";;"9";"9";"9";"83";"803";"0";"31Aa";"61110";"G47";"H47";;;;;;;;;"1";"99";;;;"0";;"3";"I";;;;"c";"+";"3";"3";"+";"+";"+";"A";".";"*";".";"13";"M";"mo";;;;;;"H";0
15;"Agrostemma githago";"Bolderik";"L.";"Agrostemma githago L.";"AGROTGIT";" 37";"17";" 1";" 2";"1";"1";"12";" 386";"  83";"  1";;;"6";"2";;;"8";"T";"65";;;"54";"W";"lc";"  20";" 100";;"C";"P";"43";"o";" 1";"44";"01";"6";" 7";"7";"7";"X";"X";"X";"X";"X";"0";"0";;"9";"9";"9";"11";"302";"0";"13";"34000";"P47k";;;;;;;;;;"1";"99";;;;"0";"c";"1";"IH";"IL";;"Z";"c";"1";"4";"4";"4";"2";"4";"A";".";"*";"*";"1235";"M";"mo";;;;;;"H";0
16;"Agrostis canina + Agrostis vinealis";"Moeras- + Zandstruisgras";;"Agrostis canina + Agrostis vinealis ";"AGROSC=V";"126";"38";" 4";" 3";"0";"0";;" 600";" 931";;;;;;;;;;"52";"53";;;;"ly";;;;;;;"o";;;;;;;;;;;;;;;;"9";"9";"9";;;;;;"G21";"G22";"G61";"G62";"H62";"V11";"V12";;;;"2";"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
17;"Agrostis gigantea";"Hoog struisgras";"Roth";"Agrostis gigantea Roth";"AGROSGIG";"126";"38";" 6";" 2";"1";"1";"1";;;"  1";;;"8";"8";;;"6";"H";"52";;;"24";"S";"ly";"  40";" 120";;"C";"O";"31";"o";" 1";;"01/02";"6";" 8";"4";"7";"5";"3";" 8";"7";"6";"0";"0";"8";"9";"9";"9";"21";"601";;;"54000";"G48";;;;;;;;;;"1";"99";;;;"0";;;"W";;;;"c";"2";"4";"4";"4";"3";"3";"A";".";"*";"*";"3";"AC";"co";;;;;;"H";0
18;"Agrostis stolonifera";"Fioringras";"L.";"Agrostis stolonifera L.";"AGROSSTO";"126";"38";" 1";" 2";"1";"1";"1";;;"  1";;;"8";"8";;;"6";"H";"52";;;"42";"W";"ly";"   8";"  40";;"C";"O";"31";"o";" 1";"13";"01";"6";" 9";"5";"8";"X";"5";"X=";"X";"5";"0";"0";"9";"1";"3";"0";"21";"602";;;"37000";"G27";"G28";"bG20";"G47";"G48";"bG40";"V18p";;;;"2";"29";;;;"0";;;"W";;;;"c";"4";"4";"4";"4";"3";"4";"A";"*";"*";"*";"35";"X";"sa";;;;;;"H";0
19;"Agrostis capillaris";"Gewoon struisgras";"L.";"Agrostis capillaris L.";"AGROSCAP";"126";"38";" 7";" 2";"1";"1";"1";"1272";"1452";"  1";;;"9";"9";;;"6";"H";"51";;;"40";"S";"ly";"  10";"  70";;"C";"O";"31";"o";" 1";"44";"01";"6";" 8";"7";"7";"X";"3";"X";"4";"4";"0";"1";"6";"9";"9";"9";"64";"606";;;"50000";"G42";"G47";"G62";"G67";"H62";;;;;;"2";"99";;;;"0";;;"W";;;;"c";"4";"4";"4";"4";"2";"3";"A";".";"*";"*";"35";"X";"sa";;;;;;"H";0
20;"Aira caryophyllea";"Zilverhaver";"L.";"Aira caryophyllea L.";"AIRA CAR";"126";"33";" 2";" 2";"1";"1";"1";" 578";" 604";"  1";;;"7";"7";;;"1+8";"T";"54";;;"40";"V";"ly";"   4";"  60";;"C";"O";"31";"o";" 1";"12";"01";"5";" 6";"7";"9";"6";"2";" 2";"4";"1";"0";"0";;"9";"9";"9";"64";"604";"0";"20Ba";"52220";"P62";"P67";;;;;;;;;"1";"99";;;;"0";;;"W";;;;"c";"0";"4";"3";"0";"+";"3";"A";".";"*";".";"13";"X";"mo";;;;;;"H";0
21;"Aira praecox";"Vroege haver";"L.";"Aira praecox L.";"AIRA PRA";"126";"33";" 1";" 2";"1";"1";"1";" 752";" 830";"  1";;;"8";"8";;;"1";"T";"54";;;"50";"V";"ly";"   4";"  25";;"C";"O";"31";"o";" 1";"22";"01";"4";" 6";"7";"9";"6";"2";" 2";"2";"1";"0";"0";;"9";"9";"9";"64";"604";"3";"20Ba02";"52220";"P62";"P63";;;;;;;;;"1";"99";;;;"0";;;"W";;;;"c";"0";"4";"2";"0";"0";"+";"A";".";"*";".";"13";"X";"co";;;;;;"H";0
22;"Ajuga chamaepitys";"Akkerzenegroen";"(L.) Schreber";"Ajuga chamaepitys (L.) Schreber";"AJUGACHA";"101";" 1";" 1";" 2";"1";"1";"12";"   2";"   0";"  2";;;"1";"1";;;"1";"T";"64";;;"40";"W";"ha";"   5";"  20";;"C";"F";"41";"o";" 1";"12";"12   ?";"5";"13";"7";"7";"8";"2";" 4";"9";"2";"0";"0";;"9";"9";"9";"12";"304";"0";"13Ba";"34110";"P43";;;;;;;;;;"1";"99";;;;"0";;"1";"IH";;;;"m";"0";"2";"2";"1";"3";"4";"A";".";"*";".";"1";"M";"mo";;;;;;"H";0
23;"Ajuga genevensis";"Harig zenegroen";"L.";"Ajuga genevensis L.";"AJUGAGEN";"101";" 1";" 4";" 2";"0";"1";"2";;;"100";;;;;;;"6";"H";"64";;;"40";"S";"lw";"   5";"  30";;"C";"C";"41";"o";" 1";;"12";"5";" 6";;"8";"X";"X";" 3";"7";"2";"0";"0";"4";"9";"9";"9";"41";;;;"53000";;;;;;;;;;;;"99";;;;"0";;;"IH";;;;;;;;;;;;;;;;;"mo";;;;;;"H";0
24;"Ajuga reptans";"Kruipend zenegroen";"L.";"Ajuga reptans L.";"AJUGAREP";"101";" 1";" 2";" 2";"1";"1";"1";" 574";" 645";"  1";;;"7";"7";;;"6";"H";"61";;;"34";"W";"ro";"   7";"  30";;"C";"P:C";"41";"o";"10";"22";"22/32";"4";" 6";"7";"6";"X";"2";" 6";"6";"6";"0";"0";"7";"9";"9";"9";"52";"610";;;"    0";"G43";"G47";"H43";"H47";;;;;;;"2";"30";;;;"0";;;"IH";"IL";;"Z";"c";"1";"4";"4";"4";"1";"1";"A";".";"*";".";"13";"X";"mo";;;;;;"H";3
25;"Alchemilla vulgaris s.l.";"Vrouwenmantel";;"Alchemilla vulgaris s.l. ";"ALCHEV==";" 50";"11";" 9";"10";"0";"0";"1";" 236";" 168";"  1";;;;;;;"6";"H";"64";;;"40";"S";"ha";"  10";"  50";;"C";"V";"32";"o";;;"12";"5";"13";"7";"6";"4";"4";" 5";"6";"6";"0";"0";"6";"9";"9";"9";"52";;;;"54200";;;;;;;;;;;;"99";;;;"0";;;"A";;;;;;;;;;;;;;;;;"al";;;;;;"H";0
26;"Alisma gramineum";"Smalle waterweegbree";"Lejeune";"Alisma gramineum Lejeune";"ALISMGRA";"114";" 4";" 1";" 2";"1";"1";"1";"  32";" 137";"  1";;;"5";"5";;;"6";"AB";"13";;;;"S";"ly";"  15";"  80";;"C";"P";"32";"o";" 1";;;"7";" 9";"2";"7";"7";"6";"11";"7";"4";"0";"0";;"1";"2";"0";"43";"503";;;;"W17";"W18";;;;;;;;;"1";"99";;;;"0";;;"I";;;;"m";"0";"+";"4";"3";"2";"+";"A";"*";"*";"*";"134";"C";"co";;;;;;"H";0
27;"Alisma lanceolatum";"Slanke waterweegbree";"Withering";"Alisma lanceolatum Withering";"ALISMLAN";"114";" 4";" 3";" 2";"1";"1";"1";"  80";" 433";"  1";;;"6";"6";;;"6";"B";"65";;;;"S";"lc";;" 140";;"C";"R:P";"32";"o";" 1";"33";"32/12";"6";" 9";"2";"7";"7";"2";"10";"7";"5";"0";"0";;"1";"3";"0";"43";"502";"0";"19Bb03";;"V17";"V18";;;;;;;;;"1";"99";;;;"0";;;"ID";;;;"s";"0";"3";"4";"3";"3";"4";"A";".";"*";"*";"13";"C";"mo";"4";"5";"1";"5";;"H";0
28;"Alisma plantago-aquatica";"Grote waterweegbree";"L.";"Alisma plantago-aquatica L.";"ALISMPLA";"114";" 4";" 2";" 2";"1";"1";"1";"1357";"1401";"  1";;;"9";"9";;;"6";"AB";"14";"13";"65";"20";"S";"lw";"  30";" 170";;"C";"ARF";"32";"o";" 1";;;"6";"13";"2";"7";"5";"X";"10";"X";"8";"0";"0";;"1";"3";"0";"43";"501";"0";"19";"15000";"V17";"V18";;;;;;;;;"1";"99";;;;"0";;;"ID";;;;"c";"3";"4";"4";"4";"2";"3";"B";"*";"*";"*";"13";"X";"mo";"4";"4";"3";"6";;"H";0
29;"Alliaria petiolata";"Look-zonder-look";"(Bieb.) Cavara & Grande";"Alliaria petiolata (Bieb.) Cavara & Grande";"ALLIAPET";" 44";" 3";" 1";" 2";"1";"1";"1";" 470";" 893";"  1";;;"7";"8";;;"2";"H";"65";;;"30";"S";"ro";"  15";"  90";;"C";"A";"43";"o";" 1";;"12";"4";" 6";"7";"5";"6";"3";" 5";"7";"9";"0";"0";;"9";"9";"9";"82";"405";"0";"17Ab01";"35220";"H47";"H48";"H69";;;;;;;;"2";"16";;;;"0";;;"I1";;;"Z";"c";"+";"4";"4";"2";"2";"2";"A";".";"*";"*";"13";"X";"mo";;;;;;"H";0
30;"Allium carinatum";"Berglook";"L.";"Allium carinatum L.";"ALLIUCAR";"121";"15";"11";" 2";"1";"1";"32";"   2";"   3";"103";"105";;"1";"1";;;"6";"G";"64";;;;;"ly";"  30";"  90";;"C";"R-P";"43";"o";" 1";;;"7";" 9";"7";"8";"5";"4";" 3*";"8";"2";"0";"0";;"9";"9";"9";"63";"608";;;;"G47";;;;;;;;;;"1";"99";;;;"0";;;"I";;;;"b";"0";"0";"2";"0";"1";"+";"A";".";"*";".";"13";"H";"mo";;;;;;"H";0
31;"Allium oleraceum";"Moeslook";"L.";"Allium oleraceum L.";"ALLIUOLE";"121";"15";"10";" 2";"1";"1";"1";" 137";"  92";"  1";;;"5";"4";;;"6";"G";"64";;;"40";"V";"bu";"  30";"  80";;"C";"V";"43";"o";" 1";;;"6";" 8";"7";"7";"6";"4";" 3";"7";"4";"0";"0";"5";"9";"9";"9";"83";"803";;;"53000";"G43";"G47k";;;;;;;;;"1";"99";;;;"0";;"3";"I";;;"Z";"s";"1";"2";"4";"3";"1";"1";"A";".";"*";".";"13";"M";"sa";;;;;;"H";0
32;"Allium schoenoprasum";"Bieslook";"L.";"Allium schoenoprasum L.";"ALLIUSCH";"121";"15";" 2";" 2";"1";"1";"18";"  25";"  18";"  1";;;"3";"3";;;"6";"G";"64";;;"40";"S";"bu";"  15";"  50";;"C";"P:R";"43";"o";" 1";;"01";"5";" 7";"7";"7";"X";"7";"X*";"7";"2";"0";"0";;"9";"9";"9";"62";"607";"0";"20Bb";"52300";"G47k";"H47";;;;;;;;;"1";"14";"30";;;"0";"c";"2";"I*";;;"Z";"m";"3";"1";"3";"2";"1";"+";"A";"*";"*";"*";"35";"M";"al";;;;;;"H";0
33;"Allium scorodoprasum";"Slangelook";"L.";"Allium scorodoprasum L.";"ALLIUSCO";"121";"15";" 9";" 2";"1";"1";"1";"  23";"  32";"  1";;;"3";"3";;;"6";"G";"64";;;"40";"V";"ly";"  40";" 100";;"C";"P";"43";"o";" 1";;"01";"6";" 7";"4";"6";"6";"5";" 7";"7";"7";"0";"0";;"9";"9";"9";"93";"906";;;"84330";"G47k";"H47";"H69";;;;;;;;"2";"99";;;;"0";"+";"3";"I*";;;"Z";"m";"0";"1";"3";"1";"1";"+";"A";".";"*";".";"13";"M";"mo";;;;;;"H";0
34;"Allium ursinum";"Daslook";"L.";"Allium ursinum L.";"ALLIUURS";"121";"15";" 4";" 2";"1";"1";"1";"  54";"  68";"  1";;;"4";"4";;;"6";"G";"63";;;"30";"V";"lc";"  20";"  40";;"C";"A";"43";"o";"10";;"12";"4";" 6";"6";"2";"X";"2";" 6";"7";"8";"0";"0";;"9";"9";"9";"94";"907";"0";"38A";"84300";"H43";"H47";;;;;;;;;"1";"99";;;;"1";;;"I*";;;"Z";"s";"0";"3";"3";"+";"1";"1";"A";".";"*";".";"13";"X";"mo";;;;;;"H";0
35;"Allium vineale";"Kraailook";"L.";"Allium vineale L.";"ALLIUVIN";"121";"15";" 3";" 2";"1";"1";"1";" 615";" 989";"  1";;;"7";"8";;;"6";"G";"64";;;"43";"S";"bu";"  30";"  70";;"C";"R/P";"43";"o";" 1";"33";;"6";" 8";"7";"5";"7";"3";" 4";"X";"7";"0";"0";;"9";"9";"9";"82";"405";"0";"12Ba07";"33110";"G47";"G67";"H69";;;;;;;;"2";"99";;;;"0";;;"I";;;"Z";"s";"0";"3";"3";"+";"1";"2";"A";".";"*";".";"13";"X";"mo";;;;;;"H";0
36;"Alnus glutinosa";"Zwarte els";"(L.) Gaertner";"Alnus glutinosa (L.) Gaertner";"ALNUSGLU";" 22";" 2";" 2";" 2";"1";"1";"1";;;"  1";;;"9";"9";"1409";"1420";"7";"P";"82";;;"42";"S";"ro";" 300";"2400";;"A";"O";"32";"o";" 9";;"12";"2";" 3";"6";"5";"5";"3";" 9=";"6";"X";"1";"0";;"9";"9";"9";"91";"901";"7";"35Aa";"82110";"H22";"H27";"H28";"H42";"H47";"H48";;;;;"2";"16";"24";;;"0";;;"W";;;;"c";"2";"4";"4";"4";"2";"2";"A";".";"*";".";"123";"X";"mo";;;;;;"H";0
37;"Alnus incana";"Witte els";"(L.) Moench";"Alnus incana (L.) Moench";"ALNUSINC";" 22";" 2";" 3";" 2";"1";"1";"19";;;"  1";;;"5";"7";" 135";" 523";"7";"P";"82";;;"40";"S";"lw";" 300";"2400";;"A";"O";"32";"o";" 9";;"12";"2";" 3";"5";"6";"4";"5";" 7=";"8";"X";"0";"0";;"9";"9";"9";"92";"908";"0";"38Aa";"84330";"H22";"H27";"H42";"H43";"H47";"H62";;;;;"2";"24";;;;"0";;;"W";;;;"b";"4";"+";"3";"3";"1";"+";"A";"*";"*";"*";"1235";"H";"mo";;;;;;"H";0
38;"Alopecurus aequalis";"Rosse vossestaart";"Sobolewski";"Alopecurus aequalis Sobolewski";"ALOPEAEQ";"126";"44";" 3";" 2";"1";"1";"1";" 149";" 177";"  1";;;"5";"5";;;"8/6";"TH";"52";;;"20";"S";"ly";"  15";"  45";;"C";"O";"31";"o";" 1";;"01";"5";"13";"2";"9";"X";"5";" 9=";"X";"9";"0";"0";;"9";"9";"9";"22";"310";"0";"11Aa";"32100";"P28";"G28";;;;;;;;;"1";"99";;;;"0";;;"W";;;;"s";"4";"2";"4";"4";"2";"+";"A";"*";"*";"*";"35";"X";"mo";;;;;;"H";0
39;"Alopecurus bulbosus";"Knolvossestaart";"Gouan";"Alopecurus bulbosus Gouan";"ALOPEBUL";"126";"44";" 2";" 2";"1";"1";"1";" 116";"  61";"  1";;;"5";"3";;;"6";"H";"54";;;;;"ly";"  10";"  40";;"C";"O";"31";"o";" 1";"33";"01   ?";"5";" 7";"4";"8";"6";"2";" 7=";"7";"5";"3";"0";;"9";"9";"9";"33";"204";"0";"24Ab";;"bG40";;;;;;;;;;"1";"99";;;;"0";"+";"2";"W";;;;"s";"0";"2";"0";"0";"0";"2";"A";".";"*";".";"6";"GM";"pl";;;;;;"H";0
40;"Alopecurus geniculatus";"Geknikte vossestaart";"L.";"Alopecurus geniculatus L.";"ALOPEGEN";"126";"44";" 5";" 2";"1";"1";"1";" 842";"1363";"  1";;;"8";"9";;;"8/6";"TH";"52";;;"20";"W";"ly";"  15";"  45";;"C";"O";"31";"o";" 1";"33";"01";"5";"13";"4";"9";"6";"3";" 8=";"7";"7";"2";"0";"4";"9";"9";"9";"21";"601";"0";"16Ab02";"37210";"P28";"G28";"bG20";;;;;;;;"2";"99";;;;"0";;;"W";;;;"c";"3";"4";"4";"4";"1";"1";"A";".";"*";".";"35";"X";"sa";;;;;;"H";0
41;"Alopecurus myosuroides";"Duist";"Hudson";"Alopecurus myosuroides Hudson";"ALOPEMYO";"126";"44";" 1";" 2";"1";"1";"1";" 462";" 630";"  1";;;"7";"7";;;"8+1";"T";"54";;;"40";"W";"ly";"  20";"  80";;"C";"O";"31";"o";" 1";"33";"12   ?";"5";" 7";"7";"6";"6";"3";" 5";"7";"6";"0";"0";;"9";"9";"9";"11";"301";"0";"13";"34000";"P48";;;;;;;;;;"1";"99";;;;"0";;;"W";;;;"s";"+";"3";"2";"+";"2";"2";"A";".";"*";"*";"13";"E";"sm";;;;;;"H";0
