"soortnum";"wet_naam";"ned_naam";"aut_naam";"wet_naam_auteur";"lettcode";"familie";"genus";"soort";"syst_niv";"stlyst90";"flora_90";"status";"uhokn50";"uhokn80";"herkmst1";"herkmst2";"herkmst3";"ufk_40";"ufk_90";"uhokv50";"uhokv80";"lv_duur";"lv_vorm";"gr_vorm1";"gr_vorm2";"gr_vorm3";"anat_bld";"grn_bld";"vorm_bld";"hgt_min";"hgt_max";"hgt_extr";"gesl_blm";"blmkleur";"vr_type";"vr_kleur";"zaadmorf";"wrtldiep";"kiemtijd";"bgnbloei";"endbloei";"grondwtr";"lichtind";"temptind";"contiind";"vochtind";"zuurgind";"stiksind";"zout_ind";"zwareind";"maai_ind";"stro_min";"stro_max";"stro_ext";"oeco_grp";"ecol_grp";"transgr";"westhoff";"ellenbrg";"ecotp_01";"ecotp_02";"ecotp_03";"ecotp_04";"ecotp_05";"ecotp_06";"ecotp_07";"ecotp_08";"ecotp_09";"ecotp_10";"ecotpamp";"gebruik1";"gebruik2";"gebruik3";"gebruik4";"wett_bes";"redlist1";"redlist2";"bestuiv1";"bestuiv2";"bestuiv3";"zbestuiv";"plg_ligg";"plg_nord";"plg_west";"plg_midd";"plg_oost";"plg_z_o";"plg_zuid";"plg_fryk";"plg_amer";"plg_euro";"plg_azie";"plg_bron";"plg_noot";"plg_mont";"r_salinit";"r_alkalin";"r_dom_anio";"r_carbogeh";"r_trofiegr";"type";"selectie"
1;"Acer campestre";"Spaanse aak";"L.";"Acer campestre L.";"ACER CAM";" 60";" 1";" 4";" 2";"1";"1";"19";;;"  1";;;"5";"7";" 127";" 690";"7";"P";"73";"83";;"40";"S";"ha";"  30";"1800";;"A";"F:V";"41";"o";" 9";;"12";"5";" 6";"7";"5";"6";"4";" 5";"7";"6";"0";"0";;"9";"9";"9";"94";"909";"0";"34A";"84000";"H47";"H69";;;;;;;;;"1";"30";;;;"0";;;"I";"W";;;"s";"0";"3";"3";"2";"2";"1";"A";".";"*";"*";"13";"EI";"mo";;;;;;"H";0
2;"Acer pseudoplatanus";"Gewone esdoorn";"L.";"Acer pseudoplatanus L.";"ACER PSE";" 60";" 1";" 2";" 2";"1";"1";"39";;;"103";"208";;"6";"9";" 324";"1251";"7";"P";"83";;;"40";"S";"ha";;"2500";;"D";"V:F";"41";"o";" 9";;"13";"4";" 6";"7";"4";"X";"4";" 6";"X";"7";"0";"0";;"9";"9";"9";"93";"906";;;"84300";"H42";"H47";"H48";"H62";"H63";"H69";;;;;"2";"24";"30";;;"0";;;"I";"W";;;"m";"0";"1";"3";"+";"1";"+";"A";".";"*";".";"1";"E";"mo";;;;;;"H";0
3;"Aceras anthropophorum";"Poppenorchis";"(L.) Aiton fil.";"Aceras anthropophorum (L.) Aiton fil.";"ACERAANT";"132";"14";" 1";" 2";"1";"1";"1";"   9";"   6";"  1";;;"2";"1";;;"6";"G";"64";;;"40";"S";"lc";"  10";"  40";;"C";"V";"43";"o";"11";;;"5";" 6";"7";"7";"7";"2";" 4*";"8";"3";"0";"0";;"9";"9";"9";"83";"803";"0";"34Ab04";"53213";"G43";"H43";;;;;;;;;"1";"99";;;;"0";"+";"1";"ID";"IH";;;"m";"0";"2";"1";"0";"0";"3";"A";".";"*";".";"1";"M";"mo";;;;;;"H";0
4;"Achillea millefolium";"Gewoon duizendblad";"L.";"Achillea millefolium L.";"ACHILMIL";"113";"23";" 2";" 2";"1";"1";"1";"1719";"1592";"  1";;;"9";"9";;;"6";"H";"65";;;"45";"W";"ve";"  15";"  50";;"D";"A-R";"32";"o";" 1";"24";"42/12";"6";"11";"7";"8";"X";"X";" 4";"X";"5";"1";"0";"7";"9";"9";"9";"51";"612";;;"54200";"G47";"G67";;;;;;;;;"1";"16";;;;"0";;;"I";;;"Z";"c";"4";"4";"4";"4";"2";"1";"A";".";"*";"*";"35";"A";"al";;;;;;"H";0
5;"Achillea ptarmica";"Wilde bertram";"L.";"Achillea ptarmica L.";"ACHILPTA";"113";"23";" 1";" 2";"1";"1";"1";" 937";" 984";"  1";;;"8";"8";;;"6";"H";"65";;;"24";"S";"ve";"  30";"  90";;"D";"A";"32";"o";" 1";"44";"12";"7";" 9";"3";"8";"6";"3";" 8";"4";"2";"0";"0";"4";"9";"9";"9";"52";"615";"0";"25A";"54100";"G27";;;;;;;;;;"1";"99";;;;"0";;;"ID";"IH";;;"c";"3";"4";"4";"4";"1";"+";"A";".";"*";"*";"3";"B";"mo";;;;;;"H";0
6;"Aconitum vulparia";"Gele monnikskap";"Reichenbach";"Aconitum vulparia Reichenbach";"ACONIVUL";" 40";" 6";" 1";" 2";"1";"1";"1";"   5";"   3";"  1";;;"2";"1";;;"6";"H";"64";;;"34";"S";"hs";"  50";" 125";;"C";"F";"43";"o";" 9";;"12   ?";"6";" 8";"3";"3";"4";"4";" 7";"7";"8";"0";"0";;"9";"9";"9";"91";"907";;;"84300";"H43";;;;;;;;;;"1";"99";;;;"0";"+c";"1";"IH";;;;"m";"0";"+";"2";"0";"+";"+";"A";".";"*";".";"12";"HM";"sa";;;;;;"H";0
7;"Acorus calamus";"Kalmoes";"L.";"Acorus calamus L.";"ACORUCAL";"127";" 1";" 1";" 2";"1";"1";"3";" 489";" 795";"209";;;"7";"8";;;"6";"B";"64";;;"20";"S";"zw";"  60";" 120";;"C";"V";"51";"z";" 4";;;"6";" 7";"2";"8";"6";"5";"10";"7";"7";"0";"0";;"1";"2";"3";"43";"502";"0";"19Ba";"15100";"V18";;;;;;;;;;"1";"16";"14";;;"0";;;"N";;;;"b";"0";"2";"4";"3";"2";"+";"C";".";".";"*";"35";"E";"sm";"5";"5";"1";;;"H";0
8;"Actaea spicata";"Christoffelkruid";"L.";"Actaea spicata L.";"ACTAESPI";" 40";" 4";" 1";" 2";"1";"1";"1";"  16";"   9";"  1";;;"3";"3";;;"6";"H";"64";;;"30";"S";"vs";"  30";"  60";;"C";"O";"51";"n";" 4";"33";"12";"5";" 6";"7";"3";"5";"4";" 5";"6";"7";"0";"0";;"9";"9";"9";"94";"909";"2";"38Ab01";"84300";"H43";;;;;;;;;;"1";"99";;;;"0";;"3";"IC";"ID";;;"m";"3";"1";"4";"4";"1";"+";"A";".";"*";".";"1235";"AHM";"mo";;;;;;"H";0
9;"Adonis vernalis";"Voorjaarsadonis";"L.";"Adonis vernalis L.";"ADONIVER";" 40";"11";" 1";" 2";"1";"1";"17";"   1";"   0";"  2";;;"0";"0";;;"6";"H";"65";;;"40";"V";"vs";"  15";"  50";;"C";"F";"32";"o";;;;"4";" 6";"7";"7";"6";"7";" 3";"7";"2";"0";"0";;"9";"9";"9";"62";;;;"53100";;;;;;;;;;;;"16";;;;"0";"+";"0";"I1";;;"Z";"v";"0";"+";"2";"3";"2";"+";"A";".";"*";"*";"123";"KLM";"mo";;;;;;"H";0
10;"Adoxa moschatellina";"Muskuskruid";"L.";"Adoxa moschatellina L.";"ADOXAMOS";"109";" 1";" 1";" 2";"1";"1";"1";" 154";" 146";"  1";;;"5";"5";;;"6";"G";"64";;;"30";"V";"vs";"   5";"  15";;"C";"V";"52";"v";" 1";"11";"12";"4";" 5";"5";"5";"X";"5";" 6";"7";"8";"0";"0";;"9";"9";"9";"92";"907";"0";"38A";"84300";"H42";;;;;;;;;;"1";"99";;;;"0";;;"ID";;;"Z";"c";"2";"3";"4";"4";"1";"1";"A";"*";"*";"*";"35";"X";"mo";;;;;;"H";0
