"type";"type_gepubliceerd"
"6230_hn - hn_min";"6230_hn - hn°"
"6230_hnk - hn";"6230_hnk - hn"
"6410_mo - hm";"6410_mo"
"6410_mo - hm_min";"6410_mo - hm°"
"6410_mo - hme";"6410_mo - hme"
"6410_mo - hme_min";"6410_mo - hme°"
"6410_mo - hmm";"6410_mo - hmm"
"6410_mo - hmm_min";"6410_mo - hmm°"
"6410_ve - hm";"6410_ve - hm"
"6410_ve - hm_min";"6410_ve - hm°"
"6430_bz - hr";"6430_bz - hr"
"6430_hf - hf";"6430_hf - hf"
"6430_hf - hf_min";"6430_hf - hf°"
"6430_hf - hf_ster";"6430_hf - hf*"
"6430_hf - hfe";"6430_hf - hfe"
"6430_hf - hfe_min";"6430_hf - hfe°"
"6430_hf - hft";"6430_hf - hft"
"6430_hf - hft_min";"6430_hf - hft°"
"6430_hw - hfe";"6430_hw - hfe"
"6430_hw - hfe_min";"6430_hw - hfe°"
"6430_mr - mr";"6430_mr - mr"
"6430_mr - mr_min";"6430_mr - mr°"
"6510 - hu";"6510 - hu"
"6510_hu - hu";"6510_hu - hu"
"6510_hu - hu_ster";"6510_hu - hu*"
"6510_hua - hp_ster";"6510_hua - hp*"
"6510_huk - hu";"6510_huk - hu"
"6510_huk - hu_ster";"6510_huk - hu*"
"6510_hus - hu";"6510_hus - hu"
"6510_hus - hu_ster";"6510_hus - hu*"
"7110 - t";"7110 - t"
"7140";"7140"
"7140_base";"7140_base"
"7140_base - mk_min";"7140_base - mk°"
"7140_meso - ms";"7140_meso - ms"
"7140_meso - ms_min";"7140_meso - ms°"
"7140_mrd";"7140_mrd"
"7140_oli";"7140_oli"
"7140_oli - ces";"7140_oli - ces"
"7140_oli - ces_min";"7140_oli - ces°"
"7140_oli - ces+myr";"7140_oli - ces+myr"
"7140_oli - cm+ces";"7140_oli - cm+ces"
"7140_oli/4010 - ce(s)";"7140_oli/4010 - ce(s)"
"7150 - ce";"7150 - ce"
"7150 - md + ces";"7150 - md + ces"
"7210";"7210"
"7230";"7230"
"7230 - mk";"7230 - mk"
"7230 - mk_min";"7230 - mk°"
"gh - cd";"gh - cd"
"gh - ce";"gh - ce"
"gh - cg";"gh - cg"
"gh - cm";"gh - cm"
"gh - ha_min";"gh - ha°"
"gh - ha+cg";"gh - ha+cg"
"gh - hj";"gh - hj"
"gh - hp";"gh - hp"
"gh - hp_ster";"gh - hp*"
"gh - hpr ";"gh - hpr "
"gh - hpr_ster";"gh - hpr*"
"gh - hr";"gh - hr"
"gh - hu_min";"gh - hu°"
"gh - hx";"gh - hx"
"gh - ku";"gh - ku"
"gh - ku_min";"gh - ku°"
"gh - ku_ster";"gh - ku*"
"gh - mj";"gh - mj"
"gh - mr";"gh - mr"
"gh - mr_min";"gh - mr°"
"gh - sz/ce";"gh - sz/ce"
"gh - sz/cg";"gh - sz/cg"
"rbbha - ha";"rbbha - ha"
"rbbhc - hc";"rbbhc - hc"
"rbbhc - hc_min";"rbbhc - hc°"
"rbbhf - hf";"rbbhf - hf"
"rbbhf - hf_min";"rbbhf - hf°"
"rbbhf - hfc";"rbbhf - hfc"
"rbbhf - hfc_min";"rbbhf - hfc°"
"rbbhf - hft";"rbbhf - hft"
"rbbhf - hft_min";"rbbhf - hft°"
"rbbhfl - hfl";"rbbhfl - hfl"
"rbbhfl - hfl_min";"rbbhfl - hfl°"
"rbbkam - hp_ster";"rbbkam - hp*"
"rbbkam_ster - hp_ster";"rbbkam* - hp*"
"rbbmc - mc";"rbbmc - mc"
"rbbmc - mc_min";"rbbmc - mc°"
"rbbmr - mr";"rbbmr - mr"
"rbbmr - mr_min";"rbbmr - mr°"
"rbbms - ms";"rbbms - ms"
"rbbms - ms_min";"rbbms - ms°"
"rbbmz - mz";"rbbmz - mz"
"rbbsg - sg";"rbbsg - sg"
"rbbsm - sm";"rbbsm - sm"
"rbbvos - hp_ster";"rbbvos - hp*"
"rbbzil - hp_ster";"rbbzil - hp*"
"rbbzil_ster - hp_ster";"rbbzil* - hp*"
