"type";"type_gepubliceerd"
"_A";"_A"
"_B";"_B"
"_D";"_D"
"_E";"_E"
"_G";"_G"
"_H";"_H"
"_IetsRaars";"_IetsRaars"
"_M";"_M"
"_O";"_O"
"_R";"_R"
"_U";"_U"
"_V";"_V"
"_W";"_W"
"_W2";"_W2"
"_Z";"_Z"
"1310_pol - da";"1310_pol - da"
"1310_pol - da_min";"1310_pol - da°"
"1330_hpr - da";"1330_hpr - da"
"1330_hpr - da_min";"1330_hpr - da°"
"2190_mp";"2190_mp"
"2190_mp - mp_min";"2190_mp - mp°"
"2310 - cd";"2310 - cd"
"2310 - cd+cg";"2310 - cd+cg"
"2310 - cg";"2310 - cg"
"2310 - cg_min";"2310 - cg°"
"2310 - cm";"2310 - cm"
"2310 - cm+cg";"2310 - cm+cg"
"2310 - cv";"2310 - cv"
"2310 - ha+cg";"2310 - ha+cg"
"2330";"2330"
"2330_bu - cm";"2330_bu - cm"
"2330_bu - dm_min";"2330_bu - dm°"
"2330_bu - dm+hac";"2330_bu - dm+hac"
"2330_bu - hac";"2330_bu - hac"
"2330_bu - hac_min";"2330_bu - hac°"
"2330_dw";"2330_dw"
"2330_dw - hat";"2330_dw - hat"
"2330_dw - hat_min";"2330_dw - hat°"
"4010 - ce";"4010 - ce"
"4010 - ce_min";"4010 - ce°"
"4010 - ce+myr";"4010 - ce+myr"
"4010 - cm";"4010 - cm"
"4010 - cm+ce";"4010 - cm+ce"
"4010 - cm+cv";"4010 - cm+cv"
"4010 - cm+myr";"4010 - cm+myr"
"4010 - cv";"4010 - cv"
"4010/4030 - c";"4010/4030 - c"
"4010/4030 - ce+cg";"4010/4030 - ce+cg"
"4010/4030 - cm";"4010/4030 - cm"
"4010/4030 - cm+ce+cg";"4010/4030 - cm+ce+cg"
"4010/7150/7140_oli";"4010/7150/7140_oli"
"4010_";"4010"
"4030 - cd";"4030 - cd"
"4030 - cd+cg";"4030 - cd+cg"
"4030 - cd+cv";"4030 - cd+cv"
"4030 - cg";"4030 - cg"
"4030 - cg_min";"4030 - cg°"
"4030 - cm";"4030 - cm"
"4030 - cm+cg";"4030 - cm+cg"
"4030 - cm+cv";"4030 - cm+cv"
"4030 - cp";"4030 - cp"
"4030 - cv";"4030 - cv"
"4030 - ha+cg";"4030 - ha+cg"
"4030_";"4030"
"5130_hei";"5130_hei"
"6120 - hu";"6120 - hu"
"6210_hk - hk";"6210_hk - hk"
"6210_hk - hk_min";"6210_hk - hk°"
"6210P_hk - hk";"6210P_hk - hk"
"6210P_hk - hk_ster";"6210P_hk - hk*"
"6230/6410 - hm_min";"6230/6410 - hm°"
"6230_ha - ha_ster";"6230_ha - ha*"
"6230_hmo - hmo";"6230_hmo - hmo"
"6230_hmo - hmo_min";"6230_hmo - hmo°"
"6230_hn - hn";"6230_hn - hn"
