"id";"tbl_opname_soort";"tbl_opname_kop";"sleutel"
1;"tbl_BasisDataset_RBB";"tbl_Opnamen_hc_rbbvos";"G"
2;"qry_RBB_ZilvGroep6_9Clusters";"RBB_ZilvGroep_Relevés";"rbbZil"
3;"qry_KamGroep6_9Clusters";"RBB_KamGroep_Relevés";"rbbKam"
4;"qry_RBB_hfGroep6_12clusters";"RBB_HfGroep_Relevés";"rbbHf"
5;"qry_RBB3_haGroep_VegOpnames";"RBB_HaGroep_Relevés";"Ha"
6;"qry_RBB3_HuGroep_VegOpnames";"RBB_HuGroep_Relevés";"Hu"
7;"tbl_BasisDataset_RBB_selectie";"_tbl_HS_Opnamen_Grasland_selectie";"G"
8;"tbl_BasisDataset_RBB";"_tbl_HS_Opnamen_Grasland";"M"
9;"tbl_BasisDataset_RBB";"tbl_Opnamen_hc_rbbvos";"G"
10;"tbl_BasisDataset_RBB_SPO";"tbl_Opnamen_hn_maud_sensustricto";"G"
11;"tbl_BasisDataset";"_tbl_Opnamen_Grasland";"G"
12;"tbl_BasisDataset";"_tbl_Opnamen_Grasland_test";"G"
13;"tbl_Soortgegevens_FFB";"tbl_Opnamen_FFB";"G"
14;"tbl_Flaven_Soortgegevens";"tbl_Flaven_Kopgegevens";"O"
15;"tbl_habnorm_6410_soortgegevens";"tbl_habnorm_6410_kopgegevens";"G"
16;"tbl_BasisDataset_RBB";"_tbl_HS_Opnamen_Grasland";"M"
17;"tbl_overstromingen_1999_DYL_soortgegevens";"tbl_overstromingen_DYL_1999_kopgegevens";"G"
18;"tbl_Berm_Soortgegevens";"tbl_Berm_Kopgegevens";"O"
19;"tbl_FlavenAdd_Soortgegevens";"tbl_FlavenAdd_Kopgegevens";"O"
20;"tbl_Flaven_FF_Soortgegevens";"tbl_Flaven_FF_Kopgegevens";"G"
21;"tbl_iv2021_soortgegevens";"tbl_iv2021_kopgegevens";"M"
22;"tbl_iv2021_soortgegevens";"tbl_iv2021_kopgegevens";"G"
