"BRC_num";"taxon_name";"ML";"ord";"len";"stat";"lf1";"per";"lf2";"gem";"tub";"bra";"bul";"lvs";"fr";"sex";"spbeg";"spbeg2";"spend";"sp1";"spend2";"e";"sp2";"sc";"w";"ir";"ci";"ni";"elem";"gbno";"cino";"irno";"tjan";"prec";"tjul";"alt";"f_indicatie";"l_indicatie";"n_indicatie";"r_indicatie";"hm_indicatie";"s_indicatie";"rh";"rs";"rw";"so";"sr";"gs";"pt";"dv";"dw";"br";"da";"en";"aq";"ew";"a2";"b1";"b2";"b3";"c1";"c2";"c3";"d1";"d2";"d4";"e1";"e2";"e3";"e4";"e7";"f3";"f4";"f9";"fa";"g1";"g1r";"g3";"g3r";"h2";"h3";"h5";"i1";"i2";"j1";"j2";"j3";"id";"j4"
"0820     1";"Acaulon muticum";"M";"Pott";2,00;"N";"Ts";"A";"";;;;;;"A";"M";11,00;;4,00;30,00;;"E";50,00;"S";"W";"IR";"CI";"(NI)";83,00;137,00;2,00;2,00;4,10;839,00;15,70;490,00;5,00;7,00;4,00;5,00;0,00;0,00;;;;3,00;3,00;3,00;;;;;;;;;;;;3,00;;;;;;;3,00;;;;;;;;;;2,00;;;;;3,00;3,00;;;;3,00;1;
"0820     1.1";"Acaulon muticum var. mediterraneum";"M";"Pott";2,00;"N";"Ts";"A";"";;;;;;"A";"M";11,00;;1,00;30,00;;"E";30,00;;;;;;91,00;6,00;;;6,00;1031,00;16,00;100,00;5,00;7,00;4,00;5,00;0,00;0,00;;;;3,00;3,00;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;;;;;;;;;3,00;;;;;;2;
"0820     1.2";"Acaulon muticum var. muticum";"M";"Pott";2,00;"N";"Ts";"A";"";;;;;;"A";"M";;;;30,00;;"E";50,00;"S";"W";"IR";"CI";"(NI)";73,00;12,00;;;5,70;966,00;15,80;490,00;5,00;7,00;4,00;5,00;0,00;0,00;;;;3,00;3,00;3,00;;;;;;;;;;;;3,00;;;;;;;3,00;;;;;;;;;;2,00;;;;;3,00;3,00;;;;3,00;3;
"0820     2";"Acaulon triquetrum";"M";"Pott";1,50;"N";"Ts";"A";"";;;;;;"A";"M";;;;30,00;;"E";30,00;;;;;;92,00;5,00;;;4,80;848,00;16,20;120,00;2,00;9,00;2,00;9,00;0,00;0,00;;;;3,00;;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;;;;;;;;;;;;;;;4;
"0820  2001";"Achrophyllum dentatum";"M";"Hook";35,00;"AN";"Mr";"P";"";;;;;;"X";"D";;;;12,00;;"E";18,00;;;;;;70,00;1,00;;;6,80;1110,00;16,20;50,00;8,00;2,00;3,00;6,00;0,00;0,00;3,00;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;;;;;;;;;;;;;;;3,00;;;;5;
"0810   680";"Acrobolbus wilsonii";"L";"Jung";25,00;"N";"Ms";"P";"Tf";;;;;;"R";"M";11,00;;12,00;20,00;;;22,00;"S";;"IR";;;80,00;18,00;;9,00;3,40;1976,00;13,10;490,00;6,00;5,00;2,00;3,00;0,00;0,00;1,00;;;1,00;3,00;;;;;;;2,00;;;;;;2,00;;;3,00;;;;;;;;;;;;;;;;;2,00;3,00;;;;;;;6;
"0810   681";"Adelanthus decipiens";"L";"Jung";40,00;"N";"Tf";"P";"We";;;;;"O";"X";"D";;;;;;"E";;"S";"W";"IR";;"NI";80,00;102,00;;45,00;3,30;1943,00;13,30;610,00;6,00;4,00;2,00;3,00;0,00;0,00;3,00;;;3,00;3,00;;;;1,00;2,00;;;;1,00;;;;2,00;;;2,00;;;;;;;;;;;;;3,00;;;;;3,00;;;;;;;7;
"0810   682";"Adelanthus lindenbergianus";"L";"Jung";100,00;"N";"Tuft";"P";"";"X";;;;;"X";"D";;;;13,00;;;16,00;"S";;"IR";;;41,00;1,00;;6,00;3,80;1576,00;13,40;800,00;6,00;6,00;2,00;2,00;0,00;0,00;;;;1,00;;;3,00;;;;;;;;;;;;;;;;;;;;2,00;;;;3,00;;;;;;;3,00;2,00;;;;;;;8;
"0820     9";"Aloina aloides";"M";"Pott";5,00;"N";"Ts";"P";"";;;;;;"A";"D";9,00;;5,00;18,00;;"E";22,00;"S";"W";"IR";"CI";"NI";92,00;483,00;3,00;55,00;3,90;896,00;15,50;460,00;3,00;8,00;3,00;8,00;0,00;0,00;;"3";"3";3,00;3,00;3,00;;;;;;;;;;"3";;;;;;;;;;;;;;;;;;;;;;;3,00;3,00;;;;"3";3,00;9;
"0820  1077";"Aloina aloides s.l.";"M";"Pott";5,00;"N";"Ts";"P";"";;;;;;"A";"D";;;;14,00;;"E";22,00;"S";"W";"IR";"CI";"NI";83,00;519,00;4,00;61,00;3,90;886,00;15,50;460,00;3,00;8,00;3,00;8,00;0,00;0,00;;"3";"3";3,00;3,00;3,00;;;;;;;;;;"3";;;;;;;;;;;;;;;;;;;;;;;3,00;3,00;;;;"3";3,00;10;
"0820    10";"Aloina ambigua";"M";"Pott";5,00;"N";"Ts";"P";"";;;;;;"A";"D";10,00;;4,00;14,00;;"E";18,00;;"W";"IR";"CI";"(NI)";83,00;85,00;4,00;4,00;3,90;738,00;16,00;220,00;4,00;8,00;3,00;7,00;0,00;0,00;;;"3";3,00;3,00;3,00;;;;;;;;;;"3";;;;;;;;;;;;;;;;;;;;;;;3,00;3,00;;;;"3";3,00;11;
"0820    11";"Aloina brevirostris";"M";"Pott";2,00;"N";"Ts";"P";"";;;;;;"A";"M(D)";;;;18,00;;"E";22,00;"S";;;;;26,00;21,00;;;3,40;696,00;15,70;225,00;3,00;8,00;1,00;9,00;0,00;0,00;;;;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;;;;;3,00;12;
"0820    12";"Aloina rigida";"M";"Pott";2,00;"N";"Ts";"P";"";;;;;;"A";"D";;;;14,00;;"E";16,00;"S";"W";"IR";;"(NI)";43,00;37,00;;1,00;3,20;754,00;15,40;500,00;3,00;8,00;2,00;8,00;0,00;0,00;;;;3,00;3,00;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;3,00;;;;"3";3,00;13;
"0820    13";"Amblyodon dealbatus";"M";"Spla";20,00;"N";"Tuft";"P";"Ts";;;;;;"A";"M";;;;40,00;;"E";40,00;"S";"W";"IR";;"NI";43,00;67,00;;16,00;2,90;1346,00;13,10;870,00;8,00;8,00;2,00;7,00;0,00;0,00;;;;3,00;;3,00;;;;;;;;;;"3";;;;;2,00;;;"3";;;;;;;;;;;;;;;2,00;;;;;;;14;
"0820    14";"Amblystegium confervoides";"M";"Hypn";20,00;"N";"Mr";"P";"";;;;;;"F";"M";;;;8,00;;"E";10,00;"S";"W";"IR";;"NI";73,00;32,00;;4,00;3,50;1030,00;15,30;150,00;5,00;3,00;4,00;9,00;0,00;0,00;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;;;;;2,00;;;;;;;15;
"0820   336";"Amblystegium fluviatile";"M";"Hypn";150,00;"N";"Mr";"P";"At";;;;;;"R";"M";5,00;;6,00;12,00;;"E";18,00;"S";"W";"IR";"CI";"NI";53,00;371,00;1,00;14,00;3,30;1135,00;14,50;380,00;11,00;6,00;4,00;5,00;0,00;0,00;3,00;"3";"2";;3,00;;;;;;;;;3,00;;;;;;"3";3,00;;;;;;;;;;;;;;;;;;;;;;;;;16;
"0820    18";"Amblystegium humile";"M";"Hypn";35,00;"N";"Mr";"P";"";;;;;;"R";"M";;;;14,00;;"E";16,00;"S";"W";"IR";;"NI";76,00;69,00;;2,00;3,70;722,00;16,10;107,00;9,00;7,00;7,00;7,00;0,00;0,00;2,00;;;3,00;;;;;;;;;;3,00;"1";;;;;;3,00;;;;;;3,00;;;;;"3";;;;;;;;;;;;;;17;
"0820   654";"Amblystegium radicale";"M";"Hypn";30,00;"N";"Mr";"PA";"";;;;;;"A";"M";6,00;;6,00;10,00;;"E";18,00;"S";"W";;;;73,00;10,00;;;4,70;1179,00;14,80;120,00;9,00;5,00;5,00;5,00;0,00;0,00;;;;;;;;"3";;;;;;;;;;;;;3,00;;;;;;;;;;3,00;;;;;;;;;;3,00;;;;3,00;18;
"0820    19";"Amblystegium serpens";"M";"Hypn";30,00;"N";"Mr";"PA";"We";;;;;;"A";"M";3,00;;8,00;8,00;;"E";15,00;"S";"W";"IR";"CI";"NI";56,00;1944,00;8,00;221,00;3,60;987,00;15,00;580,00;6,00;5,00;6,00;7,00;0,00;2,00;3,00;"3";"3";3,00;;3,00;;;3,00;;;;;3,00;"3";"3";;3,00;;;3,00;;;;;;;;;"3";;"3";"3";3,00;;"1";;;;;;3,00;"3";"3";3,00;19;
"0820   337";"Amblystegium tenax";"M";"Hypn";60,00;"N";"Mr";"P";"We";;;;;;"F";"M";5,00;;6,00;16,00;;"E";20,00;"S";"W";"IR";"CI";"NI";76,00;494,00;1,00;18,00;3,50;985,00;15,00;440,00;9,00;4,00;4,00;6,00;0,00;0,00;3,00;;"3";;;;;;;;;;;3,00;;;;;;;3,00;;;;;;;;;;;;;2,00;;;;;;1,00;;;;;;20;
"0820    20";"Amblystegium varium";"M";"Hypn";40,00;"N";"Mr";"P";"";;;;;;"O";"M";;;;10,00;;"E";16,00;"S";"W";"IR";"CI";"NI";76,00;224,00;1,00;20,00;3,70;846,00;15,70;380,00;9,00;5,00;7,00;7,00;0,00;0,00;3,00;;;3,00;;;;"2";3,00;;;;;3,00;"1";;;;;;3,00;;;;;"3";3,00;;;;;"3";;2,00;;;;;;;;;;;2,00;21;
"0820    21";"Amphidium lapponicum";"M";"Dicr";35,00;"N";"Tuft";"P";"Tf";;;;;;"A";"M";;;;8,00;;"E";12,00;"S";"W";"IR";;;26,00;70,00;;1,00;1,20;2099,00;12,00;1150,00;5,00;6,00;2,00;7,00;0,00;0,00;3,00;"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;22;
"0820    22";"Amphidium mougeotii";"M";"Dicr";80,00;"N";"Tuft";"P";"Tf";;;;;;"R";"D";;;;10,00;;"E";12,00;"S";"W";"IR";;"NI";46,00;745,00;;107,00;2,70;1555,00;13,20;1180,00;7,00;4,00;2,00;4,00;0,00;0,00;3,00;"3";;;;;;;;;;;;;;;;2,00;;;;;;;;;;;;;;;;2,00;;;;;3,00;;;;;;;23;
"0810   683";"Anastrepta orcadensis";"L";"Jung";80,00;"N";"Tuft";"P";"Sc";"F";;;;;"X";"D";;;;10,00;;"E";10,00;"S";"W";"IR";;"NI";42,00;277,00;;24,00;2,10;2036,00;12,30;1170,00;5,00;5,00;2,00;2,00;0,00;0,00;;;;3,00;;;;;2,00;2,00;;;;1,00;;;;;;;;"2";;;;;;"2";;;3,00;;;3,00;;"3";;3,00;3,00;;;;;;;24;
"0810  2801";"Anastrophyllum alpinum";"L";"Jung";120,00;"N";"We";"P";"Tf";;;;;;"X";"D";;;;11,00;;;13,00;"S";;;;;41,00;12,00;;;1,40;2142,00;11,10;990,00;6,00;5,00;2,00;2,00;0,00;0,00;3,00;;;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;3,00;3,00;;;;;;;25;
"0810   684";"Anastrophyllum donnianum";"L";"Jung";120,00;"N";"We";"P";"Tf";;;;;;"R";"D";8,00;;8,00;;;;;"S";;;;;41,00;57,00;;;0,70;2307,00;11,10;1060,00;6,00;5,00;2,00;2,00;0,00;0,00;3,00;;;3,00;;;;;;2,00;;;;;;;;;;;;;;;;;;"3";;;3,00;;;;;;;3,00;3,00;;;;;;;26;
"0810   951";"Anastrophyllum hellerianum";"L";"Jung";8,00;"N";"Ms";"P";"";"F";;;;;"X";"D";;;;9,00;;"E";12,00;"S";"W";;;"NI";43,00;45,00;;2,00;1,60;2120,00;12,40;360,00;7,00;4,00;2,00;2,00;0,00;0,00;;;;;1,00;;;;3,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;2,00;;"3";;1,00;;;;;;;;27;
"0810   685";"Anastrophyllum joergensenii s.l.";"L";"Jung";120,00;"N";"We";"P";"Tf";;;;;;"X";"D";;;;11,00;;;13,00;"S";;;;;41,00;21,00;;;0,80;2059,00;10,90;990,00;6,00;5,00;2,00;2,00;0,00;0,00;3,00;;;3,00;;;;;;;;;;;;;;;;;;"2";;;;;;;;;;;;;;;;3,00;3,00;;;;;;;28;
"0810  2701";"Anastrophyllum joergensenii s.str.";"L";"Jung";90,00;"N";"We";"P";"Tf";;;;;;"Nil";"D";;;;;;;;"S";;;;;41,00;7,00;;;-0,70;1929,00;10,20;920,00;6,00;7,00;1,00;2,00;0,00;0,00;2,00;;;3,00;;;2,00;;;;;;;;;;;;;;;"2";;;;;;;;;3,00;;;;;;;2,00;3,00;;;;;;;29;
"0810   952";"Anastrophyllum minutum";"L";"Jung";35,00;"N";"We";"P";"Tf";"F";;;;;"R";"D";6,00;;9,00;12,00;;"E";14,00;"S";"W";"IR";;"NI";26,00;219,00;;30,00;2,00;1738,00;12,50;1070,00;7,00;4,00;2,00;3,00;0,00;0,00;2,00;;;3,00;3,00;;3,00;;1,00;2,00;;;;1,00;;;;;;;;"3";;;;;;;;;3,00;;;3,00;;;;3,00;3,00;;;;;;;30;
