"BRC_num";"taxon_name";"ML";"ord";"len";"stat";"lf1";"per";"lf2";"gem";"tub";"bra";"bul";"lvs";"fr";"sex";"spbeg";"spbeg2";"spend";"sp1";"spend2";"e";"sp2";"sc";"w";"ir";"ci";"ni";"elem";"gbno";"cino";"irno";"tjan";"prec";"tjul";"alt";"f_indicatie";"l_indicatie";"n_indicatie";"r_indicatie";"hm_indicatie";"s_indicatie";"rh";"rs";"rw";"so";"sr";"gs";"pt";"dv";"dw";"br";"da";"en";"aq";"ew";"a2";"b1";"b2";"b3";"c1";"c2";"c3";"d1";"d2";"d4";"e1";"e2";"e3";"e4";"e7";"f3";"f4";"f9";"fa";"g1";"g1r";"g3";"g3r";"h2";"h3";"h5";"i1";"i2";"j1";"j2";"j3";"id";"j4"
"0810   953";"Anastrophyllum saxicola";"L";"Jung";50,00;"N";"We";"P";"Tf";;;;;;"X";"D";;;;12,00;;;14,00;"S";;;;;46,00;5,00;;;0,00;1397,00;11,40;700,00;6,00;5,00;2,00;3,00;0,00;0,00;3,00;;;;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;;31;
"0820  1057";"Andreaea alpestris";"M";"Andr";10,00;"N";"Cu";"P";"Tf";;;;;;"O";"M";;;;22,00;;;26,00;"S";;;;;16,00;6,00;;;-1,00;1678,00;10,50;1335,00;4,00;7,00;1,00;2,00;0,00;0,00;3,00;;;3,00;;;;;;;;;;;;;;;;;3,00;;;;;;;"3";;;;;;;;;;;;;;;;;;32;
"0820    23";"Andreaea alpina";"M";"Andr";60,00;"N";"Cu";"P";"Tf";;;;;;"O";"M";;;;26,00;;"E";38,00;"S";"W";"IR";;"NI";41,00;199,00;;28,00;1,90;2053,00;12,20;1300,00;5,00;7,00;1,00;3,00;0,00;0,00;3,00;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;;;;;;;;;;;;3,00;;;;;;;33;
"0820  1060";"Andreaea blyttii";"M";"Andr";25,00;"N";"Cu";"P";"Tf";;;;;;"O";"D";;;;13,00;;;19,00;"S";;;;;16,00;10,00;;;-1,10;1908,00;10,30;1190,00;5,00;6,00;1,00;2,00;0,00;0,00;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;"3";;;;;;;;;;;;;;;;;;34;
"0820  1062";"Andreaea frigida";"M";"Andr";40,00;"N";"Cu";"P";"Tf";;;;;;"A";"M";;;;25,00;;"E";35,00;"S";;;;;43,00;4,00;;;-1,50;2006,00;10,30;1200,00;7,00;7,00;1,00;2,00;0,00;0,00;3,00;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;;;;;;;;;;;;;;;;;;;35;
"0820  1064";"Andreaea megistospora";"M";"Andr";10,00;"N";"Cu";"P";"Tf";;;;;;"A";"M";;;;50,00;;"E";90,00;"S";"W";"IR";;"(NI)";70,00;19,00;;4,00;2,10;2211,00;12,30;1100,00;3,00;8,00;1,00;2,00;0,00;0,00;3,00;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;;;;;;;;;;;;;;;;;;;36;
"0820  1065";"Andreaea mutabilis";"M";"Andr";10,00;"N";"Cu";"P";"";;;;;;"A";"M";;;;12,00;;"E";21,00;"S";"W";;;;41,00;30,00;;;0,50;2031,00;11,50;1300,00;5,00;7,00;1,00;2,00;0,00;0,00;3,00;;;;1,00;;;;;;;;;;;;;;;"3";3,00;;;;;;;;;;;;;;;;;;3,00;;;;;;;37;
"0820    24";"Andreaea nivalis";"M";"Andr";60,00;"N";"Cu";"P";"Tf";;;;;;"O";"D";;;;24,00;;;33,00;"S";;;;;13,00;18,00;;;-0,40;2098,00;10,70;1340,00;7,00;7,00;1,00;2,00;0,00;0,00;3,00;;;;;;;;;;;;;;;;;;;"3";3,00;;;;;;;;;;;;;;;;;;;;;;;;;38;
"0820  1067";"Andreaea rothii";"M";"Andr";25,00;"N";"Cu";"P";"Tf";;;;;;"A";"M";2,00;;4,00;36,00;;"E";52,00;"S";"W";"IR";;"NI";53,00;254,00;;40,00;2,70;1731,00;13,20;1344,00;4,00;8,00;1,00;2,00;0,00;0,00;3,00;;;;;;;;;;;;;;;;;;;"3";3,00;;;;;;;;;;;;;;;;;;3,00;;;;;;3,00;39;
"0820  1067.1";"Andreaea rothii subsp. falcata";"M";"Andr";25,00;"N";"Cu";"P";"Tf";;;;;;"A";"M";;;;36,00;;"E";52,00;"S";"W";"IR";;"NI";53,00;181,00;;35,00;2,70;1757,00;13,20;800,00;4,00;8,00;1,00;2,00;0,00;0,00;3,00;;;;;;;;;;;;;;;;;;;"3";3,00;;;;;;;;;;;;;;;;;;3,00;;;;;;3,00;40;
"0820  1067.2";"Andreaea rothii subsp. rothii";"M";"Andr";25,00;"N";"Cu";"P";"Tf";;;;;;"A";"M";3,00;;3,00;;;"E";;"S";"W";"IR";;"(NI)";52,00;28,00;;14,00;3,00;1538,00;13,50;800,00;4,00;8,00;1,00;2,00;0,00;0,00;3,00;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;;;;;;;;;;;;3,00;;;;;;;41;
"0820  1068";"Andreaea rupestris";"M";"Andr";30,00;"N";"Cu";"P";"Tf";;;;;;"A";"M";;;;26,00;;"E";32,00;"S";"W";"IR";;"NI";26,00;208,00;;16,00;2,00;1817,00;12,60;1330,00;3,00;7,00;1,00;2,00;0,00;0,00;3,00;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;"1";;;;;;;;;;;3,00;;;;;"3";;42;
"0820  1068.1";"Andreaea rupestris var. papillosa";"M";"Andr";30,00;"N";"Cu";"P";"Tf";;;;;;"A";"M";;;;;;"(E)";;;"W";;;;16,00;2,00;;;2,50;2575,00;12,90;500,00;3,00;7,00;1,00;2,00;0,00;0,00;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;43;
"0820  1068.2";"Andreaea rupestris var. rupestris";"M";"Andr";30,00;"N";"Cu";"P";"Tf";;;;;;"A";"M";;;;26,00;;"E";32,00;"S";"W";"IR";;"NI";26,00;152,00;;14,00;2,00;1842,00;12,60;1110,00;3,00;7,00;1,00;2,00;0,00;0,00;3,00;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;"1";;;;;;;;;;;3,00;;;;;;;44;
"0820  1069";"Andreaea sinuosa";"M";"Andr";10,00;"N";"Cu";"P";"";;;;;;"A";"D";;;;13,00;;;19,00;"S";;;;;11,00;5,00;;;-0,80;1645,00;10,50;1200,00;5,00;6,00;1,00;2,00;0,00;0,00;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;"3";;;;;;;;;;;;;;;;;;45;
"0810   901";"Aneura pinguis";"L";"Metz";60,00;"N";"Mt";"P";"St";;;;;;"F";"D";2,00;;10,00;18,00;;"E";25,00;"S";"W";"IR";"CI";"NI";36,00;1495,00;2,00;227,00;3,30;1220,00;14,20;1070,00;9,00;8,00;2,00;6,00;2,00;0,00;3,00;"3";;3,00;3,00;3,00;;"2";;2,00;;;;;;"3";;;;;3,00;"3";"3";"3";3,00;;3,00;"3";"3";"3";3,00;;;2,00;2,00;;;2,00;3,00;;;;;;3,00;46;
"0820    27";"Anoectangium aestivum";"M";"Pott";73,00;"N";"Tuft";"P";"Tf";;;;;;"R";"D";;;;12,00;;"E";16,00;"S";"W";"IR";;"NI";43,00;305,00;;33,00;2,20;1922,00;12,50;1180,00;7,00;6,00;2,00;7,00;0,00;0,00;3,00;"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,00;;;;;3,00;;;;;;;47;
"0820  1503";"Anomobryum julaceum";"M";"Brya";50,00;"N";"Tf";"P";"Tuft";;;"O";;;"O";"D";4,00;;4,00;10,00;;"E";18,00;"S";"W";"IR";;"NI";46,00;439,00;;75,00;2,40;1744,00;12,70;1100,00;7,00;7,00;2,00;4,00;1,00;0,00;3,00;"3";;3,00;2,00;3,00;;;;;;;;;;;;;;;3,00;;;"2";;;;;;;;;;;;;;;3,00;1,00;;;;;1,00;48;
"0820    28";"Anomobryum julaceum var. concinnatum";"M";"Brya";50,00;"N";"Tuft";"P";"Tf";;;;;;"X";"D";;;;;;"E";;"S";"W";"IR";;"NI";43,00;59,00;;11,00;2,40;1652,00;12,90;1100,00;6,00;7,00;2,00;6,00;0,00;0,00;;"3";;3,00;3,00;;;;;;;;;;;;;;;;;;;"3";;;;;;;;;;;;;;;3,00;;;;;;;49;
"0820    29";"Anomobryum julaceum var. julaceum";"M";"Brya";50,00;"N";"Tf";"P";"Tuft";;;;;;"O";"D";;;;10,00;;"E";18,00;"S";"W";"IR";;"NI";46,00;417,00;;70,00;2,30;1752,00;12,70;950,00;7,00;7,00;2,00;4,00;0,00;0,00;3,00;;;3,00;;3,00;;;;;;;;;;;;;;;3,00;;;"2";;;;;;;;;;;;;;;3,00;1,00;;;;;1,00;50;
"0820    31";"Anomodon attenuatus";"M";"Hypn";50,00;"N";"Mr";"P";"";;;;;;"X";"D";;;;10,00;;;15,00;"S";;;;;56,00;1,00;;;1,50;968,00;13,20;150,00;5,00;5,00;4,00;7,00;0,00;0,00;3,00;;;;;;;;3,00;;;;;3,00;;;;;;;;;;;;;;;;;;;;3,00;;;;;3,00;;;;;;;51;
"0820    32";"Anomodon longifolius";"M";"Hypn";60,00;"N";"Mr";"P";"";;;;;;"X";"D";;;;16,00;;"E";18,00;"S";"W";;;;55,00;6,00;;;2,60;1023,00;14,60;250,00;5,00;5,00;4,00;7,00;0,00;0,00;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;;;;;3,00;;;;;;;52;
"0820    33";"Anomodon viticulosus";"M";"Hypn";120,00;"N";"Mr";"P";"";;;;;;"R";"D";;;;14,00;;"E";18,00;"S";"W";"IR";"CI";"NI";56,00;740,00;1,00;90,00;3,60;1029,00;15,10;460,00;5,00;5,00;5,00;8,00;0,00;0,00;3,00;"3";"3";3,00;2,00;;;;1,00;;;;;3,00;;;;;;;2,00;;;;2,00;;;;;;;;"3";3,00;;;;;3,00;;;;;"3";;53;
"0810   686";"Anthelia julacea";"L";"Jung";40,00;"N";"We";"P";"Ms";;;;;;"O";"D";5,00;;8,00;12,00;;"E";16,00;"S";"W";"IR";;"NI";16,00;202,00;;34,00;1,90;2040,00;12,10;1340,00;9,00;7,00;1,00;3,00;0,00;0,00;3,00;;;3,00;;;;;;;;;;;;;;;;"3";3,00;;"3";;;;;;;;;;;;;;;;3,00;;;;;;;54;
"0810   687";"Anthelia juratzkana";"L";"Jung";6,00;"N";"Ms";"P";"Sc";;;;;;"F";"M";5,00;;9,00;16,00;;;21,00;"S";"W";"IR";;"NI";16,00;67,00;;7,00;1,10;2066,00;11,60;1340,00;7,00;5,00;1,00;3,00;0,00;0,00;;"3";;3,00;3,00;;;;;;;;;;;;;;;;;;;;;;;"3";;;;;;;;;;;3,00;;;;;;;55;
"0810   690";"Anthoceros agrestis";"H";"Anth";15,00;"NA";"St";"A";"";;;;;;"A";"M";7,00;;12,00;42,00;;"E";62,00;"S";"W";"IR";;"NI";73,00;118,00;;5,00;3,80;937,00;15,50;226,00;7,00;7,00;4,00;5,00;0,00;0,00;;;;3,00;;;;;;;;;;;;;;;;;;;;;;;3,00;;;;;;;;2,00;;;;;;3,00;3,00;;;1,00;56;
"0810   688";"Anthoceros punctatus";"H";"Anth";30,00;"N";"St";"AP";"Mt";;;;;;"A";"M";1,00;;12,00;42,00;;"E";62,00;"S";"W";"IR";"CI";"NI";91,00;146,00;4,00;28,00;4,70;1152,00;14,90;300,00;7,00;7,00;4,00;5,00;0,00;0,00;2,00;;;3,00;;2,00;2,00;;;;;;;;;;;3,00;;;;;;;;;3,00;;;;;;;;2,00;;;;2,00;3,00;3,00;;;;2,00;57;
"0820    34";"Antitrichia curtipendula";"M";"Hypn";200,00;"N";"We";"P";"Mr";;;;;;"R";"D";;;;34,00;;"E";36,00;"S";"W";"IR";;"NI";53,00;230,00;;9,00;2,00;1764,00;12,50;900,00;4,00;6,00;2,00;5,00;0,00;0,00;3,00;;;1,00;;1,00;;;1,00;;;;;3,00;;"1";"1";;;;3,00;;;;1,00;;;"1";;"3";;;;3,00;;;;3,00;3,00;;;;;"1";;58;
"0820   656";"Aongstroemia longipes";"M";"Dicr";10,00;"N";"Tuft";"P";"Ts";;;"F";;;"R";"D";;;;15,00;;;20,00;"S";;"IR";;;46,00;11,00;;1,00;1,60;1847,00;12,40;520,00;6,00;8,00;3,00;5,00;0,00;0,00;;;;3,00;;3,00;;;;;;;;;;;;;;;3,00;;;;;;;;;;;;;;;;;;;3,00;;;;;3,00;59;
"0810   691";"Aphanolejeunea microscopica";"L";"Pore";6,00;"N";"Ms";"P";"Thread";"F";;;;;"R";"M";6,00;;9,00;20,00;;"E";30,00;"S";"W";"IR";;"NI";80,00;181,00;;46,00;2,90;1969,00;12,90;610,00;8,00;2,00;2,00;4,00;0,00;0,00;3,00;;;;;;;;;;;3,00;;2,00;;;;3,00;;;3,00;;;;;;;;;;;;;3,00;;;;3,00;3,00;;;;;;;60;
"0820   442";"Aphanorhegma patens";"M";"Funa";2,50;"N";"Ts";"A";"Tf";;;;;;"A";"M";7,00;;11,00;26,00;;"E";32,00;"S";"W";"IR";;"NI";74,00;228,00;;22,00;3,90;830,00;15,70;230,00;8,00;7,00;7,00;7,00;0,00;0,00;;;;3,00;;;;;;;;;;;;;;;;;3,00;;;;;;2,00;;;;;;;;2,00;;;;;3,00;2,00;;;;;61;
"0820   327";"Aplodon wormskjoldii";"M";"Spla";60,00;"N";"Tuft";"A";"";;;;;;"A";"M";;;;10,00;;"E";15,00;"S";;;;;16,00;6,00;;;-0,20;1586,00;11,40;869,00;7,00;8,00;2,00;3,00;0,00;0,00;;;;;;;;;;;"3";;;;;;;;;;;"3";;;;;;;;;;;;;;;;;;;;;;;;62;
"0810   847";"Apometzgeria pubescens";"L";"Metz";35,00;"N";"We";"P";"Mt";;;;;;"X";"D";;;;19,00;;"E";23,00;"S";"W";;;"NI";46,00;178,00;;4,00;1,70;1457,00;12,90;1000,00;5,00;4,00;3,00;8,00;0,00;0,00;3,00;"3";"1";2,00;3,00;;;;;;;;;1,00;;;;;;;;;;;;;;;;;;;;3,00;;;;;3,00;;;;;;;63;
