"originalna";"id";"speciesnam";"vaatplant";"is_gras";"is_boomstruik";"is_dwergstruik";"is_hogeplant";"is_meerjarigkruid";"is_schijngras";"is_jarig";"is_invasieveexoot";"is_mos";"is_lichen";"is_kranswier";"link_bbr";"link_bryoatt";"link_hill";"hoogte_max";"is_bossoort";"l_waarde";"genus_ori";"species_ori";"subspecies_ori";"genus";"species";"subspecies";"specieszonderauteur_ori";"specieszonderauteur";"L_getal";"R_getal";"F_getal";"N_getal";"S_getal";"taxontype_ID"
"Amelanchier lamarckii F.G. Schroeder";1;"Amelanchier lamarckii F.G. Schroeder";1;0;1;0;0;0;0;0;0;0;0;0;1852;;;1200;0;6;"Amelanchier ";"lamarckii";;"Amelanchier ";"lamarckii";;"Amelanchier lamarckii";"Amelanchier lamarckii";6;3;5;3;0;9
"Ammophila arenaria (L.) Link";2;"Ammophila arenaria (L.) Link";1;1;0;0;0;0;0;0;0;0;0;0;50;;83;120;0;9;"Ammophila ";"arenaria";;"Ammophila ";"arenaria";;"Ammophila arenaria";"Ammophila arenaria";9;6;4;3;3;9
"Anagallis arvensis L.";3;"Anagallis arvensis L.";1;0;0;0;0;0;0;1;0;0;0;0;2308;;86;50;0;7;"Anagallis ";"arvensis";;"Anagallis ";"arvensis";;"Anagallis arvensis";"Anagallis arvensis";7;6;4;5;0;9
"Anagallis arvensis subsp. arvensis";4;"Anagallis arvensis L. subsp. arvensis";1;0;0;0;0;0;0;1;0;0;0;0;52;;;50;0;6;"Anagallis ";"arvensis";"subsp. arvensis";"Anagallis ";"arvensis";"subsp. arvensis";"Anagallis arvensis subsp. arvensis";"Anagallis arvensis subsp. arvensis";6;;5;6;0;22
"Anagallis tenella (L.) L.";5;"Anagallis tenella (L.) L.";1;0;0;0;0;1;0;0;0;0;0;0;53;;88;20;0;8;"Anagallis ";"tenella";;"Anagallis ";"tenella";;"Anagallis tenella";"Anagallis tenella";8;5;8;3;0;9
"Anchusa arvensis (L.) Bieb.";6;"Anchusa arvensis (L.) Bieb.";1;0;0;0;0;0;0;1;0;0;0;0;779;;90;60;0;7;"Anchusa ";"arvensis";;"Anchusa ";"arvensis";;"Anchusa arvensis";"Anchusa arvensis";7;6;4;5;0;9
"Anchusa officinalis L.";7;"Anchusa officinalis L.";1;0;0;0;0;1;0;0;0;0;0;0;54;;;100;0;9;"Anchusa ";"officinalis";;"Anchusa ";"officinalis";;"Anchusa officinalis";"Anchusa officinalis";9;7;3;5;0;9
"Andromeda polifolia L.";8;"Andromeda polifolia L.";1;0;0;1;0;0;0;0;0;0;0;0;55;;91;50;0;9;"Andromeda ";"polifolia";;"Andromeda ";"polifolia";;"Andromeda polifolia";"Andromeda polifolia";9;1;9;1;0;9
"Anemone nemorosa L.";9;"Anemone nemorosa L.";1;0;0;0;0;1;0;0;0;0;0;0;56;;92;25;1;5;"Anemone ";"nemorosa";;"Anemone ";"nemorosa";;"Anemone nemorosa";"Anemone nemorosa";5;5;6;4;0;9
"Aneura pinguis (L.) Dumort.";10;"Aneura pinguis (L.) Dumort.";0;0;0;0;0;0;0;0;0;1;0;0;3301;46;;;0;7;"Aneura ";"pinguis";;"Aneura ";"pinguis";;"Aneura pinguis";"Aneura pinguis";8;6;9;2;0;9
