"originalna";"id";"speciesnam";"vaatplant";"is_gras";"is_boomstruik";"is_dwergstruik";"is_hogeplant";"is_meerjarigkruid";"is_schijngras";"is_jarig";"is_invasieveexoot";"is_mos";"is_lichen";"is_kranswier";"link_bbr";"link_bryoatt";"link_hill";"hoogte_max";"is_bossoort";"l_waarde";"genus_ori";"species_ori";"subspecies_ori";"genus";"species";"subspecies";"specieszonderauteur_ori";"specieszonderauteur";"L_getal";"R_getal";"F_getal";"N_getal";"S_getal";"taxontype_ID"
"Angelica";11;"Angelica";1;0;0;0;1;1;0;0;0;0;0;0;6034;;;;0;;"Angelica";;;"Angelica";;;"Angelica";"Angelica";;;;;;12
"Angelica archangelica L.";12;"Angelica archangelica L.";1;0;0;0;1;1;0;0;1;0;0;0;59;;;250;0;7;"Angelica ";"archangelica";;"Angelica ";"archangelica";;"Angelica archangelica";"Angelica archangelica";7;;;9;1;9
"Angelica sylvestris L.";13;"Angelica sylvestris L.";1;0;0;0;1;1;0;0;0;0;0;0;60;;93;180;0;7;"Angelica ";"sylvestris";;"Angelica ";"sylvestris";;"Angelica sylvestris";"Angelica sylvestris";7;6;8;5;0;9
"Anisantha sterilis (L.) Nevski";14;"Bromus sterilis L.";1;1;0;0;0;0;0;1;0;0;0;0;165;;95;120;0;7;"Anisantha ";"sterilis";;"Bromus ";"sterilis";;"Anisantha sterilis";"Bromus sterilis";7;8;5;7;0;9
"Anisantha tectorum (L.) Nevski";15;"Bromus tectorum L.";1;1;0;0;0;0;0;1;0;0;0;0;166;;;50;0;8;"Anisantha ";"tectorum";;"Bromus ";"tectorum";;"Anisantha tectorum";"Bromus tectorum";8;8;3;4;0;9
"Anthoceros punctatus L.";16;"Anthoceros punctatus L.";0;0;0;0;0;0;0;0;0;1;0;0;;57;;;0;;"Anthoceros ";"punctatus";;"Anthoceros ";"punctatus";;"Anthoceros punctatus";"Anthoceros punctatus";7;5;7;4;0;9
"Anthoxanthum";17;"Anthoxanthum";1;1;0;0;0;0;0;0;0;0;0;0;6038;;;;0;;"Anthoxanthum";;;"Anthoxanthum";;;"Anthoxanthum";"Anthoxanthum";;;;;;12
"Anthoxanthum aristatum Boiss.";18;"Anthoxanthum aristatum Boiss.";1;1;0;0;0;0;0;1;0;0;0;0;67;;100;40;0;7;"Anthoxanthum ";"aristatum";;"Anthoxanthum ";"aristatum";;"Anthoxanthum aristatum";"Anthoxanthum aristatum";7;4;4;5;0;9
"Anthoxanthum odoratum L.";19;"Anthoxanthum odoratum L.";1;1;0;0;0;0;0;0;0;0;0;0;66;;101;80;0;7;"Anthoxanthum ";"odoratum";;"Anthoxanthum ";"odoratum";;"Anthoxanthum odoratum";"Anthoxanthum odoratum";7;4;6;3;0;9
"Anthriscus caucalis Bieb.";20;"Anthriscus caucalis Bieb.";1;0;0;0;0;0;0;1;0;0;0;0;68;;102;80;0;7;"Anthriscus ";"caucalis";;"Anthriscus ";"caucalis";;"Anthriscus caucalis";"Anthriscus caucalis";7;6;5;5;0;9
"Anthriscus cerefolium (L.) Hoffmann";21;"Anthriscus cerefolium (L.) Hoffmann";1;0;0;0;0;0;0;1;0;0;0;0;69;;;60;0;6;"Anthriscus ";"cerefolium";;"Anthriscus ";"cerefolium";;"Anthriscus cerefolium";"Anthriscus cerefolium";6;;5;8;0;9
"Anthriscus sylvestris (L.) Hoffmann";22;"Anthriscus sylvestris (L.) Hoffmann";1;0;0;0;1;1;0;0;0;0;0;0;70;;103;150;0;6;"Anthriscus ";"sylvestris";;"Anthriscus ";"sylvestris";;"Anthriscus sylvestris";"Anthriscus sylvestris";6;7;5;7;0;9
"Anthriscus vulgaris Pers. non Bernh.";23;"Anthriscus caucalis Bieb.";1;0;0;0;0;0;0;1;0;0;0;0;68;;102;80;0;7;"Anthriscus ";"vulgaris";;"Anthriscus ";"caucalis";;"Anthriscus vulgaris";"Anthriscus caucalis";7;6;5;5;0;9
"Apera spica-venti (L.) Beauv.";24;"Apera spica-venti (L.) Beauv.";1;1;0;0;0;0;0;1;0;0;0;0;73;;107;90;0;7;"Apera ";"spica-venti";;"Apera ";"spica-venti";;"Apera spica-venti";"Apera spica-venti";7;5;4;5;0;9
"Aphanes";25;"Aphanes";1;0;0;0;0;0;0;1;0;0;0;0;6043;;;;0;;"Aphanes";;;"Aphanes";;;"Aphanes";"Aphanes";;;;;;12
"Aphanes arvensis L.";26;"Aphanes arvensis L.";1;0;0;0;0;0;0;1;0;0;0;0;74;;108;20;0;8;"Aphanes ";"arvensis";;"Aphanes ";"arvensis";;"Aphanes arvensis";"Aphanes arvensis";8;6;4;4;0;9
"Aphanes australis Rydb.";27;"Aphanes inexspectata W. Lippert";1;0;0;0;0;0;0;1;0;0;0;0;75;;109;15;0;7;"Aphanes ";"australis";;"Aphanes ";"inexspectata";;"Aphanes australis";"Aphanes inexspectata";7;5;4;4;0;9
"Aphanes inexspectata W. Lippert";28;"Aphanes inexspectata W. Lippert";1;0;0;0;0;0;0;1;0;0;0;0;75;;109;15;0;7;"Aphanes ";"inexspectata";;"Aphanes ";"inexspectata";;"Aphanes inexspectata";"Aphanes inexspectata";7;5;4;4;0;9
"Apium";29;"Apium";1;0;0;0;0;1;0;0;0;0;0;0;6044;;;;0;;"Apium";;;"Apium";;;"Apium";"Apium";;;;;;12
"Apium graveolens L.";30;"Apium graveolens L.";1;0;0;0;0;1;0;0;0;0;0;0;76;;110;90;0;8;"Apium ";"graveolens";;"Apium ";"graveolens";;"Apium graveolens";"Apium graveolens";8;7;8;7;2;9
"Apium inundatum (L.) Reichenb. f.";31;"Apium inundatum (L.) Reichenb. f.";1;0;0;0;0;1;0;0;0;0;0;0;77;;111;60;0;7;"Apium ";"inundatum";;"Apium ";"inundatum";;"Apium inundatum";"Apium inundatum";7;6;10;4;0;9
"Apium nodiflorum (L.) Lag.";32;"Apium nodiflorum (L.) Lag.";1;0;0;0;0;1;0;0;0;0;0;0;78;;112;100;0;7;"Apium ";"nodiflorum";;"Apium ";"nodiflorum";;"Apium nodiflorum";"Apium nodiflorum";7;7;10;7;0;9
"Apium repens (Jacq.) Lag.";33;"Apium repens (Jacq.) Lag.";1;0;0;0;0;1;0;0;0;0;0;0;79;;113;30;0;9;"Apium ";"repens";;"Apium ";"repens";;"Apium repens";"Apium repens";9;7;9;7;0;9
"Aquilegia vulgaris L.";34;"Aquilegia vulgaris L.";1;0;0;0;0;1;0;0;0;0;0;0;80;;114;60;0;6;"Aquilegia ";"vulgaris";;"Aquilegia ";"vulgaris";;"Aquilegia vulgaris";"Aquilegia vulgaris";6;6;4;5;0;9
"Arabidopsis thaliana (L.) Heynh.";35;"Arabidopsis thaliana (L.) Heynh.";1;0;0;0;0;0;0;1;0;0;0;0;81;;115;30;0;8;"Arabidopsis ";"thaliana";;"Arabidopsis ";"thaliana";;"Arabidopsis thaliana";"Arabidopsis thaliana";8;6;3;2;0;9
"Arabis hirsuta subsp. sagittata (Bertol.) Nyman";36;"Arabis hirsuta (L.) Scop. subsp. sagittata (Bertol.) Nyman";1;0;0;0;0;1;0;0;0;0;0;0;1458;;;90;0;7;"Arabis ";"hirsuta";"subsp. sagittata";"Arabis ";"hirsuta";"subsp. sagittata";"Arabis hirsuta subsp. sagittata";"Arabis hirsuta subsp. sagittata";7;8;;;0;22
"Arctium";37;"Arctium";1;0;0;0;1;1;0;0;0;0;0;0;6048;;;;0;;"Arctium";;;"Arctium";;;"Arctium";"Arctium";;;;;;12
"Arctium lappa L.";38;"Arctium lappa L.";1;0;0;0;1;1;0;0;0;0;0;0;83;;6;150;0;9;"Arctium ";"lappa";;"Arctium ";"lappa";;"Arctium lappa";"Arctium lappa";9;7;5;9;0;9
"Arctium minus (Hill) Bernh.";39;"Arctium minus (Hill) Bernh.";1;0;0;0;1;1;0;0;0;0;0;0;84;;7;120;0;6;"Arctium ";"minus";;"Arctium ";"minus";;"Arctium minus";"Arctium minus";6;7;4;5;0;9
"Arctium nemorosum Lej.";40;"Arctium nemorosum Lej.";1;0;0;0;1;1;0;0;0;0;0;0;;;;120;0;;"Arctium ";"nemorosum";;"Arctium ";"nemorosum";;"Arctium nemorosum";"Arctium nemorosum";;;;;;9
"Arenaria";41;"Arenaria";1;0;0;0;0;0;0;1;0;0;0;0;6050;;;;0;;"Arenaria";;;"Arenaria";;;"Arenaria";"Arenaria";;;;;;12
"Arenaria serpyllifolia L.";42;"Arenaria serpyllifolia L.";1;0;0;0;0;0;0;1;0;0;0;0;2334;;12;25;0;8;"Arenaria ";"serpyllifolia";;"Arenaria ";"serpyllifolia";;"Arenaria serpyllifolia";"Arenaria serpyllifolia";8;7;3;5;0;9
"Armeria maritima Willd.";43;"Armeria maritima Willd.";1;0;0;0;0;1;0;0;0;0;0;0;91;;14;50;0;8;"Armeria ";"maritima";;"Armeria ";"maritima";;"Armeria maritima";"Armeria maritima";8;5;7;5;3;9
"Arnoseris minima (L.) Schweigg. et Körte";44;"Arnoseris minima (L.) Schweigg. et Körte";1;0;0;0;0;0;0;1;0;0;0;0;94;;;30;0;7;"Arnoseris ";"minima";;"Arnoseris ";"minima";;"Arnoseris minima";"Arnoseris minima";7;3;4;3;0;9
"Arrhenatherum elatius (L.) Beauv. ex J. et C. Presl";45;"Arrhenatherum elatius (L.) Beauv. ex J. et C. Presl";1;1;0;0;1;0;0;0;0;0;0;0;96;;45;150;0;7;"Arrhenatherum ";"elatius";;"Arrhenatherum ";"elatius";;"Arrhenatherum elatius";"Arrhenatherum elatius";7;7;5;7;0;9
"Arrhenatherum elatius subsp. elatius";46;"Arrhenatherum elatius (L.) Beauv. ex J. et C. Presl subsp. elatius";1;1;0;0;1;0;0;0;0;0;0;0;2391;;;150;0;8;"Arrhenatherum ";"elatius";"subsp. elatius";"Arrhenatherum ";"elatius";"subsp. elatius";"Arrhenatherum elatius subsp. elatius";"Arrhenatherum elatius subsp. elatius";8;7;5;7;0;22
"Artemisia maritima L.";47;"Artemisia maritima L.";1;0;0;0;0;1;0;0;0;0;0;0;100;;;60;0;9;"Artemisia ";"maritima";;"Artemisia ";"maritima";;"Artemisia maritima";"Artemisia maritima";9;;5;7;5;9
"Artemisia vulgaris L.";48;"Artemisia vulgaris L.";1;0;0;0;1;1;0;0;0;0;0;0;101;;49;120;0;7;"Artemisia ";"vulgaris";;"Artemisia ";"vulgaris";;"Artemisia vulgaris";"Artemisia vulgaris";7;8;4;7;0;9
"Arum";49;"Arum";1;0;0;0;0;1;0;0;0;0;0;0;6059;;;;0;;"Arum";;;"Arum";;;"Arum";"Arum";;;;;;12
"Arum maculatum L.";50;"Arum maculatum L.";1;0;0;0;0;1;0;0;0;0;0;0;103;;51;45;1;4;"Arum ";"maculatum";;"Arum ";"maculatum";;"Arum maculatum";"Arum maculatum";4;7;5;7;0;9
"Asparagus officinalis subsp. prostratus (Dum.) Corb.";51;"Asparagus officinalis L. subsp. prostratus (Dum.) Corb.";1;0;0;0;1;1;0;0;0;0;0;0;105;;;150;0;6;"Asparagus ";"officinalis";"subsp. prostratus";"Asparagus ";"officinalis";"subsp. prostratus";"Asparagus officinalis subsp. prostratus";"Asparagus officinalis subsp. prostratus";6;;;4;0;22
"Asperula cynanchica L.";52;"Asperula cynanchica L.";1;0;0;0;0;1;0;0;0;0;0;0;108;;54;25;0;7;"Asperula ";"cynanchica";;"Asperula ";"cynanchica";;"Asperula cynanchica";"Asperula cynanchica";7;8;3;2;0;9
"Asplenium";53;"Asplenium";1;0;0;0;0;1;0;0;0;0;0;0;6062;;;;0;;"Asplenium";;;"Asplenium";;;"Asplenium";"Asplenium";;;;;;12
"Asplenium scolopendrium L.";54;"Asplenium scolopendrium L.";1;0;0;0;0;1;0;0;0;0;0;0;934;;1186;60;1;4;"Asplenium ";"scolopendrium";;"Asplenium ";"scolopendrium";;"Asplenium scolopendrium";"Asplenium scolopendrium";4;7;5;5;0;9
"Asplenium trichomanes L.";55;"Asplenium trichomanes L.";1;0;0;0;0;1;0;0;0;0;0;0;113;;119;35;0;5;"Asplenium ";"trichomanes";;"Asplenium ";"trichomanes";;"Asplenium trichomanes";"Asplenium trichomanes";5;8;3;2;0;9
"Aster";56;"Aster";1;0;0;0;0;1;0;0;0;0;0;0;6063;;;;0;;"Aster";;;"Aster";;;"Aster";"Aster";;;;;;12
"Aster tripolium L.";57;"Aster tripolium L.";1;0;0;0;0;1;0;0;0;0;0;0;117;;125;90;0;9;"Aster ";"tripolium";;"Aster ";"tripolium";;"Aster tripolium";"Aster tripolium";9;7;8;6;5;9
"Abies";58;"Abies";1;0;1;0;0;0;0;0;0;0;0;0;6564;;;;0;;"Abies";;;"Abies";;;"Abies";"Abies";;;;;;12
"Abietinella abietina (Hedw.) M.Fleisch.";59;"Abietinella abietina (Hedw.) M.Fleisch.";0;0;0;0;0;0;0;0;0;1;0;0;3041;1098;;;0;9;"Abietinella ";"abietina";;"Abietinella ";"abietina";;"Abietinella abietina";"Abietinella abietina";8;8;3;2;0;9
"Acer";60;"Acer";1;0;1;0;0;0;0;0;0;0;0;0;6001;;;;0;;"Acer";;;"Acer";;;"Acer";"Acer";;;;;;12
"Acer campestre L.";61;"Acer campestre L.";1;0;1;0;0;0;0;0;0;0;0;0;1;;146;1800;0;5;"Acer ";"campestre";;"Acer ";"campestre";;"Acer campestre";"Acer campestre";5;7;5;6;0;9
"Acer platanoides L.";62;"Acer platanoides L.";1;0;1;0;0;0;0;0;0;0;0;0;1850;;147;3000;0;4;"Acer ";"platanoides";;"Acer ";"platanoides";;"Acer platanoides";"Acer platanoides";4;7;5;7;0;9
"Acer pseudoplatanus L.";63;"Acer pseudoplatanus L.";1;0;1;0;0;0;0;0;0;0;0;0;2;;148;2500;0;4;"Acer ";"pseudoplatanus";;"Acer ";"pseudoplatanus";;"Acer pseudoplatanus";"Acer pseudoplatanus";4;6;5;6;0;9
"Achillea millefolium L.";64;"Achillea millefolium L.";1;0;0;0;0;1;0;0;0;0;0;0;4;;150;50;0;7;"Achillea ";"millefolium";;"Achillea ";"millefolium";;"Achillea millefolium";"Achillea millefolium";7;6;5;4;1;9
"Achillea ptarmica L.";65;"Achillea ptarmica L.";1;0;0;0;0;1;0;0;0;0;0;0;5;;151;90;0;7;"Achillea ";"ptarmica";;"Achillea ";"ptarmica";;"Achillea ptarmica";"Achillea ptarmica";7;5;7;3;0;9
"Acorus calamus L.";66;"Acorus calamus L.";1;0;0;0;0;1;0;0;0;0;0;0;7;;153;120;0;8;"Acorus ";"calamus";;"Acorus ";"calamus";;"Acorus calamus";"Acorus calamus";8;7;10;7;0;9
"acrocarp";67;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;;;;;;;;;;;
"Adoxa moschatellina L.";68;"Adoxa moschatellina L.";1;0;0;0;0;1;0;0;0;0;0;0;10;;157;15;1;4;"Adoxa ";"moschatellina";;"Adoxa ";"moschatellina";;"Adoxa moschatellina";"Adoxa moschatellina";4;6;5;5;0;9
"Aegopodium podagraria L.";69;"Aegopodium podagraria L.";1;0;0;0;0;1;0;0;0;0;0;0;11;;158;90;0;6;"Aegopodium ";"podagraria";;"Aegopodium ";"podagraria";;"Aegopodium podagraria";"Aegopodium podagraria";6;6;5;7;0;9
"Aesculus hippocastanum L.";70;"Aesculus hippocastanum L.";1;0;1;0;0;0;0;0;0;0;0;0;1851;;159;2000;0;5;"Aesculus ";"hippocastanum";;"Aesculus ";"hippocastanum";;"Aesculus hippocastanum";"Aesculus hippocastanum";5;7;5;7;0;9
"Aethusa cynapium L.";71;"Aethusa cynapium L.";1;0;0;0;0;0;0;1;0;0;0;0;12;;160;120;0;6;"Aethusa ";"cynapium";;"Aethusa ";"cynapium";;"Aethusa cynapium";"Aethusa cynapium";6;7;4;6;0;9
"Agrimonia";72;"Agrimonia";1;0;0;0;0;1;0;0;0;0;0;0;6011;;;;0;;"Agrimonia";;;"Agrimonia";;;"Agrimonia";"Agrimonia";;;;;;12
"Agrimonia eupatoria L.";73;"Agrimonia eupatoria L.";1;0;0;0;0;1;0;0;0;0;0;0;13;;16;120;0;7;"Agrimonia ";"eupatoria";;"Agrimonia ";"eupatoria";;"Agrimonia eupatoria";"Agrimonia eupatoria";7;7;4;4;0;9
"Agrimonia procera Wallr.";74;"Agrimonia procera Wallr.";1;0;0;0;1;1;0;0;0;0;0;0;14;;17;150;0;5;"Agrimonia ";"procera";;"Agrimonia ";"procera";;"Agrimonia procera";"Agrimonia procera";5;7;6;5;0;9
"Agropyron caninum (L.) Beauv.";75;"Elymus caninus (L.) L.";1;1;0;0;1;0;0;0;0;0;0;0;1073;;529;200;0;7;"Agropyron ";"caninum";;"Elymus ";"caninus";;"Agropyron caninum";"Elymus caninus";7;7;6;8;0;9
"Agropyron pungens auct. non (Pers.) Roem. et Schult.";76;"Elymus athericus (Link) Kerguélen";1;1;0;0;0;0;0;0;0;0;0;0;445;;530;120;0;9;"Agropyron ";"pungens";;"Elymus ";"athericus";;"Agropyron pungens";"Elymus athericus";9;7;6;6;4;9
"Agropyron repens (L.) Beauv.";77;"Elymus repens (L.) Gould";1;1;0;0;1;0;0;0;0;0;0;0;446;;532;120;0;7;"Agropyron ";"repens";;"Elymus ";"repens";;"Agropyron repens";"Elymus repens";7;7;5;7;2;9
"Agrostis";78;"Agrostis";1;1;0;0;0;0;0;0;0;0;0;0;6013;;;;0;;"Agrostis";;;"Agrostis";;;"Agrostis";"Agrostis";;;;;;12
"Agrostis canina L.";79;"Agrostis canina L.";1;1;0;0;0;0;0;0;0;0;0;0;1544;;18;75;0;7;"Agrostis ";"canina";;"Agrostis ";"canina";;"Agrostis canina";"Agrostis canina";7;3;7;3;0;9
"Agrostis canina subsp. montana (Hartm.) Hartm.";80;"Agrostis vinealis Schreb.";1;1;0;0;0;0;0;0;0;0;0;0;1545;;23;60;0;7;"Agrostis ";"canina";"subsp. montana";"Agrostis ";"vinealis";;"Agrostis canina subsp. montana";"Agrostis vinealis";7;3;2;2;0;9
"Agrostis capillaris L.";81;"Agrostis capillaris L.";1;1;0;0;0;0;0;0;0;0;0;0;19;;19;70;0;6;"Agrostis ";"capillaris";;"Agrostis ";"capillaris";;"Agrostis capillaris";"Agrostis capillaris";6;4;5;4;0;9
"Agrostis gigantea Roth";82;"Agrostis gigantea Roth";1;1;0;0;0;0;0;0;0;0;0;0;17;;21;120;0;7;"Agrostis ";"gigantea";;"Agrostis ";"gigantea";;"Agrostis gigantea";"Agrostis gigantea";7;6;6;7;0;9
"Agrostis spec.";83;"Agrostis";1;1;0;0;0;0;0;0;0;0;0;0;6013;;;;0;;"Agrostis ";;;"Agrostis";;;"Agrostis ";"Agrostis";;;;;;12
"Agrostis stolonifera L.";84;"Agrostis stolonifera L.";1;1;0;0;0;0;0;0;0;0;0;0;18;;22;40;0;7;"Agrostis ";"stolonifera";;"Agrostis ";"stolonifera";;"Agrostis stolonifera";"Agrostis stolonifera";7;7;6;6;1;9
"Agrostis stolonifera var. stolonifera";85;"Agrostis stolonifera L. var. stolonifera";1;1;0;0;0;0;0;0;0;0;0;0;18;;;40;0;8;"Agrostis ";"stolonifera";"var. stolonifera";"Agrostis ";"stolonifera";"var. stolonifera";"Agrostis stolonifera var. stolonifera";"Agrostis stolonifera var. stolonifera";8;;;5;0;17
"Agrostis vinealis Schreb.";86;"Agrostis vinealis Schreb.";1;1;0;0;0;0;0;0;0;0;0;0;1545;;23;60;0;7;"Agrostis ";"vinealis";;"Agrostis ";"vinealis";;"Agrostis vinealis";"Agrostis vinealis";7;3;2;2;0;9
"Agrostis vulgaris With.";87;"Agrostis capillaris L.";1;1;0;0;0;0;0;0;0;0;0;0;19;;19;70;0;6;"Agrostis ";"vulgaris";;"Agrostis ";"capillaris";;"Agrostis vulgaris";"Agrostis capillaris";6;4;5;4;0;9
"Aira caryophyllea L.";88;"Aira caryophyllea L.";1;1;0;0;0;0;0;1;0;0;0;0;20;;24;60;0;8;"Aira ";"caryophyllea";;"Aira ";"caryophyllea";;"Aira caryophyllea";"Aira caryophyllea";8;5;2;2;0;9
"Aira praecox L.";89;"Aira praecox L.";1;1;0;0;0;0;0;1;0;0;0;0;21;;25;25;0;8;"Aira ";"praecox";;"Aira ";"praecox";;"Aira praecox";"Aira praecox";8;4;2;2;0;9
"Ajuga reptans L.";90;"Ajuga reptans L.";1;0;0;0;0;1;0;0;0;0;0;0;24;;28;30;0;5;"Ajuga ";"reptans";;"Ajuga ";"reptans";;"Ajuga reptans";"Ajuga reptans";5;5;7;5;0;9
"Alchemilla vulgaris L.";91;"Alchemilla vulgaris L.";1;0;0;0;0;1;0;0;0;0;0;0;25;;29;50;0;7;"Alchemilla ";"vulgaris";;"Alchemilla ";"vulgaris";;"Alchemilla vulgaris";"Alchemilla vulgaris";7;6;4;5;0;9
"Alisma";92;"Alisma";1;0;0;0;0;1;0;0;0;0;0;0;6017;;;;0;;"Alisma";;;"Alisma";;;"Alisma";"Alisma";;;;;;12
"Alisma lanceolatum With.";93;"Alisma lanceolatum With.";1;0;0;0;0;1;0;0;0;0;0;0;27;;42;140;0;8;"Alisma ";"lanceolatum";;"Alisma ";"lanceolatum";;"Alisma lanceolatum";"Alisma lanceolatum";8;7;10;7;0;9
"Alisma plantago-aquatica L.";94;"Alisma plantago-aquatica L.";1;0;0;0;1;1;0;0;0;0;0;0;28;;43;170;0;7;"Alisma ";"plantago-aquatica";;"Alisma ";"plantago-aquatica";;"Alisma plantago-aquatica";"Alisma plantago-aquatica";7;7;10;7;0;9
"Alliaria petiolata (Bieb.) Cavara et Grande";95;"Alliaria petiolata (Bieb.) Cavara et Grande";1;0;0;0;0;1;0;0;0;0;0;0;29;;44;90;1;5;"Alliaria ";"petiolata";;"Alliaria ";"petiolata";;"Alliaria petiolata";"Alliaria petiolata";5;7;6;8;0;9
"Allium schoenoprasum L.";96;"Allium schoenoprasum L.";1;0;0;0;0;1;0;0;0;0;0;0;32;;65;50;0;8;"Allium ";"schoenoprasum";;"Allium ";"schoenoprasum";;"Allium schoenoprasum";"Allium schoenoprasum";8;5;6;1;0;9
"Allium ursinum L.";97;"Allium ursinum L.";1;0;0;0;0;1;0;0;0;0;0;0;34;;69;40;1;4;"Allium ";"ursinum";;"Allium ";"ursinum";;"Allium ursinum";"Allium ursinum";4;7;6;7;0;9
"Allium vineale L.";98;"Allium vineale L.";1;0;0;0;0;1;0;0;0;0;0;0;35;;70;70;0;7;"Allium ";"vineale";;"Allium ";"vineale";;"Allium vineale";"Allium vineale";7;8;5;6;0;9
"Alnus";99;"Alnus";1;0;1;0;0;0;0;0;0;0;0;0;6020;;;;0;;"Alnus";;;"Alnus";;;"Alnus";"Alnus";;;;;;12
"Alnus glutinosa (L.) Gaertn.";100;"Alnus glutinosa (L.) Gaertn.";1;0;1;0;0;0;0;0;0;0;0;0;36;;71;2400;0;5;"Alnus ";"glutinosa";;"Alnus ";"glutinosa";;"Alnus glutinosa";"Alnus glutinosa";5;6;8;6;0;9
"Alnus incana (L.) Moench";101;"Alnus incana (L.) Moench";1;0;1;0;0;0;0;0;0;0;0;0;37;;72;2400;0;6;"Alnus ";"incana";;"Alnus ";"incana";;"Alnus incana";"Alnus incana";6;6;7;4;0;9
"Alopecurus";102;"Alopecurus";1;1;0;0;0;0;0;0;0;0;0;0;6021;;;;0;;"Alopecurus";;;"Alopecurus";;;"Alopecurus";"Alopecurus";;;;;;12
"Alopecurus aequalis Sobol.";103;"Alopecurus aequalis Sobol.";1;1;0;0;0;0;0;0;0;0;0;0;38;;73;45;0;8;"Alopecurus ";"aequalis";;"Alopecurus ";"aequalis";;"Alopecurus aequalis";"Alopecurus aequalis";8;4;9;7;0;9
"Alopecurus geniculatus L.";104;"Alopecurus geniculatus L.";1;1;0;0;0;0;0;0;0;0;0;0;40;;76;45;0;8;"Alopecurus ";"geniculatus";;"Alopecurus ";"geniculatus";;"Alopecurus geniculatus";"Alopecurus geniculatus";8;6;7;6;1;9
"Alopecurus myosuroides Huds.";105;"Alopecurus myosuroides Huds.";1;1;0;0;0;0;0;1;0;0;0;0;41;;77;80;0;6;"Alopecurus ";"myosuroides";;"Alopecurus ";"myosuroides";;"Alopecurus myosuroides";"Alopecurus myosuroides";6;7;5;6;0;9
"Alopecurus pratensis L.";106;"Alopecurus pratensis L.";1;1;0;0;0;0;0;0;0;0;0;0;42;;78;120;0;7;"Alopecurus ";"pratensis";;"Alopecurus ";"pratensis";;"Alopecurus pratensis";"Alopecurus pratensis";7;6;5;7;0;9
