"scientname_hill";"scientname_belgium";"status";"BRC";"LO";"LOopm";"L";"Lopm";"FO";"FOopm";"F";"Fopm";"RO";"ROopm";"R";"Ropm";"NO";"NOopm";"N";"Nopm";"SO";"SOopm";"S";"Sopm";"LOtext";"Ltext";"Ltexts";"FOtext";"Ftext";"Ftexts";"ROtext";"Rtext";"Rtexts";"NOtext";"Ntext";"Ntexts";"SOtext";"Stext";"Stexts";"Id_Hill"
"Arabis glabra";"Arabis glabra (L.) Bernh.";;"2108";6,00;;7,00;"+";3,00;;3,00;"°";8,00;;8,00;"°";5,00;;5,00;"°";0,00;;0,00;"°";"6";7,00;"+";"3";3,00;"3";"8";8,00;"3";"5";5,00;"3";"0";0,00;"3";1
"Arabis hirsuta";"Arabis hirsuta (L.) Scop.";;"146";7,00;;7,00;;4,00;;5,00;;8,00;;8,00;"+";;"•";3,00;;0,00;;0,00;;"7";7,00;;"4";5,00;;"8";8,00;"+";"•";3,00;;"0";0,00;;2
"Arabis petraea";;;"332";9,00;;9,00;"°";3,00;;3,00;"°";8,00;;8,00;"°";1,00;;1,00;"°";0,00;;0,00;"°";"9";9,00;"3";"3";3,00;"3";"8";8,00;"3";"1";1,00;"3";"0";0,00;"3";3
"Arabis scabra";;;"147";;"–";7,00;"+";;"–";3,00;"+";;"–";8,00;"+";;"–";2,00;"+";;"–";0,00;;"–";7,00;"+";"–";3,00;"+";"–";8,00;"+";"–";2,00;"+";"–";0,00;;4
"Arbutus unedo";;4,00;"149";;"–";6,00;"+";;"–";5,00;"+";;"–";7,00;"+";;"–";2,00;"+";;"–";0,00;;"–";6,00;"+";"–";5,00;"+";"–";7,00;"+";"–";2,00;"+";"–";0,00;;5
"Arctium lappa";"Arctium lappa L.";;"151";9,00;;9,00;"°";5,00;;5,00;"°";7,00;;7,00;"°";9,00;;9,00;"°";0,00;;0,00;"°";"9";9,00;"3";"5";5,00;"3";"7";7,00;"3";"9";9,00;"3";"0";0,00;"3";6
"Arctium minus";"Arctium minus (Hill) Bernh.";;"2504";9,00;;6,00;"*";5,00;;4,00;;;"•";7,00;;8,00;;5,00;"*";0,00;;0,00;;"9";6,00;"Q";"5";4,00;;"•";7,00;;"8";5,00;"Q";"0";0,00;;7
"Arctostaphylos alpinus";;;"156";7,00;;7,00;;5,00;;6,00;;;"•";2,00;;2,00;;2,00;;0,00;;0,00;;"7";7,00;;"5";6,00;;"•";2,00;;"2";2,00;;"0";0,00;;8
"Arctostaphylos uva-ursi";;;"155";6,00;;7,00;;3,00;;5,00;"!";;"•";2,00;;2,00;;2,00;;0,00;;0,00;;"6";7,00;;"3";5,00;"7";"•";2,00;;"2";2,00;;"0";0,00;;9
"Arenaria ciliata";;4,00;"158";9,00;;9,00;"°";5,00;;5,00;"°";8,00;;8,00;"°";2,00;;2,00;"°";0,00;;0,00;"°";"9";9,00;"3";"5";5,00;"3";"8";8,00;"3";"2";2,00;"3";"0";0,00;"3";10
"Arenaria norvegica";;;"160";;"–";9,00;"+";;"–";3,00;"+";;"–";8,00;"+";;"–";2,00;"+";;"–";0,00;;"–";9,00;"+";"–";3,00;"+";"–";8,00;"+";"–";2,00;"+";"–";0,00;;11
"Arenaria serpyllifolia";"Arenaria serpyllifolia L.";;"162";8,00;;8,00;;4,00;;3,00;;7,00;;7,00;;;"•";5,00;"+";0,00;;0,00;;"8";8,00;;"4";3,00;;"7";7,00;;"•";5,00;"+";"0";0,00;;12
"Armeria arenaria";"Armeria arenaria (Pers.) Schultes";5,00;"165";8,00;;8,00;"°";3,00;;3,00;"°";6,00;;6,00;"°";2,00;;2,00;"°";0,00;;0,00;"°";"8";8,00;"3";"3";3,00;"3";"6";6,00;"3";"2";2,00;"3";"0";0,00;"3";13
"Armeria maritima";"Armeria maritima Willd.";;"166";8,00;;8,00;;6,00;;7,00;;5,00;;5,00;"+";4,00;;5,00;;6,00;;3,00;"+";"8";8,00;;"6";7,00;;"5";5,00;"+";"4";5,00;;"6";3,00;"+";14
"Armoracia rusticana";"Armoracia rusticana Gaertn., B. Mey. et Scherb.";1,00;"167";8,00;;8,00;;5,00;;5,00;;;"•";7,00;;9,00;;7,00;"!";0,00;;0,00;;"8";8,00;;"5";5,00;;"•";7,00;;"9";7,00;"7";"0";0,00;;15
"Agrimonia eupatoria";"Agrimonia eupatoria L.";;"22";7,00;;7,00;;4,00;;4,00;;8,00;;7,00;;4,00;;4,00;;0,00;;0,00;;"7";7,00;;"4";4,00;;"8";7,00;;"4";4,00;;"0";0,00;;16
"Agrimonia procera";"Agrimonia procera Wallr.";;"23";5,00;;5,00;"+";5,00;;6,00;;6,00;;7,00;;4,00;;5,00;"+";0,00;;0,00;;"5";5,00;"+";"5";6,00;;"6";7,00;;"4";5,00;"+";"0";0,00;;17
"Agrostis canina";"Agrostis canina L.";;"35.2";9,00;;7,00;"!";9,00;;7,00;"!";3,00;;3,00;;2,00;;3,00;;0,00;;0,00;;"9";7,00;"7";"9";7,00;"7";"3";3,00;;"2";3,00;;"0";0,00;;18
