"scientname_hill";"scientname_belgium";"status";"BRC";"LO";"LOopm";"L";"Lopm";"FO";"FOopm";"F";"Fopm";"RO";"ROopm";"R";"Ropm";"NO";"NOopm";"N";"Nopm";"SO";"SOopm";"S";"Sopm";"LOtext";"Ltext";"Ltexts";"FOtext";"Ftext";"Ftexts";"ROtext";"Rtext";"Rtexts";"NOtext";"Ntext";"Ntexts";"SOtext";"Stext";"Stexts";"Id_Hill"
"Agrostis capillaris";"Agrostis capillaris L.";;"40";7,00;;6,00;;;"•";5,00;;4,00;;4,00;;4,00;;4,00;;0,00;;0,00;;"7";6,00;;"•";5,00;;"4";4,00;;"4";4,00;;"0";0,00;;19
"Agrostis curtisii";;;"38";;"–";7,00;;;"–";6,00;;;"–";2,00;;;"–";1,00;;;"–";0,00;;"–";7,00;;"–";6,00;;"–";2,00;;"–";1,00;;"–";0,00;;20
"Agrostis gigantea";"Agrostis gigantea Roth";;"36";7,00;;7,00;;8,00;;6,00;"!";7,00;;6,00;;6,00;;7,00;;0,00;;0,00;;"7";7,00;;"8";6,00;"7";"7";6,00;;"6";7,00;;"0";0,00;;21
"Agrostis stolonifera";"Agrostis stolonifera L.";;"39";8,00;;7,00;;7,00;;6,00;;;"•";7,00;;5,00;;6,00;;0,00;;1,00;;"8";7,00;;"7";6,00;;"•";7,00;;"5";6,00;;"0";1,00;;22
"Agrostis vinealis";"Agrostis vinealis Schreb.";;"35.1";9,00;;7,00;"!";2,00;;2,00;"* (in Hill 6, maar overruled JanW)";2,00;;3,00;;1,00;;2,00;;0,00;;0,00;;"9";7,00;"7";"2";6,00;"Q";"2";3,00;;"1";2,00;;"0";0,00;;23
"Aira caryophyllea";"Aira caryophyllea L.";;"41";9,00;;8,00;;2,00;;2,00;"+";4,00;;5,00;;1,00;;2,00;;0,00;;0,00;;"9";8,00;;"2";2,00;"+";"4";5,00;;"1";2,00;;"0";0,00;;24
"Aira praecox";"Aira praecox L.";;"42";9,00;;8,00;;2,00;;2,00;"+";2,00;;4,00;"!";1,00;;2,00;;0,00;;0,00;;"9";8,00;;"2";2,00;"+";"2";4,00;"7";"1";2,00;;"0";0,00;;25
"Ajuga chamaepitys";"Ajuga chamaepitys (L.) Schreb.";;"43";7,00;;7,00;;4,00;;4,00;;9,00;;8,00;"+";2,00;;2,00;"+";0,00;;0,00;;"7";7,00;;"4";4,00;;"9";8,00;"+";"2";2,00;"+";"0";0,00;;26
"Ajuga pyramidalis";"Ajuga pyramidalis L.";;"45";7,00;;7,00;"°";5,00;;5,00;"°";1,00;;5,00;"+";1,00;;2,00;"+";0,00;;0,00;"°";"7";7,00;"3";"5";5,00;"3";"1";5,00;"+";"1";2,00;"+";"0";0,00;"3";27
"Ajuga reptans";"Ajuga reptans L.";;"46";6,00;;5,00;;6,00;;7,00;;6,00;;5,00;;6,00;;5,00;;0,00;;0,00;;"6";5,00;;"6";7,00;;"6";5,00;;"6";5,00;;"0";0,00;;28
"Alchemilla acutiloba";"Alchemilla vulgaris L.";;"47";6,00;;7,00;;5,00;;4,00;;6,00;;6,00;;6,00;;5,00;;0,00;;0,00;;"6";7,00;;"5";4,00;;"6";6,00;;"6";5,00;;"0";0,00;;29
"Alchemilla alpina";;;"48";9,00;;7,00;"!";5,00;;5,00;;2,00;;4,00;"!";2,00;;3,00;;0,00;;0,00;;"9";7,00;"7";"5";5,00;;"2";4,00;"7";"2";3,00;;"0";0,00;;30
"Alchemilla filicaulis";"Alchemilla filicaulis Buser";;"4480";;"–";8,00;;;"–";6,00;;;"–";6,00;;;"–";3,00;;;"–";0,00;;"–";8,00;;"–";6,00;;"–";6,00;;"–";3,00;;"–";0,00;;31
"Alchemilla glabra";"Alchemilla glabra Neygenf.";;"51";7,00;;7,00;;6,00;;6,00;;4,00;;6,00;"!";4,00;;4,00;;0,00;;0,00;;"7";7,00;;"6";6,00;;"4";6,00;"7";"4";4,00;;"0";0,00;;32
"Alchemilla glaucescens";"Alchemilla glaucescens Wallr.";;"54";7,00;;7,00;"°";5,00;;5,00;"°";4,00;;7,00;"+";3,00;;5,00;"+";0,00;;0,00;"°";"7";7,00;"3";"5";5,00;"3";"4";7,00;"+";"3";5,00;"+";"0";0,00;"3";33
"Alchemilla glomerulans";;;"52";;"–";7,00;;;"–";5,00;"+";;"–";5,00;"+";;"–";4,00;"+";;"–";0,00;;"–";7,00;;"–";5,00;"+";"–";5,00;"+";"–";4,00;"+";"–";0,00;;34
"Alchemilla gracilis";"Alchemilla micans Buser";;"2552";7,00;;7,00;"°";7,00;;5,00;"+";;"•";7,00;"+";;"•";5,00;"+";0,00;;0,00;"°";"7";7,00;"3";"7";5,00;"+";"•";7,00;"+";"•";5,00;"+";"0";0,00;"3";35
"Alchemilla minima";;3,00;"53";;"–";7,00;"+";;"–";6,00;"+";;"–";8,00;"+";;"–";3,00;"+";;"–";0,00;;"–";7,00;"+";"–";6,00;"+";"–";8,00;"+";"–";3,00;"+";"–";0,00;;36
"Alchemilla monticola";"Alchemilla monticola Opiz";;"55";6,00;;7,00;;5,00;;4,00;;6,00;;6,00;;4,00;;4,00;;0,00;;0,00;;"6";7,00;;"5";4,00;;"6";6,00;;"4";4,00;;"0";0,00;;37
"Alchemilla subcrenata";;;"56";7,00;;7,00;;5,00;;4,00;;5,00;;6,00;;6,00;;5,00;;0,00;;0,00;;"7";7,00;;"5";4,00;;"5";6,00;;"6";5,00;;"0";0,00;;38
"Alchemilla wichurae";;;"59";;"–";7,00;;;"–";5,00;;;"–";5,00;;;"–";3,00;;;"–";0,00;;"–";7,00;;"–";5,00;;"–";5,00;;"–";3,00;;"–";0,00;;39
"Alchemilla xanthochlora";"Alchemilla xanthochlora Rothm.";;"60";6,00;;6,00;;7,00;;5,00;"!";7,00;;6,00;;;"•";4,00;;0,00;;0,00;;"6";6,00;;"7";5,00;"7";"7";6,00;;"•";4,00;;"0";0,00;;40
"Alisma gramineum";"Alisma gramineum Lej.";;"61";7,00;;7,00;"°";11,00;;11,00;"°";7,00;;7,00;"°";4,00;;4,00;"°";0,00;;0,00;"°";"7";7,00;"3";"11";1,00;"3";"7";7,00;"3";"4";4,00;"3";"0";0,00;"3";41
"Alisma lanceolatum";"Alisma lanceolatum With.";;"62";7,00;;8,00;;10,00;;10,00;"+";7,00;;7,00;;5,00;;7,00;"!";0,00;;0,00;;"7";8,00;;"10";1,00;"+";"7";7,00;;"5";7,00;"7";"0";0,00;;42
"Alisma plantago-aquatica";"Alisma plantago-aquatica L.";;"63";7,00;;7,00;;10,00;;10,00;"*";;"•";7,00;;8,00;;7,00;;0,00;;0,00;;"7";7,00;;"10";1,00;"0";"•";7,00;;"8";7,00;;"0";0,00;;43
"Alliaria petiolata";"Alliaria petiolata (Bieb.) Cavara et Grande";;"64";5,00;;5,00;;5,00;;6,00;;7,00;;7,00;;9,00;;8,00;;0,00;;0,00;;"5";5,00;;"5";6,00;;"7";7,00;;"9";8,00;;"0";0,00;;44
"Arrhenatherum elatius";"Arrhenatherum elatius (L.) Beauv. ex J. et C. Presl";;"169";8,00;;7,00;;;"•";5,00;;7,00;;7,00;;7,00;;7,00;;0,00;;0,00;;"8";7,00;;"•";5,00;;"7";7,00;;"7";7,00;;"0";0,00;;45
"Artemisia absinthium";"Artemisia absinthium L.";;"170";9,00;;7,00;"!";4,00;;4,00;;7,00;;7,00;;8,00;;9,00;;0,00;;0,00;;"9";7,00;"7";"4";4,00;;"7";7,00;;"8";9,00;;"0";0,00;;46
"Artemisia campestris";"Artemisia campestris L.";;"171";9,00;;8,00;"+";2,00;;3,00;;5,00;;6,00;"+";2,00;;5,00;"+";0,00;;0,00;;"9";8,00;"+";"2";3,00;;"5";6,00;"+";"2";5,00;"+";"0";0,00;;47
"Artemisia norvegica";;;"2264";;"–";9,00;"+";;"–";4,00;"+";;"–";4,00;"+";;"–";1,00;"+";;"–";0,00;;"–";9,00;"+";"–";4,00;"+";"–";4,00;"+";"–";1,00;"+";"–";0,00;;48
"Artemisia vulgaris";"Artemisia vulgaris L.";;"175";7,00;;7,00;;6,00;;4,00;"!";;"•";8,00;;8,00;;7,00;;0,00;;0,00;;"7";7,00;;"6";4,00;"7";"•";8,00;;"8";7,00;;"0";0,00;;49
"Arum italicum";"Arum italicum Mill.";;"177";;"–";4,00;"+";;"–";5,00;;;"–";6,00;;;"–";6,00;;;"–";0,00;;"–";4,00;"+";"–";5,00;;"–";6,00;;"–";6,00;;"–";0,00;;50
"Arum maculatum";"Arum maculatum L.";;"176";3,00;;4,00;;7,00;;5,00;"!";7,00;;7,00;;8,00;;7,00;;0,00;;0,00;;"3";4,00;;"7";5,00;"7";"7";7,00;;"8";7,00;;"0";0,00;;51
"Asparagus officinalis s.s.";"Asparagus officinalis L. subsp. officinalis";1,00;"179.1";6,00;;7,00;"+";3,00;;5,00;"+";;"•";6,00;"+";4,00;;5,00;"+";0,00;;2,00;"+";"6";7,00;"+";"3";5,00;"+";"•";6,00;"+";"4";5,00;"+";"0";2,00;"+";52
"Asparagus prostratus";"Asparagus officinalis L. subsp. prostratus (Dum.) Corb.";;"179.2";;"–";8,00;;;"–";4,00;;;"–";6,00;;;"–";3,00;;;"–";3,00;;"–";8,00;;"–";4,00;;"–";6,00;;"–";3,00;;"–";3,00;;53
"Asperula cynanchica";"Asperula cynanchica L.";;"5472";7,00;;7,00;;3,00;;3,00;;8,00;;8,00;;3,00;;2,00;;0,00;;0,00;;"7";7,00;;"3";3,00;;"8";8,00;;"3";2,00;;"0";0,00;;54
"Asplenium adiantum-nigrum";"Asplenium adiantum-nigrum L.";;"185.1";6,00;;6,00;;4,00;;4,00;;2,00;;5,00;"+";3,00;;5,00;"!";0,00;;0,00;;"6";6,00;;"4";4,00;;"2";5,00;"+";"3";5,00;"7";"0";0,00;;55
"Asplenium marinum";;;"189";;"–";9,00;;;"–";6,00;"+";;"–";5,00;"+";;"–";5,00;;;"–";3,00;"+";"–";9,00;;"–";6,00;"+";"–";5,00;"+";"–";5,00;;"–";3,00;"+";56
"Asplenium obovatum";;;"191";5,00;;5,00;"°";5,00;;5,00;"°";4,00;;4,00;"°";;"•";3,00;"+";0,00;;0,00;"°";"5";5,00;"3";"5";5,00;"3";"4";4,00;"3";"•";3,00;"+";"0";0,00;"3";57
"Asplenium onopteris";"Asplenium onopteris L.";4,00;"185.2";;"–";5,00;"+";;"–";5,00;"+";;"–";7,00;"+";;"–";3,00;"+";;"–";0,00;;"–";5,00;"+";"–";5,00;"+";"–";7,00;"+";"–";3,00;"+";"–";0,00;;58
"Allium ampeloprasum";;2,00;"8283";;"–";8,00;;;"–";4,00;;;"–";6,00;;;"–";5,00;;;"–";0,00;;"–";8,00;;"–";4,00;;"–";6,00;;"–";5,00;;"–";0,00;;59
"Allium carinatum";"Allium carinatum L.";1,00;"67";8,00;;8,00;"+";3,00;;4,00;"+";8,00;;7,00;;2,00;;2,00;"+";0,00;;0,00;;"8";8,00;"+";"3";4,00;"+";"8";7,00;;"2";2,00;"+";"0";0,00;;60
"Allium cepa";"Allium cepa L.";1,00;"9184";;"–";7,00;;;"–";4,00;;;"–";7,00;;;"–";8,00;;;"–";0,00;;"–";7,00;;"–";4,00;;"–";7,00;;"–";8,00;;"–";0,00;;61
"Allium oleraceum";"Allium oleraceum L.";;"68";7,00;;7,00;"°";3,00;;5,00;"+";7,00;;7,00;"°";4,00;;4,00;"°";0,00;;0,00;"°";"7";7,00;"3";"3";5,00;"+";"7";7,00;"3";"4";4,00;"3";"0";0,00;"3";62
"Allium paradoxum";;1,00;"69";6,00;;6,00;"°";5,00;;5,00;"°";7,00;;5,00;"+";7,00;;7,00;"°";0,00;;1,00;"+";"6";6,00;"3";"5";5,00;"3";"7";5,00;"+";"7";7,00;"3";"0";1,00;"+";63
"Allium roseum";;1,00;"70";;"–";7,00;;;"–";4,00;;;"–";6,00;;;"–";5,00;;;"–";0,00;;"–";7,00;;"–";4,00;;"–";6,00;;"–";5,00;;"–";0,00;;64
"Allium schoenoprasum";"Allium schoenoprasum L.";;"72";7,00;;8,00;;;"•";6,00;;7,00;;5,00;"!";2,00;;1,00;;0,00;;0,00;"+";"7";8,00;;"•";6,00;;"7";5,00;"7";"2";1,00;;"0";0,00;"+";65
"Allium scorodoprasum";"Allium scorodoprasum L.";;"71";6,00;;6,00;"°";7,00;;6,00;"+";7,00;;7,00;"°";7,00;;7,00;"°";0,00;;0,00;"°";"6";6,00;"3";"7";6,00;"+";"7";7,00;"3";"7";7,00;"3";"0";0,00;"3";66
"Allium sphaerocephalon";"Allium sphaerocephalon L.";;"73";9,00;;9,00;"°";3,00;;3,00;"°";8,00;;8,00;"°";2,00;;2,00;"°";0,00;;0,00;"°";"9";9,00;"3";"3";3,00;"3";"8";8,00;"3";"2";2,00;"3";"0";0,00;"3";67
"Allium triquetrum";;1,00;"74";;"–";6,00;"+";;"–";4,00;;;"–";6,00;;;"–";5,00;;;"–";0,00;;"–";6,00;"+";"–";4,00;;"–";6,00;;"–";5,00;;"–";0,00;;68
"Allium ursinum";"Allium ursinum L.";;"75";2,00;;4,00;"!";6,00;;6,00;;7,00;;7,00;;8,00;;7,00;;0,00;;0,00;;"2";4,00;"7";"6";6,00;;"7";7,00;;"8";7,00;;"0";0,00;;69
"Allium vineale";"Allium vineale L.";;"76";5,00;;7,00;"!";4,00;;5,00;;;"•";8,00;;7,00;;6,00;;0,00;;0,00;;"5";7,00;"7";"4";5,00;;"•";8,00;;"7";6,00;;"0";0,00;;70
"Alnus glutinosa";"Alnus glutinosa (L.) Gaertn.";;"77";5,00;;5,00;;9,00;;8,00;;6,00;;6,00;;;"•";6,00;;1,00;;0,00;;"5";5,00;;"9";8,00;;"6";6,00;;"•";6,00;;"1";0,00;;71
"Alnus incana";"Alnus incana (L.) Moench";1,00;"78";6,00;;6,00;"°";7,00;;7,00;"°";8,00;;6,00;"+";;"•";4,00;"+";0,00;;0,00;"°";"6";6,00;"3";"7";7,00;"3";"8";6,00;"+";"•";4,00;"+";"0";0,00;"3";72
"Alopecurus aequalis";"Alopecurus aequalis Sobol.";;"79";9,00;;8,00;;9,00;;9,00;"+";;"•";4,00;;9,00;;7,00;"+";0,00;;0,00;;"9";8,00;;"9";9,00;"+";"•";4,00;;"9";7,00;"+";"0";0,00;;73
"Alopecurus borealis";;;"80";;"–";8,00;;;"–";9,00;;;"–";5,00;;;"–";3,00;;;"–";0,00;;"–";8,00;;"–";9,00;;"–";5,00;;"–";3,00;;"–";0,00;;74
"Alopecurus bulbosus";"Alopecurus bulbosus Gouan";;"81";8,00;;8,00;"°";7,00;;7,00;"°";7,00;;7,00;"°";5,00;;5,00;"°";3,00;;3,00;"°";"8";8,00;"3";"7";7,00;"3";"7";7,00;"3";"5";5,00;"3";"3";3,00;"3";75
"Alopecurus geniculatus";"Alopecurus geniculatus L.";;"82";9,00;;8,00;;8,00;;7,00;;7,00;;6,00;;7,00;;6,00;;2,00;;1,00;;"9";8,00;;"8";7,00;;"7";6,00;;"7";6,00;;"2";1,00;;76
"Alopecurus myosuroides";"Alopecurus myosuroides Huds.";;"84";6,00;;6,00;;5,00;;5,00;;7,00;;7,00;;6,00;;6,00;;0,00;;0,00;;"6";6,00;;"5";5,00;;"7";7,00;;"6";6,00;;"0";0,00;;77
"Alopecurus pratensis";"Alopecurus pratensis L.";;"85";6,00;;7,00;;6,00;;5,00;;6,00;;6,00;;7,00;;7,00;;0,00;;0,00;;"6";7,00;;"6";5,00;;"6";6,00;;"7";7,00;;"0";0,00;;78
"Althaea hirsuta";"Althaea hirsuta L.";2,00;"86";7,00;;9,00;"+";4,00;;4,00;"°";8,00;;8,00;"°";3,00;;3,00;"°";0,00;;0,00;"°";"7";9,00;"+";"4";4,00;"3";"8";8,00;"3";"3";3,00;"3";"0";0,00;"3";79
"Althaea officinalis";"Althaea officinalis L.";;"87";6,00;;7,00;"+";7,00;;7,00;"°";8,00;;8,00;"°";4,00;;4,00;"°";2,00;;2,00;"°";"6";7,00;"+";"7";7,00;"3";"8";8,00;"3";"4";4,00;"3";"2";2,00;"3";80
"Amaranthus albus";"Amaranthus albus L.";1,00;"90";8,00;;8,00;;2,00;;5,00;"*";;"•";8,00;;7,00;;7,00;;1,00;;0,00;;"8";8,00;;"2";5,00;"Q";"•";8,00;;"7";7,00;;"1";0,00;;81
"Amaranthus retroflexus";"Amaranthus retroflexus L.";1,00;"92";8,00;;7,00;;4,00;;4,00;;7,00;;7,00;"+";7,00;;7,00;"+";1,00;;0,00;;"8";7,00;;"4";4,00;;"7";7,00;"+";"7";7,00;"+";"1";0,00;;82
"Ammophila arenaria";"Ammophila arenaria (L.) Link";;"97";9,00;;9,00;;4,00;;4,00;;7,00;;6,00;;5,00;;3,00;"!";1,00;;3,00;"+";"9";9,00;;"4";4,00;;"7";6,00;;"5";3,00;"7";"1";3,00;"+";83
"Amsinckia micrantha";"Amsinckia micrantha Suksd.";1,00;"2616";;"–";9,00;"+";;"–";3,00;"+";;"–";3,00;"+";;"–";3,00;"+";;"–";0,00;;"–";9,00;"+";"–";3,00;"+";"–";3,00;"+";"–";3,00;"+";"–";0,00;;84
"Anacamptis pyramidalis";"Anacamptis pyramidalis (L.) L.C.M. Rich.";;"98";8,00;;8,00;;3,00;;4,00;;9,00;;8,00;;2,00;;3,00;;0,00;;0,00;;"8";8,00;;"3";4,00;;"9";8,00;;"2";3,00;;"0";0,00;;85
"Anagallis arvensis";"Anagallis arvensis L.";;"99";6,00;;7,00;;5,00;;4,00;;;"•";6,00;;6,00;;5,00;;0,00;;0,00;;"6";7,00;;"5";4,00;;"•";6,00;;"6";5,00;;"0";0,00;;86
"Anagallis minima";"Centunculus minimus L.";;"456";8,00;;8,00;;7,00;;7,00;;4,00;;5,00;;3,00;;3,00;;0,00;;0,00;"+";"8";8,00;;"7";7,00;;"4";5,00;;"3";3,00;;"0";0,00;"+";87
"Anagallis tenella";"Anagallis tenella (L.) L.";;"100";8,00;;8,00;;9,00;;8,00;;;"•";5,00;;2,00;;3,00;;0,00;;0,00;;"8";8,00;;"9";8,00;;"•";5,00;;"2";3,00;;"0";0,00;;88
"Anaphalis margaritacea";"Anaphalis margaritacea (L.) Benth.";1,00;"101";;"–";8,00;;;"–";5,00;;;"–";6,00;;;"–";3,00;;;"–";0,00;;"–";8,00;;"–";5,00;;"–";6,00;;"–";3,00;;"–";0,00;;89
"Anchusa arvensis";"Anchusa arvensis (L.) Bieb.";;"1218";7,00;;7,00;;4,00;;4,00;;;"•";6,00;;4,00;;5,00;;0,00;;0,00;;"7";7,00;;"4";4,00;;"•";6,00;;"4";5,00;;"0";0,00;;90
"Andromeda polifolia";"Andromeda polifolia L.";;"103";9,00;;9,00;;9,00;;9,00;"+";1,00;;1,00;;1,00;;1,00;;0,00;;0,00;;"9";9,00;;"9";9,00;"+";"1";1,00;;"1";1,00;;"0";0,00;;91
"Anemone nemorosa";"Anemone nemorosa L.";;"105";;"•";5,00;;5,00;;6,00;;;"•";5,00;;;"•";4,00;;0,00;;0,00;;"•";5,00;;"5";6,00;;"•";5,00;;"•";4,00;;"0";0,00;;92
"Angelica sylvestris";"Angelica sylvestris L.";;"109";7,00;;7,00;;8,00;;8,00;;;"•";6,00;;4,00;;5,00;;0,00;;0,00;;"7";7,00;;"8";8,00;;"•";6,00;;"4";5,00;;"0";0,00;;93
"Anisantha diandra";"Bromus diandrus Roth";1,00;"110";;"–";7,00;;;"–";4,00;;;"–";5,00;;;"–";4,00;;;"–";0,00;;"–";7,00;;"–";4,00;;"–";5,00;;"–";4,00;;"–";0,00;;94
"Anisantha sterilis";"Bromus sterilis L.";;"113";7,00;;7,00;;4,00;;5,00;;;"•";8,00;;5,00;;7,00;"!";0,00;;0,00;;"7";7,00;;"4";5,00;;"•";8,00;;"5";7,00;"7";"0";0,00;;95
"Anogramma leptophylla";;5,00;"115";;"–";7,00;;;"–";2,00;;;"–";8,00;;;"–";1,00;;;"–";0,00;;"–";7,00;;"–";2,00;;"–";8,00;;"–";1,00;;"–";0,00;;96
"Antennaria dioica";"Antennaria dioica (L.) Gaertn.";;"116";8,00;;8,00;;4,00;;5,00;;3,00;;4,00;;2,00;;2,00;;0,00;;0,00;;"8";8,00;;"4";5,00;;"3";4,00;;"2";2,00;;"0";0,00;;97
"Anthemis arvensis";"Anthemis arvensis L.";;"117";7,00;;7,00;;4,00;;4,00;;6,00;;7,00;;6,00;;6,00;;0,00;;0,00;;"7";7,00;;"4";4,00;;"6";7,00;;"6";6,00;;"0";0,00;;98
"Anthemis cotula";"Anthemis cotula L.";;"118";7,00;;7,00;;4,00;;5,00;;;"•";6,00;;5,00;;6,00;;0,00;;0,00;;"7";7,00;;"4";5,00;;"•";6,00;;"5";6,00;;"0";0,00;;99
"Anthoxanthum aristatum";"Anthoxanthum aristatum Boiss.";1,00;"122";7,00;;7,00;;;"•";4,00;;2,00;;4,00;"!";3,00;;5,00;"!";0,00;;0,00;;"7";7,00;;"•";4,00;;"2";4,00;"7";"3";5,00;"7";"0";0,00;;100
"Anthoxanthum odoratum";"Anthoxanthum odoratum L.";;"121";;"•";7,00;;;"•";6,00;;5,00;;4,00;;;"•";3,00;;1,00;;0,00;;"•";7,00;;"•";6,00;;"5";4,00;;"•";3,00;;"1";0,00;;101
"Anthriscus caucalis";"Anthriscus caucalis Bieb.";;"123";8,00;;7,00;;5,00;;5,00;;6,00;;6,00;;6,00;;5,00;;0,00;;0,00;;"8";7,00;;"5";5,00;;"6";6,00;;"6";5,00;;"0";0,00;;102
"Anthriscus sylvestris";"Anthriscus sylvestris (L.) Hoffmann";;"125";7,00;;6,00;;5,00;;5,00;;;"•";7,00;;8,00;;7,00;;0,00;;0,00;;"7";6,00;;"5";5,00;;"•";7,00;;"8";7,00;;"0";0,00;;103
"Anthyllis vulneraria";"Anthyllis vulneraria L.";;"126";8,00;;8,00;;3,00;;4,00;;7,00;;7,00;;2,00;;2,00;;0,00;;0,00;;"8";8,00;;"3";4,00;;"7";7,00;;"2";2,00;;"0";0,00;;104
"Antirrhinum majus";"Antirrhinum majus L.";1,00;"127";7,00;;8,00;"+";5,00;;3,00;"+";7,00;;7,00;"°";6,00;;5,00;"+";0,00;;0,00;"°";"7";8,00;"+";"5";3,00;"+";"7";7,00;"3";"6";5,00;"+";"0";0,00;"3";105
"Apera interrupta";"Apera interrupta (L.) Beauv.";;"129";;"–";9,00;;;"–";5,00;"+";;"–";8,00;;;"–";6,00;"+";;"–";3,00;;"–";9,00;;"–";5,00;"+";"–";8,00;;"–";6,00;"+";"–";3,00;;106
