conclusie;volgnr;prioriteit;regel001_Bebouwd;regel020_Akker;regel030_Marien;regel040_Strand_Kustduin;regel050_Water;regel060_bomen_struiken;regel062_heide;regel063_heischraal;regel064_brem_gaspeldoorn;regel066_bos;regel070_pijpenstro_smele;regel080_landduin;regel0901_moeras;regel0902_moeras;regel100_metrus;regel105_moeras;regel110_grasland
_A;1;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_B;2;19;0;0;0;0;0;1;0;NA;0;1;NA;NA;NA;NA;NA;NA;NA
_D;3;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_G;4;2;0;0;0;0;0;0;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA
_G;5;0;0;0;0;0;0;1;0;NA;0;0;NA;NA;NA;NA;0;NA;1
_G;6;39;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0;0;NA;1
_G;7;0;0;0;0;0;0;1;0;NA;0;0;NA;NA;NA;NA;1;0;1
_G;8;1;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0;1;0;1
_G;9;0;0;0;0;0;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
_H;10;0;0;0;0;0;0;0;NA;NA;NA;NA;0;1;NA;NA;NA;NA;NA
_H;11;7;0;0;0;0;0;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
_M;12;14;0;0;0;0;0;0;NA;NA;NA;NA;0;0;1;NA;NA;NA;NA
_M;13;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;NA;1;NA;NA;NA
_M;14;0;0;0;0;0;0;1;0;NA;0;0;NA;NA;NA;NA;1;1;NA
_M;15;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0;1;1;NA
_R;16;0;0;0;0;0;0;1;0;NA;0;0;NA;NA;NA;NA;0;NA;0
_R;17;11;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0;0;NA;0
_R;18;0;0;0;0;0;0;1;0;NA;0;0;NA;NA;NA;NA;1;0;0
_R;19;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0;1;0;0
_U;20;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_W;21;6;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_Z;22;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rbbsg - sg;23;1;0;0;0;0;0;1;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
