"id";"hrl_code";"criterium_naam";"criterium_nr";"aard";"code_lijst";"soortenlijstnr";"veldnaam"
599;"rbbHc";"Sleutelsoorten";852;"aantal";"Sleutelsoorten";440;"AantalSleutelsoorten"
600;"rbbHc";"Sleutelsoorten";853;"bedekking";"Sleutelsoorten";440;"BedekkingSleutelsoorten"
601;"rbbHc";"Verdroging";854;"bedekking";"Verdroging";441;"DroogBedekking"
602;"rbbHc";"Soortenrijkdom";855;"soortenaantal";;;
603;"rbbHc";"Gras_kruiden-ratio";856;"gras_kruiden-ratio";;;
604;"rbbHc";"Verdroging";857;"F-getal";;;
605;"rbbHc";"Vernatting";858;"F-getal";;;
606;"rbbHc";"Eutrofiëring";859;"N-getal";;;
607;"rbbHc";"Verruiging";860;"bedekking";"Verruiging";442;"RuigteBedekking"
608;"rbbHc";"Verbossing";861;"bedekking boomlaag";;;
609;"rbbHc";"Vernatting";862;"bedekking";"Vernatting";443;"NatBedekking"
610;"rbbHc";"Eutrofiëring";863;"bedekking";"Eutrofiëring";444;"EutroBedekking"
611;"rbbHc";"Ruderalisering";864;"bedekking";"Ruderalisering";445;"RuderalBedekking"
612;"rbbHc";"Pitrus";865;"bedekking";"Pitrus";446;"PitrusBedekking"
613;"rbbHc";"Verbraming";866;"bedekking";"Verbraming";447;"BraamBedekking"
614;"rbbHc";"Vernatting (gn zegge";867;"bedekking";"Vernatting (gn zegge";448;"NatMinZeggeBedekking"
615;"rbbVos";"Verbraming";868;"bedekking";"Verbraming";449;
616;"rbbVos";"Bodemroering";869;"bedekking";"Bodemroering";450;"RuderalBedekking"
617;"rbbVos";"Pitrus";870;"bedekking";"Pitrus";451;"PitrusBedekking"
618;"rbbVos";"Eutrofiëring";871;"bedekking";"Eutrofiëring";452;"EutroBedekking"
619;"rbbVos";"Verruiging";872;"bedekking";"Verruiging";453;"RuigteBedekking"
620;"rbbVos";"Droogtegroep Ellenb";873;"bedekking";;;"DroogEllenb_bedekking"
621;"rbbVos";"Droogtegroep Ellenb";874;"aantal";;;"DroogEllenb_aantal"
622;"rbbVos";"Vochtgroep Ellenb";894;"bedekking";;;"VochtigEllenb_bedekking"
623;"rbbVos";"Nattegroep Ellenb";876;"aantal";;;"NatEllenb_aantal"
624;"rbbVos";"SleutelsoortenStart";877;"bedekking";"SleutelsoortenStart";454;"BedekkingSleutelsoortenStart"
625;"rbbVos";"SleutelsoortenStart";878;"aantal";"SleutelsoortenStart";454;"AantalSleutelsoortenStart"
626;"rbbVos";"Droogtegroep_sleutel";879;"bedekking";"Droogtegroep_sleutel";455;"DroogteSleutel_bedekking"
627;"rbbVos";"Droogtegroep_sleutel";880;"aantal";"Droogtegroep_sleutel";455;"DroogteSleutel_aantal"
628;"rbbVos";"Vochtgroep_sleutel";881;"bedekking";"Vochtgroep_sleutel";456;"VochtSleutel_bedekking"
629;"rbbVos";"Vochtgroep_sleutel";882;"aantal";"Vochtgroep_sleutel";456;"VochtSleutel_aantal"
630;"G";"Grvos_trosdravik";883;"bedekking";"Grvos_trosdravik";457;
631;"rbbVos";"basenminnend";884;"aantal";"basenminnend";458;"basenminnend_aantal"
632;"rbbVos";"hc-groep";885;"aantal";"hc-groep";459;"hc_aantal"
633;"rbbVos";"hc-groep";886;"bedekking";"hc-groep";468;"hc_bedekking"
634;"rbbVos";"hu-groep";887;"aantal";"hu-groep";460;"hu_aantal"
635;"rbbVos";"hu-groep";888;"bedekking";"hu-groep";460;"hu_bedekking"
636;"rbbVos";"hu-kerngroep";889;"aantal";"hu-kerngroep";461;"hukern_aantal"
637;"rbbVos";"hu-kerngroep";890;"bedekking";"hu-kerngroep";461;"hukern_bedekking"
638;"rbbVos";"hua-groep";891;"bedekking";"hua-groep";462;"hua_bedekking"
639;"rbbVos";"hua-kerngroep";892;"aantal";"hua-kerngroep";463;"huakern_aantal"
640;"rbbVos";"rbbZil-groep";893;"bedekking";"rbbZil-groep";467;"rbbzil_bedekking"
641;"rbbVos";"Nattegroep";875;"bedekking";;;"NatEllenb_bedekking"
642;"rbbVos";"rbbZil-groep";895;"aantal";"rbbZil-groep";464;"rbbzil_aantal"
643;"rbbVos";"moeras-groep";896;"bedekking";"moeras-groep";466;"moeras_bedekking"
644;"rbbVos";"Sleutelsoorten";897;"bedekking";"Sleutelsoorten";469;"BedekkingSleutelsoorten"
645;"rbbVos";"nattegroep";898;"bedekking";"nattegroep";470;"nattegroep_bedekking"
646;"rbbVos";"Beweiding";899;"bedekking";"Beweiding";471;"Beweiding_bedekking"
647;"rbbVos";"Verdroging";900;"bedekking";"Verdroging";472;"DroogBedekking"
648;"rbbVos";"Vernatting";901;"bedekking";"Vernatting";473;"NatBedekking"
649;"rbbVos";"Sleutelsoorten";902;"aantal";"Sleutelsoorten";469;"AantalSleutelsoorten"
650;"rbbZil";"SleutelsoortenStart";903;"bedekking";"SleutelsoortenStart";474;"BedekkingSleutelsoortenStart"
651;"rbbZil";"SleutelsoortenStart";904;"aantal";"SleutelsoortenStart";474;"AantalSleutelsoortenStart"
652;"rbbZil";"ziltegroep";905;"bedekking";"ziltegroep";475;"ZilteGroepBedekking"
653;"rbbZil";"ziltegroep";906;"aantal";"ziltegroep";475;"ZilteGroepAantal"
654;"rbbZil";"hc-groep";907;"aantal";"hc-groep";459;"HcAantal"
655;"rbbZil";"hc-groep";908;"bedekking";"hc-groep";468;"HcBedekking"
656;"rbbZil";"hu-groep";909;"aantal";"hu-groep";460;"HuAantal"
657;"rbbZil";"hu-groep";910;"bedekking";"hu-groep";460;"HuBedekking"
658;"rbbZil";"rbbVos-groep";911;"aantal";"rbbVos-groep";469;"rbbVosAantal"
659;"rbbZil";"rbbVos-groep";912;"bedekking";"rbbVos-groep";469;"rbbVosBedekking"
660;"rbbZil";"moeras-groep";913;"bedekking";"moeras-groep";466;"MoerasBedekking"
661;"rbbZil";"hf-groep";915;"bedekking";"hf-groep";480;"HfBedekking"
664;"rbbZil";"hu-kerngroep";916;"aantal";"hu-kerngroep";461;"Hukern_aantal"
665;"rbbZil";"hu-kerngroep";917;"bedekking";"hu-kerngroep";461;"Hukern_bedekking"
666;"rbbZil";"GrVos_trosdravik";918;"bedekking";"GrVos_trosdravik";457;"GrVosBedekking"
667;"rbbZil";"Vernatting";919;"bedekking";"Vernatting";481;"NatBedekking"
668;"rbbZil";"Bodemroering";920;"bedekking";"Bodemroering";482;"RuderalBedekking"
669;"rbbZil";"Pitrus";921;"bedekking";"Pitrus";483;"PitrusBedekking"
670;"rbbZil";"Eutrofiëring";922;"bedekking";"Eutrofiëring";484;"EutroBedekking"
671;"rbbZil";"Verruiging";923;"bedekking";"Verruiging";485;"RuigteBedekking"
673;"rbbZil";"Verdroging";924;"bedekking";"Verdroging";486;"DroogBedekking"
674;"rbbKam";"SleutelsoortenStart";925;"bedekking";"SleutelsoortenStart";487;"BedekkingSleutelsoortenStart"
675;"rbbKam";"SleutelsoortenStart";926;"aantal";"SleutelsoortenStart";487;"AantalSleutelsoortenStart"
676;"rbbKam";"ziltegroep";927;"bedekking";"ziltegroep";475;"ZilteGroepBedekking"
677;"rbbKam";"ziltegroep";928;"aantal";"ziltegroep";475;"ZilteGroepAantal"
678;"rbbKam";"hc-groep";929;"aantal";"hc-groep";459;"HcAantal"
679;"rbbKam";"hc-groep";930;"bedekking";"hc-groep";468;"HcBedekking"
680;"rbbKam";"hu-groep";931;"aantal";"hu-groep";460;"HuAantal"
681;"rbbKam";"hu-groep";932;"bedekking";"hu-groep";460;"HuBedekking"
682;"rbbKam";"rbbVos-groep";933;"aantal";"rbbVos-groep";469;"rbbVosAantal"
683;"rbbKam";"rbbVos-groep";934;"bedekking";"rbbVos-groep";469;"rbbVosBedekking"
684;"rbbKam";"moeras-groep";935;"bedekking";"moeras-groep";466;"MoerasBedekking"
685;"rbbKam";"hf-groep";936;"bedekking";"hf-groep";480;"HfBedekking"
686;"rbbKam";"hu-kerngroep";937;"aantal";"hu-kerngroep";461;"Hukern_aantal"
687;"rbbKam";"hu-kerngroep";938;"bedekking";"hu-kerngroep";461;"Hukern_bedekking"
688;"rbbKam";"GrVos_trosdravik";939;"bedekking";"GrVos_trosdravik";457;"GrVosBedekking"
690;"rbbKam";"Bodemroering";941;"bedekking";"Bodemroering";488;"RuderalBedekking"
691;"rbbKam";"Pitrus";942;"bedekking";"Pitrus";489;"PitrusBedekking"
692;"rbbKam";"Eutrofiëring";943;"bedekking";"Eutrofiëring";490;"EutroBedekking"
693;"rbbKam";"Verruiging";944;"bedekking";"Verruiging";491;"RuigteBedekking"
695;"rbbKam";"EutrofiëringSterk";946;"bedekking";"Eutrofiëring";492;"EutroSterkBedekking"
696;"rbbZil";"Verbraming";947;"bedekking";"Verbraming";447;
697;"rbbKam";"Verbraming";948;"bedekking";"Verbraming";447;
698;"rbbKam";"rbbZil-groep";949;"aantal";"rbbZil-groep";464;"rbbZilAantal"
699;"rbbKam";"rbbZil-groep";950;"bedekking";"rbbZil-groep";467;"rbbZilBedekking"
700;"rbbHf";"Bodemroering";951;"bedekking";"Bodemroering";493;"RuderalBedekking"
701;"rbbHf";"Pitrus";952;"bedekking";"Pitrus";494;"PitrusBedekking"
702;"rbbHf";"Eutrofiëring";953;"bedekking";"Eutrofiëring";495;"EutroBedekking"
704;"rbbHf";"Verbraming";955;"bedekking";"Verbraming";447;"BraamBedekking"
705;"rbbHf";"moeras-groep";956;"bedekking";"moeras-groep";466;"MoerasBedekking"
706;"rbbHf";"ziltegroep";957;"bedekking";"ziltegroep";475;"ZilteGroepBedekking"
707;"rbbHf";"ziltegroep";958;"aantal";"ziltegroep";475;"ZilteGroepAantal"
708;"rbbHf";"SleutelsoortenStart";959;"bedekking";"SleutelsoortenStart";497;"BedekkingSleutelsoortenStart"
709;"rbbHf";"SleutelsoortenStart";960;"aantal";"SleutelsoortenStart";497;"AantalSleutelsoortenStart"
710;"rbbHf";"Vernatting";961;"bedekking";"Vernatting";498;"VernattingBedekking"
711;"rbbHf";"Verdroging";962;"bedekking";"Verdroging";499;"VerdrogingBedekking"
712;"rbbHf";"hc-groep";963;"aantal";"hc-groep";459;"HcAantal"
713;"rbbHf";"hc-groep";964;"bedekking";"hc-groep";468;"HcBedekking"
714;"rbbHf";"hu-kerngroep";965;"aantal";"hu-kerngroep";461;"Hukern_aantal"
715;"rbbHf";"hu-kerngroep";966;"bedekking";"hu-kerngroep";461;"Hukern_bedekking"
716;"rbbHf";"GrVos_trosdravik";967;"bedekking";"GrVos_trosdravik";457;"GrVosBedekking"
717;"rbbHf";"hu-groep";968;"aantal";"hu-groep";460;"HuAantal"
718;"rbbHf";"hu-groep";969;"bedekking";"hu-groep";460;"HuBedekking"
719;"rbbHf";"invasieve exoten";970;"bedekking";"invasieve exoten";500;"InvasieveExotenBedekking"
720;"rbbHf";"rbbZil-groep";971;"aantal";"rbbZil-groep";464;"rbbZilAantal"
721;"rbbHf";"rbbZil-groep";972;"bedekking";"rbbZil-groep";467;"rbbZilBedekking"
722;"rbbHf";"rbbVos-groep";973;"aantal";"rbbVos-groep";469;"rbbVosAantal"
723;"rbbHf";"rbbVos-groep";974;"bedekking";"rbbVos-groep";469;"rbbVosBedekking"
